,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,15.7,22.6,16.1,13.3,13.8,27.5,31.2,19.9,,,32.0,37.0,36.6,37.3,33.1,26.8,22.8,20.5,19.1,16.4
Earnings per Share,-1.43,3.29,1.89,1.14,0.97,1.70,3.66,4.10,,,1.00,0.77,1.19,1.25,0.96,0.95,0.93,0.68,0.44,0.64
Revenue per Share,39.7,61.8,49.9,47.1,46.5,47.8,51.5,54.9,,,11.8,13.3,13.9,14.0,13.2,13.7,14.1,13.8,15.0,13.8
Dividend per Share,0.13,0.62,0.49,0.30,0.30,0.66,1.20,1.30,,,0.60,0.00,0.60,,,0.70,0.60,,0.36,0.00
Capital Expenditures per Share,4.21,4.55,2.27,1.43,0.85,0.53,0.55,2.89,,,0.13,0.12,0.17,0.26,0.64,0.79,1.20,0.42,0.34,0.42
Book Value per Share,9.31,12.5,16.5,17.1,18.0,19.1,22.0,24.3,,,20.6,20.8,22.0,23.2,23.5,23.2,24.3,25.7,25.2,25.3
Price to Earnings Ratio,,7.73,7.94,13.6,10.8,9.30,9.02,5.92,,,9.63,12.4,9.02,8.98,8.03,5.00,5.92,5.29,5.91,5.00
Price to Book Value Ratio,1.23,2.19,0.78,0.84,0.64,0.92,1.61,0.80,,,1.31,1.66,1.61,1.46,1.30,0.82,0.80,0.75,0.71,0.59
EV to EBITDA,11.8,5.54,5.58,5.96,5.03,5.45,11.4,7.22,,,9.53,13.3,11.4,11.9,9.99,7.47,7.22,6.99,6.91,6.04
Dividend Payout Ratio,-9.3%,18.8%,25.9%,26.3%,30.9%,38.9%,32.8%,31.7%,,,23.4%,0.0%,16.4%,,,16.1%,14.6%,,11.9%,0.0%
Common Shares Outstanding,271.8,271.8,322.6,322.6,322.6,316.6,316.6,316.6,,,316.6,316.6,316.6,316.6,316.6,316.6,316.6,316.6,316.6,322.6
Total Revenue,"10,786","16,811","16,096","15,196","14,994","15,137","16,288","17,370",,,"3,732","4,198","4,411","4,417","4,164","4,330","4,458","4,364","4,753","4,452"
"Cost of Revenue, Total","9,591","15,058","14,552","13,964","13,820","13,856","14,778","15,464",,,"3,400","3,850","3,995","3,956","3,744","3,896","3,868","3,855","4,258","3,935"
Gross Profit,"1,195","1,753","1,544","1,232","1,173","1,281","1,510","1,906",,,331.9,348.8,416.1,461.3,420.3,434.6,589.9,509.1,495.6,517.3
"Selling/General/Administrative Expenses, Total","1,079",821.8,858.7,744.1,786.1,780.0,927.7,869.0,,,211.4,252.1,267.1,238.4,174.4,201.6,252.1,255.8,264.7,233.2
Operating Income,115.7,930.8,685.2,487.8,387.4,501.2,582.3,"1,037",,,120.4,96.7,149.0,222.9,245.9,232.9,337.8,253.3,230.9,284.1
Net Income,-389.7,921.3,610.7,367.0,313.1,543.1,"1,158","1,299",,,315.0,242.5,376.0,397.1,304.7,302.0,295.3,216.6,140.4,203.8
EBITDA,563.2,"1,671","1,431","1,192","1,102","1,196","1,182","1,603",,,281.1,253.1,265.2,382.1,415.9,395.5,411.5,400.7,370.6,433.1
Gross Profit Margin,11.1%,10.4%,9.6%,8.1%,7.8%,8.5%,9.3%,11.0%,,,8.9%,8.3%,9.4%,10.4%,10.1%,10.0%,13.2%,11.7%,10.4%,11.6%
Operating Margin,1.1%,5.5%,4.3%,3.2%,2.6%,3.3%,3.6%,6.0%,,,3.2%,2.3%,3.4%,5.0%,5.9%,5.4%,7.6%,5.8%,4.9%,6.4%
Net Profit Margin,-3.6%,5.5%,3.8%,2.4%,2.1%,3.6%,7.1%,7.5%,,,8.4%,5.8%,8.5%,9.0%,7.3%,7.0%,6.6%,5.0%,3.0%,4.6%
Return on Assets,-3.4%,7.3%,4.6%,3.0%,2.7%,4.8%,9.0%,8.0%,,,6.2%,6.3%,7.8%,8.9%,8.7%,8.8%,7.7%,6.1%,5.0%,4.6%
Return on Equity,-15.4%,27.2%,11.5%,6.7%,5.4%,9.0%,16.6%,16.9%,,,4.8%,3.7%,5.4%,5.4%,4.1%,4.1%,3.8%,2.7%,1.8%,2.5%
Return on Total Capital,-6.8%,15.1%,8.3%,5.0%,4.2%,7.1%,11.8%,10.8%,,,11.3%,12.9%,11.8%,13.3%,13.1%,13.0%,10.8%,8.8%,7.2%,6.6%
SG&A to Sale,10.0%,4.9%,5.3%,4.9%,5.2%,5.2%,5.7%,5.0%,,,5.7%,6.0%,6.1%,5.4%,4.2%,4.7%,5.7%,5.9%,5.6%,5.2%
Depreciation & Amortisation,447.5,739.9,745.3,703.7,714.3,694.3,599.8,565.5,,,160.7,156.4,116.1,159.3,170.0,162.5,73.6,147.4,139.7,149.0
Tax Rate,-31.7%,3.9%,10.4%,5.6%,7.3%,4.5%,2.6%,-2.3%,,,1.3%,3.5%,2.6%,2.3%,5.9%,0.0%,-24.1%,21.9%,15.2%,17.6%
Current Ratio,0.67,0.77,0.83,0.87,0.99,1.16,0.89,1.01,,,0.57,0.59,0.89,0.95,0.96,1.05,1.01,1.32,1.13,1.09
Quick Ratio,0.32,0.47,0.46,0.43,0.51,0.59,0.48,0.50,,,0.30,0.29,0.48,0.51,0.49,0.49,0.50,0.81,0.52,0.50
Days Inventory Outstanding,34.3,26.4,31.4,31.8,30.6,28.4,26.8,33.6,,,31.3,30.8,29.2,28.9,30.5,35.5,40.6,44.1,44.5,43.7
Days Sale Outstanding,41.2,60.8,50.7,45.0,46.0,44.8,49.2,58.1,,,52.3,50.3,49.2,52.4,50.5,50.9,58.1,102.0,55.5,51.2
Days Payable Outstanding,62.9,49.9,57.5,49.1,47.6,45.3,45.2,49.2,,,1.82,1.69,24.4,23.8,1.61,1.52,27.4,31.0,5.03,2.04
Cash Conversion Cycle,33.7,5.33,44.1,33.0,33.3,28.7,26.5,34.5,,,82.0,81.0,32.6,78.9,81.7,86.3,43.8,118.8,122.2,96.5
Debt to Asset Ratio,0.64,0.64,0.57,0.53,0.48,0.44,0.51,0.56,,,0.54,0.54,0.51,0.50,0.50,0.52,0.56,0.56,0.57,0.55
Debt to Equity Ratio,2.93,2.61,1.34,1.16,0.95,0.81,1.08,1.29,,,1.21,1.23,1.08,1.01,1.01,1.14,1.29,1.31,1.35,1.24
Interest Coverage Ratio,0.48,3.22,2.51,2.34,2.28,3.82,3.91,5.26,,,3.80,2.21,3.26,4.47,5.27,5.26,6.00,3.88,3.57,3.93
Cash and Short Term Investments,303.8,225.9,243.7,328.9,376.3,479.2,495.4,614.7,,,457.5,652.0,495.4,506.2,600.0,769.4,614.7,578.8,836.5,545.4
"Total Receivables, Net","1,218","2,800","2,234","1,871","1,890","1,857","2,196","2,765",,,"2,181","2,179","2,196","2,407","2,377","2,417","2,765","4,838","2,722","2,529"
Total Inventory,892.0,"1,282","1,222","1,210","1,109","1,045","1,124","1,728",,,"1,187","1,242","1,124","1,279","1,320","1,711","1,728","1,983","1,891","1,922"
