,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,74.5,95.0,99.7,106.5,139.0,156.3,143.5,177.2,,,148.8,151.3,144.0,144.0,142.4,143.5,177.4,175.5,163.5,156.0
Earnings per Share,3.70,4.70,3.68,4.21,4.24,4.74,5.53,7.90,,,1.70,2.01,1.00,1.47,1.38,2.65,2.37,1.48,1.18,2.95
Revenue per Share,10.9,12.6,12.9,13.7,14.1,15.9,15.9,18.0,,,3.89,4.34,4.09,4.14,4.01,5.52,4.34,4.43,4.31,5.07
Dividend per Share,0.60,0.60,0.60,0.60,0.60,0.80,0.80,3.40,,,,0.40,0.40,,0.40,1.50,1.50,,0.90,0.00
Capital Expenditures per Share,0.64,0.41,1.13,2.01,1.01,3.70,1.28,2.91,,,0.057,0.88,0.12,0.78,1.63,0.34,0.15,0.16,0.32,0.28
Book Value per Share,13.6,18.7,21.2,27.9,30.9,40.1,46.3,50.4,,,43.1,45.4,46.3,47.1,46.4,51.2,50.4,51.2,51.4,53.1
Price to Earnings Ratio,12.4,18.9,25.8,24.4,24.3,31.0,27.1,19.6,,,29.4,26.6,27.1,22.6,24.1,20.6,19.7,21.3,20.8,19.2
Price to Book Value Ratio,3.66,4.80,4.49,3.94,3.64,3.74,3.07,3.28,,,3.39,3.27,3.07,2.99,3.07,2.60,3.28,3.24,3.11,2.86
EV to EBITDA,18.5,20.2,29.6,32.9,31.2,45.0,41.1,31.5,,,43.9,41.0,41.1,32.8,35.4,28.1,31.5,36.5,35.5,43.6
Dividend Payout Ratio,16.2%,12.8%,16.3%,14.3%,14.1%,16.9%,14.5%,43.0%,,,,7.2%,7.2%,,6.8%,23.1%,19.1%,,11.7%,0.0%
Common Shares Outstanding,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,,,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0
Total Revenue,"2,616","3,028","3,095","3,290","3,394","3,806","3,812","4,319",,,933.5,"1,043",980.5,993.8,961.2,"1,324","1,040","1,063","1,034","1,218"
"Cost of Revenue, Total","1,856","2,006","2,138","2,302","2,348","2,619","2,663","2,844",,,677.0,678.8,696.8,655.9,668.2,750.9,769.0,740.8,739.0,828.4
Gross Profit,759.9,"1,022",956.7,987.7,"1,046","1,187","1,148","1,476",,,256.5,363.9,283.7,337.9,293.0,573.1,271.4,322.1,294.8,389.4
"Selling/General/Administrative Expenses, Total",248.3,269.8,321.9,336.6,372.2,413.6,414.1,460.6,,,99.8,109.6,95.1,113.0,143.7,120.3,91.3,128.3,151.3,136.6
Operating Income,526.6,799.2,634.8,651.1,673.7,773.3,734.4,"1,015",,,156.7,254.3,188.5,224.9,149.3,452.7,180.2,193.8,143.6,252.8
Net Income,887.6,"1,128",884.1,"1,010","1,018","1,138","1,327","1,896",,,408.5,483.2,240.4,352.2,330.7,637.2,568.3,354.6,283.4,707.9
EBITDA,706.1,965.4,803.2,825.0,845.2,948.9,925.1,"1,202",,,203.0,302.9,240.5,267.2,196.1,498.3,232.8,232.4,187.3,299.5
Gross Profit Margin,29.0%,33.7%,30.9%,30.0%,30.8%,31.2%,30.1%,34.2%,,,27.5%,34.9%,28.9%,34.0%,30.5%,43.3%,26.1%,30.3%,28.5%,32.0%
Operating Margin,20.1%,26.4%,20.5%,19.8%,19.8%,20.3%,19.3%,23.5%,,,16.8%,24.4%,19.2%,22.6%,15.5%,34.2%,17.3%,18.2%,13.9%,20.8%
Net Profit Margin,33.9%,37.3%,28.6%,30.7%,30.0%,29.9%,34.8%,43.9%,,,43.8%,46.3%,24.5%,35.4%,34.4%,48.1%,54.6%,33.4%,27.4%,58.1%
Return on Assets,17.5%,18.4%,12.2%,10.8%,9.2%,8.8%,8.6%,12.0%,,,8.1%,8.7%,8.3%,9.1%,8.9%,9.7%,11.8%,12.4%,11.8%,11.3%
Return on Equity,27.1%,25.1%,17.4%,15.1%,13.7%,11.8%,11.9%,15.7%,,,4.0%,4.4%,2.2%,3.1%,3.0%,5.2%,4.7%,2.9%,2.3%,5.6%
Return on Total Capital,26.2%,24.0%,16.5%,13.9%,13.1%,11.6%,11.9%,15.7%,,,11.7%,12.1%,11.9%,13.1%,12.6%,12.7%,15.6%,15.4%,15.0%,15.0%
