,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,4.35,3.11,2.54,1.84,1.21,,,2.53,2.50,2.09,1.78,1.79,1.54,1.37,1.18,1.06,0.95
Earnings per Share,,0.14,0.10,0.26,0.22,0.015,0.015,-0.036,,,0.016,-0.013,0.022,0.001,-0.030,-0.048,0.042,0.001,-0.033,-0.021
Revenue per Share,,0.55,0.92,1.18,1.37,1.47,1.51,1.83,,,0.49,0.39,0.37,0.37,0.35,0.36,0.75,0.36,0.21,0.20
Dividend per Share,,,0.00,0.061,0.070,,,,,,,,,,,,,,,
Capital Expenditures per Share,,0.56,0.035,0.068,0.063,0.00,0.00,0.00,,,-0.027,0.00,0.00,0.012,-0.012,0.00,0.00,0.009,-0.006,0.00
Book Value per Share,,0.26,0.36,1.05,2.01,1.96,1.98,1.95,,,1.92,1.96,1.98,1.98,1.95,1.90,1.95,1.95,1.57,1.55
Price to Earnings Ratio,,,,,13.0,163.1,146.5,,,,,,157.5,63.1,,,,,,
Price to Book Value Ratio,,,,,1.41,1.19,0.91,0.61,,,1.39,1.17,0.91,0.83,0.87,0.74,0.61,0.51,0.64,0.57
EV to EBITDA,,,0.00,0.00,19.7,32.8,19.3,11.7,,,27.4,23.0,19.3,17.8,23.1,26.8,11.7,11.2,11.6,14.5
Dividend Payout Ratio,,,0.0%,23.2%,32.4%,,,,,,,,,,,,,,,
Common Shares Outstanding,,370.4,370.4,370.4,370.4,370.4,480.8,480.8,,,379.5,480.8,480.8,480.8,480.8,480.8,480.8,480.8,793.8,793.8
Total Revenue,,203.9,342.4,437.4,506.0,545.2,726.4,879.6,,,184.9,185.4,177.9,178.2,169.2,170.9,361.3,171.7,167.8,158.0
"Cost of Revenue, Total",,171.8,270.0,313.5,389.1,447.0,574.0,723.5,,,144.9,148.1,140.6,148.5,150.3,150.7,274.0,141.7,145.6,135.7
Gross Profit,,32.0,72.4,123.9,116.9,98.2,152.4,156.2,,,40.1,37.3,37.3,29.7,18.9,20.2,87.3,30.1,22.2,22.4
"Selling/General/Administrative Expenses, Total",,18.4,26.9,40.9,60.6,82.5,135.3,161.5,,,26.2,34.1,38.6,37.1,37.3,41.6,45.5,43.3,44.8,49.4
Operating Income,,65.0,45.5,83.0,56.3,31.8,37.0,30.7,,,22.1,7.62,-1.76,9.80,-7.55,-17.9,46.3,7.45,-14.0,-21.7
Net Income,,50.2,38.7,54.8,58.2,5.65,6.38,-17.4,,,6.09,-6.16,10.5,0.35,-14.6,-23.2,20.0,0.50,-18.0,-16.4
EBITDA,,67.9,51.5,93.3,77.1,80.7,142.8,153.8,,,45.9,33.0,32.6,37.2,20.5,11.7,78.0,38.3,16.8,9.37
Gross Profit Margin,,15.7%,21.1%,28.3%,23.1%,18.0%,21.0%,17.8%,,,21.7%,20.1%,21.0%,16.7%,11.2%,11.8%,24.2%,17.5%,13.2%,14.2%
Operating Margin,,31.9%,13.3%,19.0%,11.1%,5.8%,5.1%,3.5%,,,12.0%,4.1%,-1.0%,5.5%,-4.5%,-10.4%,12.8%,4.3%,-8.4%,-13.7%
Net Profit Margin,,24.6%,11.3%,12.5%,11.5%,1.0%,0.9%,-2.0%,,,3.3%,-3.3%,5.9%,0.2%,-8.6%,-13.6%,5.5%,0.3%,-10.7%,-10.4%
Return on Assets,,14.8%,10.0%,8.4%,5.0%,0.3%,0.3%,-0.7%,,,-0.4%,-0.4%,0.3%,0.4%,-0.4%,-1.1%,-0.7%,-0.7%,-0.8%,-0.5%
Return on Equity,,53.0%,29.0%,14.1%,7.8%,0.8%,0.7%,-1.9%,,,0.8%,-0.7%,1.1%,0.0%,-1.6%,-2.5%,2.1%,0.1%,-1.4%,-1.3%
Return on Total Capital,,52.5%,15.9%,8.2%,4.9%,0.4%,0.3%,-1.2%,,,-0.7%,-0.5%,0.3%,0.6%,-0.5%,-1.6%,-1.2%,-1.2%,-1.2%,-0.8%
SG&A to Sale,,9.0%,7.9%,9.3%,12.0%,15.1%,18.6%,18.4%,,,14.2%,18.4%,21.7%,20.8%,22.0%,24.3%,12.6%,25.2%,26.7%,31.3%
Depreciation & Amortisation,,2.92,5.98,10.3,20.0,46.0,98.5,114.5,,,23.8,25.4,27.1,27.5,28.1,29.5,29.5,28.6,28.5,28.8
Tax Rate,,20.7%,20.5%,20.0%,20.0%,434.6%,212.7%,38.8%,,,23.9%,-9.9%,468.2%,85.4%,30.0%,26.9%,18.4%,63.0%,29.3%,29.9%
Current Ratio,,0.087,0.27,0.47,1.78,0.37,0.83,0.34,,,0.43,0.72,0.83,0.80,0.76,0.51,0.34,0.34,0.65,0.65
Quick Ratio,,0.037,0.077,0.17,0.14,0.053,0.10,0.072,,,0.072,0.094,0.10,0.12,0.11,0.069,0.072,0.070,0.077,0.091
Days Inventory Outstanding,,,,,,,0.39,0.58,,,,0.17,0.28,0.44,0.76,0.96,0.79,1.23,1.61,1.65
Days Sale Outstanding,,11.3,7.46,11.9,13.0,22.5,19.6,23.2,,,32.5,21.1,19.6,26.1,26.1,26.4,23.2,26.3,28.3,25.9
Days Payable Outstanding,,10.7,4.40,2.07,1.74,3.86,7.23,5.93,,,7.01,7.04,8.46,9.46,9.83,9.43,5.72,4.74,4.99,3.33
Cash Conversion Cycle,,0.65,5.09,6.45,10.1,10.9,9.59,23.8,,,19.0,18.3,11.1,14.8,18.4,20.7,27.3,31.1,36.4,40.3
Debt to Asset Ratio,,0.72,0.69,0.55,0.49,0.68,0.61,0.61,,,0.70,0.61,0.61,0.61,0.63,0.63,0.61,0.62,0.54,0.52
Debt to Equity Ratio,,2.57,2.24,1.24,0.94,2.12,1.60,1.57,,,2.34,1.61,1.60,1.62,1.69,1.76,1.57,1.62,1.18,1.08
Interest Coverage Ratio,,,19.5,29.4,3.34,1.26,0.69,0.49,,,1.57,0.56,,0.73,,,2.73,0.51,,
Cash and Short Term Investments,,2.34,9.12,20.4,208.5,70.1,6.04,21.4,,,49.3,17.8,6.04,14.4,17.8,17.7,21.4,23.4,232.7,10.3
"Total Receivables, Net",,6.32,7.00,14.2,18.0,33.5,39.0,56.0,,,56.2,40.0,39.0,51.9,50.9,50.3,56.0,62.8,67.7,61.0
Total Inventory,,,,,,,0.61,1.67,,,,0.26,0.61,0.80,1.65,1.45,1.67,3.15,3.12,3.19
Total Current Assets,,14.9,24.5,40.3,233.0,230.8,312.2,260.7,,,336.3,306.3,312.2,338.0,361.1,372.3,260.7,305.9,574.4,433.0
"Property/Plant/Equipment, Total - Net",,36.6,279.2,538.6,"1,027","1,726","1,841","1,779",,,"1,786","1,832","1,841","1,824","1,830","1,812","1,779","1,783","1,740","1,726"
Total Assets,,338.0,432.7,871.2,"1,450","2,265","2,496","2,409",,,"2,430","2,472","2,496","2,508","2,541","2,536","2,409","2,457","2,727","2,560"
Accounts Payable,,5.02,1.48,2.07,1.64,7.82,14.9,8.59,,,9.76,11.7,14.9,15.3,16.4,14.1,8.59,10.0,9.44,3.27
Accrued Expenses,,9.34,16.8,18.9,39.5,76.0,88.4,86.4,,,82.1,97.8,88.4,92.0,86.1,84.9,86.4,82.6,83.8,77.2
Debt Due,,151.4,58.5,37.1,69.2,473.9,231.8,649.7,,,637.9,264.9,231.8,268.5,349.0,609.4,649.7,764.8,715.2,517.1
Total Current Liabilities,,171.5,91.1,85.5,130.6,629.8,375.4,775.1,,,783.2,423.8,375.4,421.9,472.6,727.1,775.1,900.8,884.3,670.4
Long Term Debt,,0.77,110.3,277.3,434.9,760.3,"1,012",563.2,,,770.6,941.3,"1,012",983.1,982.1,753.5,563.2,498.9,464.6,532.3
Total Liabilities,,243.3,299.3,483.0,703.8,"1,539","1,527","1,465",,,"1,702","1,513","1,527","1,540","1,589","1,610","1,465","1,514","1,475","1,327"
Common Stock,,50.0,50.0,250.0,370.4,370.4,480.8,480.8,,,370.4,480.8,480.8,480.8,480.8,480.8,480.8,480.8,793.8,793.8
Additional Paid-In Capital,,,,,201.9,201.9,312.1,312.1,,,201.9,312.1,312.1,312.1,312.1,312.1,312.1,312.1,329.5,329.5
Retained Earnings (Accumulated Deficit),,44.7,83.4,138.2,173.5,153.2,160.1,142.6,,,155.3,149.1,160.1,160.4,145.8,122.6,142.6,143.1,125.1,108.7
Shareholders' Equity,,94.7,133.4,388.2,745.8,725.5,953.0,935.6,,,727.6,942.1,953.0,953.4,938.8,915.6,935.6,936.1,"1,248","1,232"
Cash from Operating Activities,,8.93,60.3,103.2,96.7,-21.2,-0.26,193.8,,,8.10,29.7,0.19,27.6,-11.6,-2.75,180.6,-1.12,-10.7,-68.0
Cash from Investing Activities,,-206.8,-70.1,-435.1,-575.3,-592.9,-250.9,-77.6,,,-41.4,-81.7,-34.3,-10.8,-48.0,-10.5,-8.36,-30.0,-8.85,-6.19
Cash from Financing Activities,,200.2,16.7,343.2,466.2,676.2,187.1,-100.8,,,80.0,20.6,22.4,-8.44,63.0,13.2,-168.5,33.1,228.9,-148.2
Net Change in Cash,,2.34,6.78,11.3,-12.4,62.0,-64.0,15.3,,,46.7,-31.5,-11.7,8.33,3.41,-0.045,3.65,1.98,209.3,-222.4
Free Cashflows,,-197.9,47.2,78.0,73.5,-21.2,-0.26,193.8,,,18.2,29.7,0.19,21.7,-5.66,-2.75,180.6,-5.62,-6.22,-68.0
Free Cashflow per Share,,-0.53,0.13,0.21,0.20,-0.057,-0.001,0.40,,,0.048,0.062,0.000,0.045,-0.012,-0.006,0.38,-0.012,-0.008,-0.086
