,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,2.23,1.38,1.00,0.49,0.32,0.39,0.37,0.33,,,0.44,0.27,0.18,0.17,,,,0.14,,
Earnings per Share,-0.76,-1.14,-0.20,-0.27,-0.47,-0.15,-0.057,-0.24,,,-0.082,0.000,-0.16,0.029,-0.15,-0.025,-0.096,-0.065,-0.023,-0.070
Revenue per Share,9.05,2.58,1.47,3.52,3.35,3.18,3.77,4.40,,,0.80,1.04,1.00,1.19,1.14,1.27,0.80,0.50,0.76,0.67
Dividend per Share,,,,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.025,0.001,0.008,0.000,0.00,0.005,0.002,0.017,,,0.001,0.001,0.000,0.001,0.004,0.006,0.007,0.004,0.002,0.014
Book Value per Share,2.20,1.24,1.27,0.94,0.47,0.31,0.29,0.025,,,0.41,0.45,0.29,0.30,0.15,0.12,0.025,-0.040,-0.063,-0.13
Price to Earnings Ratio,,,,,,,,,,,,,,,,,,,,
Price to Book Value Ratio,1.04,1.53,0.59,0.58,0.67,1.02,0.52,,,,0.80,0.42,0.52,0.44,,,,,,
EV to EBITDA,373.5,-8.59,-7.02,25.8,-18.7,7.64,10.4,0.00,,,13.4,13.6,10.4,10.2,0.00,0.00,0.00,0.00,-22.3,0.00
Dividend Payout Ratio,,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,"3,406","5,185","6,789","6,850","6,850","6,850","6,850","6,850",,,"6,850","6,850","6,850","6,850","6,850","6,850","6,850","6,850","6,850","6,850"
Total Revenue,"30,806","13,351","9,960","24,135","22,941","21,793","25,833","30,144",,,"5,473","7,154","6,881","8,157","7,831","8,696","5,459","3,423","5,220","4,572"
"Cost of Revenue, Total","31,370","13,884","10,304","23,506","23,772","20,559","24,977","30,195",,,"5,838","6,963","6,462","7,621","7,882","8,798","5,903","4,053","5,266","5,212"
Gross Profit,-564.3,-532.7,-343.2,628.1,-830.3,"1,234",856.0,-51.0,,,-364.6,191.6,419.3,536.2,-50.9,-102.3,-443.2,-629.6,-46.6,-639.9
"Selling/General/Administrative Expenses, Total","1,602","3,144","3,277","1,921","1,437","1,441","1,351","1,209",,,304.4,447.0,298.0,294.8,296.5,308.1,309.1,242.9,327.1,280.5
Operating Income,"-1,984","-4,170","-3,405","-1,334","-2,260",-174.6,-348.3,"-1,310",,,-663.6,-69.9,123.5,245.9,-368.9,-463.3,-724.0,-827.7,-377.6,-986.1
Net Income,"-2,526","-4,612","-1,251","-1,870","-3,223","-1,043",-387.7,"-1,662",,,-560.8,-0.20,"-1,071",196.6,"-1,028",-173.5,-657.7,-445.5,-159.9,-477.5
EBITDA,135.2,"-2,231","-1,521",621.2,-347.6,"1,731","1,562",551.6,,,-194.4,412.6,607.7,707.1,95.6,6.23,-257.8,-389.6,79.6,-531.7
Gross Profit Margin,-1.8%,-4.0%,-3.4%,2.6%,-3.6%,5.7%,3.3%,-0.2%,,,-6.7%,2.7%,6.1%,6.6%,-0.7%,-1.2%,-8.1%,-18.4%,-0.9%,-14.0%
Operating Margin,-6.4%,-31.2%,-34.2%,-5.5%,-9.8%,-0.8%,-1.3%,-4.3%,,,-12.1%,-1.0%,1.8%,3.0%,-4.7%,-5.3%,-13.3%,-24.2%,-7.2%,-21.6%
Net Profit Margin,-8.2%,-34.5%,-12.6%,-7.7%,-14.1%,-4.8%,-1.5%,-5.5%,,,-10.2%,0.0%,-15.6%,2.4%,-13.1%,-2.0%,-12.0%,-13.0%,-3.1%,-10.4%
Return on Assets,-5.6%,-11.2%,-3.3%,-5.0%,-9.1%,-3.2%,-1.2%,-5.3%,,,-0.5%,-0.1%,-1.2%,-4.4%,-5.9%,-6.6%,-5.4%,-7.8%,-4.9%,-6.0%
Return on Equity,-33.6%,-71.9%,-14.5%,-28.9%,-101.0%,-48.6%,-19.6%,-964.2%,,,-19.9%,0.0%,-54.3%,9.7%,-102.4%,-20.9%,-381.4%,0.0%,0.0%,0.0%
Return on Total Capital,-31.5%,-67.8%,-14.1%,-26.5%,-87.0%,-39.6%,-10.3%,-128.9%,,,-4.0%,-0.7%,-10.3%,-44.1%,-88.8%,-106.8%,-128.9%,-247.3%,-77.1%,-128.0%
SG&A to Sale,5.2%,23.5%,32.9%,8.0%,6.3%,6.6%,5.2%,4.0%,,,5.6%,6.2%,4.3%,3.6%,3.8%,3.5%,5.7%,7.1%,6.3%,6.1%
Depreciation & Amortisation,"2,119","1,938","1,884","1,955","1,912","1,906","1,910","1,861",,,469.2,482.5,484.2,461.2,464.5,469.5,466.2,438.0,457.1,454.4
Tax Rate,0.0%,-0.1%,-0.7%,-0.9%,-0.5%,-2.1%,2.9%,0.0%,,,-0.4%,4.4%,-0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Current Ratio,0.20,0.074,0.17,0.25,0.13,0.15,0.31,0.29,,,0.21,0.22,0.31,0.35,0.32,0.27,0.29,0.21,0.31,0.27
Quick Ratio,0.020,0.016,0.025,0.027,0.013,0.014,0.010,0.018,,,0.020,0.029,0.010,0.012,0.012,0.007,0.018,0.004,0.013,0.014
Days Inventory Outstanding,47.6,72.0,42.2,37.4,39.3,34.5,47.9,55.9,,,42.7,40.2,53.3,65.2,62.6,52.0,53.1,54.2,54.6,66.3
Days Sale Outstanding,6.64,9.79,13.7,7.17,3.94,4.65,2.43,4.15,,,5.59,7.00,2.43,2.85,2.68,1.51,4.15,0.90,3.55,4.63
Days Payable Outstanding,147.5,291.6,244.1,113.3,126.7,137.8,64.3,22.2,,,31.5,29.3,24.2,22.8,26.3,20.6,22.2,23.8,21.1,29.6
Cash Conversion Cycle,-113.7,-116.4,-161.1,-87.6,-78.4,-93.9,31.7,30.7,,,17.3,16.1,38.5,40.1,38.3,38.2,27.7,41.7,31.9,41.1
Debt to Asset Ratio,0.67,0.63,0.52,0.57,0.64,0.67,0.61,0.67,,,0.63,0.58,0.61,0.60,0.64,0.63,0.67,0.67,0.65,0.66
Debt to Equity Ratio,3.92,3.74,2.25,3.29,6.74,10.1,10.0,119.1,,,7.16,6.03,10.0,9.67,20.3,23.3,119.1,-70.5,-44.3,-20.9
Interest Coverage Ratio,,,,,,,,,,,,,0.50,0.92,,,,,,
Cash and Short Term Investments,98.6,53.5,216.4,247.9,159.3,623.2,603.1,269.7,,,714.8,282.9,603.1,862.2,699.9,413.8,269.7,174.3,628.3,728.6
"Total Receivables, Net",560.5,358.0,372.7,473.8,247.6,277.4,172.1,342.8,,,348.4,472.6,172.1,216.3,220.5,130.7,342.8,62.7,222.0,236.7
Total Inventory,"4,576",902.9,"1,480","3,331","1,788","2,096","4,455","4,789",,,"2,461","2,839","4,455","5,145","4,771","3,991","4,789","3,121","4,068","3,358"
Total Current Assets,"5,678","1,669","2,470","4,427","2,343","3,087","5,337","5,461",,,"3,591","3,654","5,337","6,246","6,029","4,883","5,461","3,702","5,125","4,443"
"Property/Plant/Equipment, Total - Net","37,585","35,699","33,952","32,183","30,446","28,739","26,005","24,384",,,"27,873","27,438","26,005","25,550","25,153","24,766","24,384","23,981","23,564","23,231"
Total Assets,"44,123","38,055","37,289","37,467","33,436","32,615","32,172","30,632",,,"32,293","31,907","32,172","32,599","31,971","30,469","30,632","28,560","29,683","28,635"
Accounts Payable,"14,527","7,653","6,126","8,464","8,043","7,479","1,326","2,340",,,"1,876","1,990","1,326","2,033","2,131","1,335","2,340","1,129","1,648","1,667"
Accrued Expenses,"3,132","3,976","2,326","2,995","3,522","4,607","10,444","11,074",,,"5,309","6,191","10,444","10,268","10,958","10,849","11,074","11,105","10,953","10,718"
Debt Due,"3,721","3,801","1,878","1,697","1,673","1,618","3,013","3,072",,,"1,760","1,693","3,013","3,089","3,199","3,153","3,072","2,950","1,665","1,759"
Total Current Liabilities,"28,876","22,519","14,793","17,826","18,485","20,279","17,260","19,152",,,"17,148","16,347","17,260","17,899","18,846","17,884","19,152","17,880","16,705","16,468"
Long Term Debt,516.2,380.0,230.7,593.7,513.8,487.1,"1,803","1,118",,,"1,593","1,545","1,803","1,227","1,139","1,114","1,118","1,205","2,296","2,271"
Total Liabilities,"29,416","24,037","19,414","21,253","21,519","21,746","19,781","20,532",,,"20,186","18,566","19,781","19,645","20,418","19,347","20,532","19,262","19,179","19,001"
Common Stock,"17,029","26,923","34,251","34,251","34,251","34,251","34,251","34,251",,,"34,251","34,251","34,251","34,251","34,251","34,251","34,251","34,251","34,251","34,251"
Additional Paid-In Capital,"1,001",206.3,206.3,206.3,206.3,206.3,206.3,206.3,,,206.3,206.3,206.3,206.3,206.3,206.3,206.3,206.3,206.3,206.3
Retained Earnings (Accumulated Deficit),"-10,522","-15,134","-15,572","-17,845","-21,116","-22,160","-22,335","-24,136",,,"-21,490","-21,229","-22,335","-22,276","-23,304","-23,478","-24,136","-24,581","-24,741","-25,219"
Shareholders' Equity,"7,508","6,419","8,621","6,463","3,192","2,148","1,973",172.4,,,"2,818","3,079","1,973","2,032","1,004",830.1,172.4,-273.1,-433.0,-910.5
Cash from Operating Activities,342.1,-582.3,"-2,107",-343.2,157.6,674.9,159.9,845.2,,,1.38,-249.2,196.3,730.1,146.1,-128.5,97.4,62.4,-667.2,136.8
Cash from Investing Activities,-80.2,192.8,42.5,110.8,55.4,-30.9,132.2,-45.1,,,7.18,115.7,10.2,62.4,-25.3,-39.7,-42.5,-16.3,-6.64,-96.0
Cash from Financing Activities,-246.2,351.9,"2,227",263.9,-301.3,-179.1,-323.9,"-1,133",,,-81.2,-222.7,120.3,-532.5,-283.6,-119.3,-197.3,-138.4,"1,130",60.3
Net Change in Cash,16.1,-37.8,162.9,31.5,-88.5,463.9,-32.4,-332.6,,,-72.6,-356.5,326.6,259.7,-160.9,-289.1,-142.4,-92.7,456.3,100.6
Free Cashflows,255.6,-589.2,"-2,162",-344.7,157.6,641.1,146.0,729.5,,,-4.17,-253.8,193.3,724.6,121.0,-167.8,51.7,36.4,-681.4,40.8
Free Cashflow per Share,0.075,-0.11,-0.32,-0.050,0.023,0.094,0.021,0.11,,,-0.001,-0.037,0.028,0.11,0.018,-0.025,0.008,0.005,-0.099,0.006
