,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,15.6,18.0,14.1,14.5,19.6,15.4,10.7,9.18,,,16.7,15.2,13.3,13.0,12.2,10.4,8.93,8.23
Earnings per Share,0.37,0.98,1.05,0.89,0.92,1.05,0.76,0.79,0.38,,,0.11,0.25,0.28,0.16,0.12,0.24,0.17,-0.15
Revenue per Share,2.26,3.06,3.73,4.37,4.91,5.59,5.39,5.26,4.71,,,,,,1.14,1.05,1.39,1.25,1.01
Dividend per Share,0.00,0.99,0.73,0.80,0.75,0.90,0.75,0.80,0.65,,,,,,0.80,,0.35,0.00,0.30
Capital Expenditures per Share,0.091,0.15,0.20,0.30,0.19,0.16,0.26,0.25,0.069,,,,,,0.028,0.015,0.036,0.012,0.005
Book Value per Share,0.70,1.02,4.52,4.77,4.95,5.20,5.03,5.07,4.65,,,,,,5.07,5.18,4.97,4.78,4.65
Price to Earnings Ratio,,,14.2,16.2,13.0,17.4,16.9,16.6,19.1,,,73.0,36.4,21.1,16.6,14.5,13.1,10.4,19.2
Price to Book Value Ratio,,,3.56,3.06,2.63,3.96,2.52,2.53,1.63,,,,,,2.53,2.10,1.94,1.65,1.63
EV to EBITDA,0.00,0.00,10.2,11.5,9.54,11.3,29.3,11.1,10.2,,,46.5,31.2,0.00,11.1,10.4,8.45,8.89,10.2
Dividend Payout Ratio,0.0%,101.0%,69.8%,89.9%,82.0%,85.4%,98.5%,101.6%,169.2%,,,,,,101.6%,,44.4%,0.0%,78.4%
Common Shares Outstanding,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,792.0,,,,,,800.0,800.0,798.9,793.2,792.0
Total Revenue,"1,804","2,448","2,981","3,500","3,927","4,476","4,311","4,207","3,730",,,897.2,"1,214","1,185",911.0,836.9,"1,111",994.8,802.5
"Cost of Revenue, Total",950.0,"1,126","1,288","1,582","1,709","2,012","2,001","1,815","1,529",,,416.3,546.3,478.7,373.8,327.1,479.5,412.5,310.3
Gross Profit,854.4,"1,323","1,693","1,918","2,218","2,464","2,309","2,392","2,201",,,480.9,667.5,706.1,537.2,509.7,631.9,582.4,492.2
"Selling/General/Administrative Expenses, Total",427.5,671.7,901.8,"1,151","1,452","1,555","1,628","1,715","1,800",,,395.4,444.8,465.5,409.3,397.7,417.2,443.0,557.1
Operating Income,431.9,653.6,794.3,767.1,766.1,909.1,681.8,676.7,401.2,,,85.5,222.8,240.6,127.9,112.0,214.8,139.4,-64.9
Net Income,298.8,545.6,733.4,711.6,732.0,842.9,609.4,629.9,305.8,,,85.4,198.1,221.5,124.9,94.0,189.7,138.7,-116.6
EBITDA,474.3,701.2,880.5,897.7,921.3,"1,087",838.9,807.9,498.4,,,124.2,260.2,276.4,147.1,145.0,246.4,149.3,-42.4
Gross Profit Margin,47.4%,54.0%,56.8%,54.8%,56.5%,55.1%,53.6%,56.9%,59.0%,,,53.6%,55.0%,59.6%,59.0%,60.9%,56.9%,58.5%,61.3%
Operating Margin,23.9%,26.7%,26.6%,21.9%,19.5%,20.3%,15.8%,16.1%,10.8%,,,9.5%,18.4%,20.3%,14.0%,13.4%,19.3%,14.0%,-8.1%
Net Profit Margin,16.6%,22.3%,24.6%,20.3%,18.6%,18.8%,14.1%,15.0%,8.2%,,,9.5%,16.3%,18.7%,13.7%,11.2%,17.1%,13.9%,-14.5%
Return on Assets,25.0%,31.5%,22.0%,15.0%,14.7%,16.4%,11.9%,12.7%,6.7%,,,0.0%,0.0%,0.0%,25.9%,13.0%,12.8%,11.6%,6.9%
Return on Equity,53.7%,66.9%,20.3%,18.6%,18.5%,20.3%,15.1%,15.5%,8.3%,,,0.0%,0.0%,0.0%,3.1%,2.3%,4.8%,3.7%,-3.2%
Return on Total Capital,53.7%,48.9%,20.3%,18.6%,18.5%,20.3%,15.1%,15.5%,8.3%,,,0.0%,0.0%,0.0%,15.5%,15.4%,15.9%,14.4%,8.3%
SG&A to Sale,23.7%,27.4%,30.2%,32.9%,37.0%,34.7%,37.8%,40.8%,48.2%,,,44.1%,36.6%,39.3%,44.9%,47.5%,37.5%,44.5%,69.4%
Depreciation & Amortisation,41.4,47.7,86.2,130.6,155.1,178.0,157.1,131.2,97.2,,,38.7,37.5,35.8,19.2,33.0,31.7,9.95,22.5
