,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,3.78,6.67,6.82,8.58,7.70,7.78,6.75,6.25,,,7.55,7.50,6.98,6.90,6.93,6.60,6.55,6.13,5.90,5.78
Earnings per Share,0.39,0.12,0.27,0.35,0.48,0.38,0.28,0.55,,,0.12,0.057,0.053,0.12,0.18,0.14,0.11,0.084,0.073,0.12
Revenue per Share,9.26,6.18,4.72,4.56,5.34,5.64,7.47,8.41,,,1.99,1.93,1.92,2.06,1.88,1.95,2.52,1.75,1.81,1.78
Dividend per Share,0.29,0.12,0.27,0.30,0.32,0.34,0.42,0.55,,,0.17,0.00,0.25,,0.25,0.00,0.30,,,0.12
Capital Expenditures per Share,0.21,0.26,0.32,0.54,0.66,0.97,1.14,0.28,,,0.30,0.27,0.38,0.11,0.040,0.063,0.062,0.028,0.046,0.15
Book Value per Share,1.49,1.59,1.62,1.82,2.00,2.04,1.97,1.76,,,2.04,1.92,1.97,2.10,1.81,1.69,1.76,1.81,1.54,1.52
Price to Earnings Ratio,9.59,33.2,19.5,17.2,14.7,18.9,24.2,12.2,,,20.9,23.9,24.2,19.9,16.9,13.0,12.2,11.3,14.2,15.2
Price to Book Value Ratio,2.64,4.08,3.55,3.16,3.47,3.43,3.37,3.53,,,3.53,3.74,3.37,3.22,3.73,3.53,3.53,3.27,3.66,3.66
EV to EBITDA,8.66,12.8,10.6,9.92,8.67,9.57,7.83,6.29,,,8.82,8.26,7.83,6.81,7.00,6.90,6.29,5.76,6.14,6.25
Dividend Payout Ratio,75.2%,96.1%,100.3%,85.2%,66.8%,89.2%,148.5%,100.4%,,,48.6%,0.0%,88.4%,,61.3%,0.0%,54.7%,,,31.4%
Common Shares Outstanding,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,,,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,955.8
Total Revenue,"8,885","5,933","4,534","4,377","5,129","5,416","7,174","8,077",,,"1,908","1,853","1,843","1,978","1,802","1,875","2,422","1,677","1,733","1,701"
"Cost of Revenue, Total","7,685","5,097","3,433","3,076","3,502","3,795","5,320","6,045",,,"1,403","1,377","1,407","1,482","1,248","1,385","1,929","1,257","1,287","1,259"
Gross Profit,"1,200",836.7,"1,101","1,302","1,627","1,621","1,854","2,033",,,505.3,475.8,436.2,495.5,554.4,489.6,493.0,420.5,446.1,442.8
"Selling/General/Administrative Expenses, Total",644.5,603.8,653.6,757.9,816.3,882.7,"1,066",961.9,,,261.3,250.7,287.3,227.1,250.2,218.0,269.3,212.7,255.9,221.5
Operating Income,555.3,232.9,447.1,543.6,810.4,737.9,788.4,"1,071",,,244.1,225.0,149.0,268.4,304.2,271.6,223.7,207.8,190.2,221.3
Net Income,370.3,119.9,258.5,337.9,459.8,365.8,271.5,526.1,,,115.7,54.3,51.2,115.9,170.1,136.6,103.6,80.9,70.4,111.9
EBITDA,727.4,437.3,612.4,751.5,"1,030","1,031","1,200","1,543",,,344.0,332.8,260.9,383.8,422.4,389.6,344.0,325.4,307.6,337.9
Gross Profit Margin,13.5%,14.1%,24.3%,29.7%,31.7%,29.9%,25.8%,25.2%,,,26.5%,25.7%,23.7%,25.1%,30.8%,26.1%,20.4%,25.1%,25.7%,26.0%
Operating Margin,6.3%,3.9%,9.9%,12.4%,15.8%,13.6%,11.0%,13.3%,,,12.8%,12.1%,8.1%,13.6%,16.9%,14.5%,9.2%,12.4%,11.0%,13.0%
Net Profit Margin,4.2%,2.0%,5.7%,7.7%,9.0%,6.8%,3.8%,6.5%,,,6.1%,2.9%,2.8%,5.9%,9.4%,7.3%,4.3%,4.8%,4.1%,6.6%
Return on Assets,6.2%,2.4%,5.6%,6.2%,7.5%,5.7%,3.6%,6.2%,,,4.4%,3.7%,3.3%,4.1%,4.6%,5.5%,6.1%,5.9%,5.1%,4.8%
