,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,64.0,70.0,56.6,54.8,67.1,85.8,74.6,52.5,,,82.3,84.3,83.0,75.0,71.3,67.4,67.4,59.3,48.1,41.3
Earnings per Share,4.24,5.23,2.97,3.35,4.91,7.11,4.00,2.42,,,0.95,1.04,0.80,0.34,0.29,0.91,0.87,0.35,-0.86,0.40
Revenue per Share,110.1,98.8,92.6,83.4,79.9,81.5,82.0,76.7,,,20.1,21.1,20.3,19.6,18.4,20.0,18.8,19.4,18.6,18.8
Dividend per Share,4.00,5.00,2.80,3.35,4.90,7.10,4.00,2.41,,,,,4.00,,,,2.41,,,
Capital Expenditures per Share,4.28,3.74,3.88,2.81,3.23,3.85,2.42,0.96,,,0.51,0.80,0.49,0.26,0.61,0.66,0.94,0.86,0.39,1.11
Book Value per Share,48.1,50.6,48.6,49.2,50.7,52.9,49.8,48.7,,,47.9,49.0,49.8,50.7,47.0,47.9,48.7,49.1,45.6,46.0
Price to Earnings Ratio,16.1,12.4,20.1,16.1,11.5,11.9,20.1,24.4,,,12.4,13.8,20.1,22.7,27.5,27.3,24.4,20.7,32.9,49.6
Price to Book Value Ratio,1.36,1.46,1.17,1.07,1.12,1.52,1.62,1.31,,,1.68,1.64,1.62,1.34,1.49,1.35,1.31,1.04,1.06,0.80
EV to EBITDA,5.71,4.93,5.72,5.22,3.62,4.22,8.41,9.68,,,5.98,6.35,8.41,8.82,9.61,9.39,9.68,8.27,9.30,8.46
Dividend Payout Ratio,94.4%,95.6%,94.4%,99.9%,99.8%,99.9%,99.9%,99.6%,,,,,99.9%,,,,99.8%,,,
Common Shares Outstanding,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,,,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50
Total Revenue,825.8,740.7,694.3,625.7,599.4,611.1,614.8,575.2,,,150.9,157.9,152.5,146.9,137.8,150.2,141.1,145.5,139.5,140.9
"Cost of Revenue, Total",713.2,620.3,586.0,526.3,482.3,466.9,503.5,478.6,,,122.9,129.9,127.9,125.4,116.7,123.8,116.6,125.8,127.4,118.7
Gross Profit,112.6,120.5,108.3,99.4,117.1,144.2,111.4,96.6,,,28.0,28.1,24.6,21.5,21.0,26.4,24.5,19.7,12.2,22.2
"Selling/General/Administrative Expenses, Total",62.6,69.3,78.0,70.3,70.8,78.3,76.3,75.8,,,18.8,18.0,19.2,18.2,18.2,17.9,18.3,16.5,20.2,18.5
Operating Income,50.0,51.1,30.3,29.1,46.2,65.9,35.1,20.8,,,9.21,10.0,5.41,3.28,2.82,8.46,6.25,3.23,-8.00,3.71
Net Income,31.8,39.2,22.3,25.1,36.9,53.3,30.0,18.1,,,7.10,7.78,6.01,2.57,2.19,6.83,6.52,2.65,-6.43,3.00
EBITDA,90.1,90.4,68.0,65.0,79.3,93.6,62.1,44.7,,,15.9,16.5,11.9,9.72,8.93,14.2,11.9,9.14,-2.36,9.25
Gross Profit Margin,13.6%,16.3%,15.6%,15.9%,19.5%,23.6%,18.1%,16.8%,,,18.6%,17.8%,16.1%,14.6%,15.3%,17.6%,17.4%,13.5%,8.7%,15.8%
Operating Margin,6.1%,6.9%,4.4%,4.6%,7.7%,10.8%,5.7%,3.6%,,,6.1%,6.3%,3.6%,2.2%,2.0%,5.6%,4.4%,2.2%,-5.7%,2.6%
Net Profit Margin,3.8%,5.3%,3.2%,4.0%,6.1%,8.7%,4.9%,3.1%,,,4.7%,4.9%,3.9%,1.7%,1.6%,4.5%,4.6%,1.8%,-4.6%,2.1%
Return on Assets,5.7%,7.3%,4.5%,5.1%,7.6%,10.7%,6.1%,3.8%,,,10.0%,9.3%,6.3%,4.9%,4.1%,3.9%,3.9%,3.9%,2.1%,1.3%
Return on Equity,8.8%,10.3%,6.1%,6.8%,9.7%,13.4%,8.0%,5.0%,,,2.0%,2.1%,1.6%,0.7%,0.6%,1.9%,1.8%,0.7%,-1.9%,0.9%
Return on Total Capital,8.8%,10.3%,6.1%,6.8%,9.7%,13.4%,8.0%,5.0%,,,13.4%,11.9%,8.0%,6.2%,5.3%,4.9%,5.0%,4.9%,2.8%,1.7%
SG&A to Sale,7.6%,9.4%,11.2%,11.2%,11.8%,12.8%,12.4%,13.2%,,,12.5%,11.4%,12.6%,12.4%,13.2%,11.9%,13.0%,11.3%,14.5%,13.1%
Depreciation & Amortisation,40.2,39.3,37.6,35.9,33.0,27.7,27.0,23.9,,,6.70,6.46,6.50,6.44,6.10,5.71,5.66,5.91,5.64,5.54
Tax Rate,32.7%,21.4%,24.9%,13.5%,20.3%,19.1%,14.5%,13.0%,,,22.9%,22.4%,-11.0%,21.8%,22.3%,19.3%,-4.3%,18.0%,19.6%,19.1%
Current Ratio,2.78,4.75,4.79,5.21,6.62,5.83,5.90,5.86,,,5.81,5.65,5.90,7.15,6.37,6.08,5.86,6.21,6.63,6.22
Quick Ratio,0.90,1.80,1.82,2.07,2.08,2.40,2.29,2.39,,,2.57,2.61,2.29,2.55,2.31,2.59,2.39,2.36,2.60,2.48
Days Inventory Outstanding,136.1,151.5,124.6,117.7,119.8,112.1,108.3,125.5,,,111.2,109.9,113.6,115.3,111.3,108.5,117.1,127.4,121.8,111.3
Days Sale Outstanding,61.5,70.2,73.0,87.4,72.4,75.2,82.8,84.1,,,74.8,82.0,82.8,74.9,78.5,84.2,84.0,89.7,86.9,90.2
Days Payable Outstanding,38.5,34.6,29.0,30.0,24.9,22.9,25.3,25.0,,,24.5,26.6,26.3,23.9,21.3,20.1,22.0,25.1,22.9,19.0
Cash Conversion Cycle,171.9,195.8,174.4,175.7,186.7,160.2,164.3,190.6,,,161.9,162.6,173.5,174.3,171.3,172.5,181.1,189.7,192.8,184.3
Debt to Asset Ratio,0.36,0.25,0.26,0.25,0.22,0.22,0.22,0.21,,,0.22,0.23,0.22,0.19,0.21,0.21,0.21,0.21,0.23,0.23
Debt to Equity Ratio,0.56,0.33,0.35,0.33,0.28,0.28,0.29,0.27,,,0.29,0.29,0.29,0.23,0.26,0.27,0.27,0.26,0.29,0.30
Interest Coverage Ratio,18.3,41.1,43.7,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,0.67,3.94,46.5,60.5,106.8,137.8,77.3,73.2,,,85.9,85.4,77.3,93.3,72.6,82.3,73.2,54.6,52.5,67.4
