,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,46.8,50.3,43.9,44.1,55.1,82.3,88.1,97.0,,,83.6,92.6,92.9,91.1,85.0,82.8,88.1,96.0,103.8,100.9
Earnings per Share,4.49,5.09,5.55,5.31,5.31,6.25,7.66,8.60,,,1.88,1.96,1.90,2.25,2.19,2.00,2.16,2.16,2.25,2.35
Revenue per Share,15.2,16.2,18.4,19.2,20.1,20.9,23.0,25.0,,,5.28,5.59,6.74,6.78,6.07,6.21,5.96,5.73,5.81,5.95
Dividend per Share,2.35,2.40,2.00,2.00,2.40,3.50,5.00,7.00,,,,,,,,,7.00,,,
Capital Expenditures per Share,0.25,0.23,0.23,0.29,0.39,0.28,0.25,0.24,,,0.073,0.059,0.100,0.020,0.033,0.091,0.094,0.082,0.007,0.065
Book Value per Share,22.3,25.0,28.7,32.1,35.1,39.0,43.2,47.1,,,39.2,41.3,43.2,45.4,42.4,44.7,47.1,49.3,44.4,46.7
Price to Earnings Ratio,8.58,10.6,7.11,8.86,8.95,11.0,11.6,10.2,,,10.8,12.1,11.6,10.4,9.87,9.58,10.2,10.4,11.9,10.9
Price to Book Value Ratio,1.86,2.22,1.42,1.42,1.30,1.84,2.08,1.87,,,1.96,2.14,2.08,1.85,1.98,1.75,1.87,1.90,2.31,2.13
EV to EBITDA,3.64,5.97,3.49,11.0,14.2,10.1,11.8,4.80,,,16.6,17.7,11.8,16.2,14.8,14.3,4.80,10.2,13.1,11.8
Dividend Payout Ratio,52.4%,47.1%,36.0%,37.7%,45.2%,56.0%,65.3%,81.4%,,,,,,,,,81.4%,,,
Common Shares Outstanding,727.9,727.9,800.7,800.7,800.7,800.7,800.7,800.7,,,800.7,800.7,800.7,800.7,800.7,800.7,800.7,800.7,800.7,800.7
Total Revenue,"9,789","9,838","10,597","10,922","10,815","12,785","15,315","17,332",,,"3,686","3,866","4,204","4,515","4,326","4,183","4,307","4,479","4,511","4,638"
"Cost of Revenue, Total",,,,,,,,,,,,,,,,,,,,
Gross Profit,"9,789","9,838","10,597","10,922","10,815","12,785","15,315","17,332",,,"3,686","3,866","4,204","4,515","4,326","4,183","4,307","4,479","4,511","4,638"
"Selling/General/Administrative Expenses, Total","3,334","3,237","3,534","3,690","3,512","4,417","5,211","6,016",,,"1,264","1,350","1,333","1,484","1,487","1,549","1,495","1,692","1,585","1,643"
Operating Income,"4,855","4,814","5,332","5,317","5,288","6,244","7,645","8,578",,,"1,878","1,948","1,968","2,220","2,196","2,004","2,160","2,162","2,239","2,335"
Net Income,"3,267","3,705","4,249","4,250","4,250","5,006","6,090","7,016",,,"1,505","1,572","1,522","1,766","1,709","1,815","1,726","1,730","1,798","1,878"
EBITDA,"5,047","5,062","5,543","5,492","5,453","6,422","7,847","8,802",,,"1,927","1,999","2,023","2,274","2,250","2,060","2,218","2,215","2,293","2,390"
Gross Profit Margin,88.4%,83.7%,71.9%,71.2%,67.2%,76.3%,83.3%,86.5%,,,87.2%,86.3%,77.9%,83.2%,89.0%,84.1%,90.3%,97.6%,97.0%,97.4%
