,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,12.5,10.8,12.0,15.7,14.1,15.5,14.3,,,13.7,14.4,14.6,14.9,15.7,16.2,15.7,15.6,15.5,13.8
Earnings per Share,,0.76,1.69,0.86,1.13,0.57,0.58,0.94,,,0.18,0.26,0.27,0.14,0.27,0.28,0.25,0.25,0.24,0.25
Revenue per Share,,1.00,1.21,1.26,1.32,1.34,1.43,1.51,,,0.35,0.36,0.37,0.37,0.38,0.38,0.38,0.38,0.38,0.38
Dividend per Share,,0.71,0.78,0.79,0.86,0.93,0.97,0.96,,,0.24,0.24,0.25,0.24,0.24,0.25,0.22,0.26,0.36,0.18
Capital Expenditures per Share,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Book Value per Share,,10.6,11.4,11.5,11.8,11.5,11.1,11.0,,,11.0,11.1,11.1,11.0,11.0,11.0,11.0,11.1,11.0,10.9
Price to Earnings Ratio,,18.4,5.91,12.0,12.0,25.2,24.5,15.8,,,33.9,41.4,24.5,17.0,16.8,16.6,15.8,14.2,14.8,13.1
Price to Book Value Ratio,,1.33,0.88,0.90,1.32,1.25,1.28,1.39,,,1.22,1.29,1.28,1.32,1.44,1.38,1.39,1.38,1.35,1.14
EV to EBITDA,,,12.2,12.4,14.1,15.3,13.4,13.9,,,13.1,13.7,13.4,13.6,13.8,14.6,13.9,13.2,13.6,12.9
Dividend Payout Ratio,,93.5%,45.9%,92.0%,75.6%,162.2%,166.4%,101.7%,,,60.8%,72.4%,42.3%,28.6%,25.8%,26.1%,23.4%,25.0%,34.7%,18.6%
Common Shares Outstanding,,426.6,426.6,426.6,426.6,426.6,426.6,426.6,,,426.6,426.6,426.6,426.6,426.6,426.6,426.6,426.6,426.6,426.6
Total Revenue,,425.6,517.9,537.6,561.2,570.3,611.6,643.3,,,150.8,152.8,155.8,156.2,160.3,162.9,163.9,160.4,163.5,163.9
"Cost of Revenue, Total",,93.9,143.2,153.9,136.3,141.6,143.5,158.5,,,37.3,33.8,36.9,39.0,41.3,37.8,40.5,36.9,38.2,40.0
Gross Profit,,331.7,374.7,383.6,424.8,428.7,468.1,484.8,,,113.5,119.0,118.9,117.2,119.1,125.0,123.4,123.5,125.4,123.9
"Selling/General/Administrative Expenses, Total",,6.12,5.48,3.34,3.37,2.97,3.27,3.57,,,0.79,0.92,0.81,0.61,0.88,0.70,1.38,0.90,1.41,0.76
Operating Income,,325.5,369.3,380.3,421.5,425.7,464.8,481.2,,,112.7,118.1,118.1,116.6,118.2,124.3,122.1,122.6,124.0,123.2
Net Income,,323.8,722.4,365.3,484.0,243.8,249.2,402.1,,,77.2,113.0,114.8,59.5,116.7,118.6,107.3,108.7,102.2,106.5
EBITDA,,325.5,369.3,380.3,421.5,425.7,464.8,481.2,,,112.7,118.1,118.1,116.6,118.2,124.3,122.1,122.6,124.0,123.2
Gross Profit Margin,,77.9%,72.4%,71.4%,75.7%,75.2%,76.5%,75.4%,,,75.2%,77.9%,76.3%,75.1%,74.3%,76.8%,75.3%,77.0%,76.7%,75.6%
Operating Margin,,76.5%,71.3%,70.7%,75.1%,74.6%,76.0%,74.8%,,,74.7%,77.3%,75.8%,74.7%,73.7%,76.3%,74.5%,76.4%,75.8%,75.1%
Net Profit Margin,,76.1%,139.5%,68.0%,86.3%,42.7%,40.8%,62.5%,,,51.2%,73.9%,73.7%,38.1%,72.8%,72.8%,65.5%,67.7%,62.5%,64.9%
Return on Assets,,6.4%,13.8%,6.7%,8.8%,4.4%,4.7%,7.7%,,,3.2%,2.8%,4.8%,7.0%,7.8%,7.9%,7.7%,8.7%,8.4%,8.3%
Return on Equity,,7.2%,14.8%,7.4%,9.6%,5.0%,5.3%,8.5%,,,1.6%,2.4%,2.4%,1.3%,2.5%,2.5%,2.3%,2.3%,2.2%,2.3%
Return on Total Capital,,6.6%,13.8%,7.0%,9.1%,4.7%,5.0%,8.2%,,,3.4%,2.9%,5.0%,7.4%,8.2%,8.3%,8.2%,9.2%,8.9%,8.7%
SG&A to Sale,,1.4%,1.1%,0.6%,0.6%,0.5%,0.5%,0.6%,,,0.5%,0.6%,0.5%,0.4%,0.5%,0.4%,0.8%,0.6%,0.9%,0.5%
Depreciation & Amortisation,,,,,,,,,,,,,,,,,,,,
Tax Rate,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Current Ratio,,3.70,2.89,6.06,4.84,4.12,2.13,3.50,,,2.13,2.12,2.13,4.18,3.37,3.76,3.50,4.69,4.43,1.76
Quick Ratio,,0.84,0.077,0.10,0.047,0.049,0.053,0.16,,,0.073,0.074,0.053,0.085,0.067,0.12,0.16,0.11,0.12,0.089
Days Inventory Outstanding,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Days Sale Outstanding,,7.42,2.20,3.25,1.67,2.07,1.89,5.94,,,2.43,2.46,1.89,2.70,2.06,4.09,5.94,2.99,3.54,2.94
Days Payable Outstanding,,0.44,0.34,0.39,7.54,13.9,16.9,18.5,,,15.6,17.5,19.2,20.2,19.8,18.9,18.5,18.9,19.1,17.3
Cash Conversion Cycle,,7.06,3.81,2.31,-12.2,-11.9,-18.3,-14.7,,,-15.3,-15.0,-18.1,-18.3,-17.1,-15.8,-13.6,-14.4,-15.5,-12.7
Debt to Asset Ratio,,0.11,0.10,0.10,0.096,0.098,0.095,0.092,,,0.096,0.096,0.095,0.095,0.093,0.093,0.092,0.087,0.087,0.087
Debt to Equity Ratio,,0.12,0.12,0.11,0.11,0.11,0.11,0.10,,,0.11,0.11,0.11,0.10,0.10,0.10,0.10,0.096,0.096,0.096
Interest Coverage Ratio,,194.5,20.0,21.9,26.6,30.6,38.7,45.7,,,36.9,40.4,41.5,43.1,44.4,47.5,48.0,50.8,52.5,53.3
Cash and Short Term Investments,,29.2,113.6,70.0,70.3,104.2,123.3,114.0,,,76.0,80.9,123.3,118.6,174.3,115.2,114.0,75.1,85.0,73.5
"Total Receivables, Net",,8.65,3.12,4.79,2.57,3.23,3.17,10.5,,,3.93,4.03,3.17,4.56,3.52,7.12,10.5,5.30,6.31,5.25
Total Inventory,,,,,,,,,,,,,,,,,,,,
Total Current Assets,,37.9,116.7,287.8,262.9,272.4,126.5,224.4,,,115.0,114.9,126.5,223.1,177.8,222.3,224.4,230.4,241.3,103.8
"Property/Plant/Equipment, Total - Net",,"4,760","5,131","5,135","5,215","5,051","4,846","4,794",,,"4,849","4,847","4,846","4,797","4,798","4,796","4,794","4,782","4,763","4,748"
Total Assets,,"5,042","5,438","5,457","5,574","5,420","5,226","5,189",,,"5,208","5,216","5,226","5,172","5,178","5,190","5,189","5,177","5,165","5,116"
Accounts Payable,,0.11,0.15,0.18,5.46,5.35,7.95,8.09,,,7.14,7.12,7.95,8.30,8.07,8.01,8.09,8.10,7.93,6.82
Accrued Expenses,,10.1,25.5,23.2,21.1,31.1,21.8,24.6,,,17.2,17.5,21.8,15.1,14.1,20.1,24.6,9.15,14.2,19.5
Debt Due,,,14.8,24.1,27.8,29.6,29.6,31.5,,,29.6,29.6,29.6,30.1,30.5,31.0,31.5,31.9,32.4,32.8
Total Current Liabilities,,10.2,40.4,47.5,54.3,66.1,59.3,64.1,,,54.0,54.3,59.3,53.4,52.7,59.1,64.1,49.2,54.5,59.1
Long Term Debt,,370.0,355.2,331.2,303.4,273.8,244.2,212.8,,,259.0,251.6,244.2,236.3,228.5,220.6,212.8,204.4,196.1,187.8
Total Liabilities,,539.9,562.8,550.3,536.0,532.2,497.9,479.0,,,500.5,498.8,497.9,490.5,483.2,480.6,479.0,452.3,450.9,447.4
Common Stock,,"4,394","4,394","4,394","4,394","4,394","4,394","4,394",,,"4,394","4,394","4,394","4,394","4,394","4,394","4,394","4,394","4,394","4,394"
Additional Paid-In Capital,,,,,,,,,,,,,,,,,,,,
Retained Earnings (Accumulated Deficit),,107.9,480.9,512.6,643.3,493.0,333.6,315.2,,,312.7,323.3,333.6,287.6,300.2,314.7,315.2,329.9,319.5,274.1
Shareholders' Equity,,"4,502","4,875","4,907","5,038","4,887","4,728","4,710",,,"4,707","4,718","4,728","4,682","4,695","4,709","4,710","4,724","4,714","4,669"
Cash from Operating Activities,,"-14,205",433.8,304.8,377.6,455.7,457.5,440.6,,,126.6,114.6,154.3,108.1,167.2,52.4,112.9,63.0,130.5,148.2
Cash from Investing Activities,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,"14,293",-349.4,-348.5,-377.3,-421.8,-438.3,-450.0,,,-109.8,-109.8,-111.8,-112.9,-111.5,-111.5,-114.1,-101.9,-120.5,-159.7
Net Change in Cash,,87.7,84.4,-43.6,0.32,33.8,19.2,-9.38,,,16.8,4.84,42.5,-4.76,55.7,-59.1,-1.23,-38.9,9.91,-11.4
Free Cashflows,,"-14,205",433.8,304.8,377.6,455.7,457.5,440.6,,,126.6,114.6,154.3,108.1,167.2,52.4,112.9,63.0,130.5,148.2
Free Cashflow per Share,,-33.3,1.02,0.71,0.89,1.07,1.07,1.03,,,0.30,0.27,0.36,0.25,0.39,0.12,0.26,0.15,0.31,0.35
