,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,2.29,2.61,2.96,5.10,9.10,16.7,15.9,5.14,,,15.4,20.7,22.8,18.8,12.7,10.2,7.70,5.76,3.33,2.19
Earnings per Share,0.39,0.13,0.069,0.10,0.13,0.22,0.41,0.33,,,0.090,0.12,0.14,0.090,0.085,0.11,0.040,0.020,0.016,0.017
Revenue per Share,0.20,0.26,0.32,0.45,0.59,0.85,1.24,1.16,,,0.29,0.35,0.36,0.30,0.28,0.36,0.22,0.18,0.18,0.15
Dividend per Share,0.00,0.27,0.065,0.099,0.13,0.22,0.41,0.30,,,0.15,0.00,0.26,,0.16,0.00,0.14,,0.035,0.00
Capital Expenditures per Share,0.007,0.012,0.016,0.025,0.044,0.018,0.011,0.012,,,0.002,0.002,0.004,0.002,0.004,0.003,0.004,0.001,0.001,0.002
Book Value per Share,0.076,0.33,0.33,0.36,0.38,0.44,0.57,0.45,,,0.46,0.43,0.57,0.66,0.49,0.41,0.45,0.48,0.36,0.34
Price to Earnings Ratio,,17.3,28.3,41.8,40.2,47.1,52.0,20.8,,,48.3,63.9,52.1,40.5,26.4,21.1,21.1,16.9,15.7,20.8
Price to Book Value Ratio,,6.69,5.92,11.8,14.1,23.9,37.5,14.7,,,34.6,48.2,37.5,18.4,24.6,15.9,14.7,8.54,6.75,4.98
EV to EBITDA,0.00,27.0,19.4,27.7,28.0,37.7,41.6,17.9,,,31.0,41.1,41.6,41.1,13.9,18.1,17.9,20.1,14.5,15.0
Dividend Payout Ratio,0.0%,201.9%,94.2%,98.6%,99.1%,99.7%,99.6%,90.9%,,,52.5%,0.0%,63.2%,,37.9%,0.0%,42.5%,,18.9%,0.0%
Common Shares Outstanding,"3,000","3,000","3,000","3,000","3,000","3,000","3,003","2,994",,,"3,001","3,003","3,003","3,005","3,005","2,994","2,994","2,994","2,994","2,994"
Total Revenue,612.1,769.9,970.7,"1,359","1,773","2,539","3,713","3,467",,,881.4,"1,059","1,091",898.2,837.2,"1,078",653.3,543.9,528.3,454.4
"Cost of Revenue, Total",175.2,221.2,287.9,444.6,586.4,833.1,"1,198","1,202",,,269.0,346.4,355.1,290.3,287.9,401.9,221.5,213.6,210.5,177.9
Gross Profit,436.9,548.7,682.8,914.9,"1,187","1,706","2,515","2,265",,,612.4,712.6,735.5,607.8,549.3,676.0,431.8,330.3,317.8,276.5
"Selling/General/Administrative Expenses, Total",241.5,337.5,449.9,563.9,702.8,904.5,"1,004","1,067",,,276.7,287.0,230.2,269.7,248.8,269.3,279.0,248.2,262.4,215.7
Operating Income,195.5,211.2,232.9,351.0,483.8,801.8,"1,511","1,198",,,335.7,425.6,505.2,338.1,300.5,406.8,152.8,82.1,55.5,60.9
Net Income,134.2,173.0,207.0,301.2,402.5,656.0,"1,229",991.6,,,273.2,348.2,408.3,282.4,256.4,329.0,123.8,69.6,46.8,50.8
EBITDA,212.5,233.4,264.4,394.3,531.0,859.9,"1,571","1,257",,,350.3,440.5,520.1,352.8,315.2,421.8,167.0,95.8,68.1,73.3
Gross Profit Margin,71.4%,71.3%,70.3%,67.3%,66.9%,67.2%,67.7%,65.3%,,,69.5%,67.3%,67.4%,67.7%,65.6%,62.7%,66.1%,60.7%,60.2%,60.9%
Operating Margin,31.9%,27.4%,24.0%,25.8%,27.3%,31.6%,40.7%,34.6%,,,38.1%,40.2%,46.3%,37.6%,35.9%,37.7%,23.4%,15.1%,10.5%,13.4%
Net Profit Margin,21.9%,22.5%,21.3%,22.2%,22.7%,25.8%,33.1%,28.6%,,,31.0%,32.9%,37.4%,31.4%,30.6%,30.5%,19.0%,12.8%,8.9%,11.2%
Return on Assets,49.7%,24.2%,18.7%,24.8%,29.0%,40.5%,60.2%,48.2%,,,42.9%,50.0%,57.0%,52.1%,55.5%,68.2%,55.8%,43.3%,36.3%,23.1%
Return on Equity,59.1%,17.5%,20.7%,27.7%,35.1%,49.7%,72.1%,73.1%,,,19.7%,26.9%,23.9%,14.1%,17.3%,26.7%,9.1%,4.9%,4.4%,5.0%
Return on Total Capital,57.1%,17.4%,20.7%,27.7%,35.1%,49.7%,72.1%,73.1%,,,62.1%,77.1%,72.1%,65.7%,87.6%,103.6%,73.1%,54.4%,53.4%,28.8%
SG&A to Sale,39.4%,43.8%,46.4%,41.5%,39.6%,35.6%,27.0%,30.8%,,,31.4%,27.1%,21.1%,30.0%,29.7%,25.0%,42.7%,45.6%,49.7%,47.5%
Depreciation & Amortisation,17.0,22.2,31.5,43.4,47.2,58.1,59.2,58.6,,,14.7,14.9,14.9,14.7,14.7,15.0,14.2,13.7,12.7,12.4
Tax Rate,32.1%,20.8%,20.1%,20.1%,20.0%,20.1%,19.8%,19.6%,,,20.1%,19.3%,20.0%,18.1%,20.1%,19.9%,20.9%,20.0%,20.4%,19.8%
Current Ratio,1.77,10.8,6.56,4.55,3.20,3.17,3.04,3.49,,,2.59,2.25,3.04,3.28,3.22,2.52,3.49,3.95,4.29,4.97
Quick Ratio,0.039,5.64,3.80,2.07,1.95,1.72,1.46,1.34,,,1.12,1.21,1.46,0.72,1.12,0.37,1.34,1.47,0.79,1.43
Days Inventory Outstanding,172.6,178.4,189.8,190.6,180.1,145.5,119.4,152.3,,,135.7,140.7,125.7,125.5,140.9,137.7,162.5,189.6,185.1,199.2
Days Sale Outstanding,2.69,4.17,6.91,3.76,6.55,4.58,9.32,6.82,,,10.7,11.7,9.32,12.7,10.2,8.39,6.82,8.22,15.9,10.5
Days Payable Outstanding,35.5,58.7,57.2,54.1,66.4,54.8,46.7,49.9,,,71.5,84.8,65.3,57.6,56.8,56.1,54.1,40.2,29.6,26.1
Cash Conversion Cycle,104.0,120.3,127.6,130.3,101.0,99.4,67.4,118.8,,,46.9,70.3,77.4,76.4,97.8,87.1,128.8,161.9,176.7,189.2
Debt to Asset Ratio,0.36,0.085,0.12,0.15,0.23,0.25,0.27,0.24,,,0.31,0.35,0.27,0.26,0.25,0.31,0.24,0.21,0.19,0.17
Debt to Equity Ratio,0.55,0.093,0.14,0.18,0.30,0.33,0.37,0.31,,,0.45,0.53,0.37,0.35,0.33,0.44,0.31,0.27,0.23,0.20
Interest Coverage Ratio,199.7,462.7,"1,123",,,,,,,,,,,,,,,,,
Cash and Short Term Investments,105.2,758.3,692.1,554.6,739.0,896.9,"1,306",692.8,,,"1,080",964.6,"1,306","1,591",820.9,723.2,692.8,757.9,298.2,347.1
"Total Receivables, Net",4.52,8.80,18.4,14.0,31.8,31.9,94.8,64.8,,,87.7,106.8,94.8,137.1,109.1,89.7,64.8,70.1,122.0,62.7
Total Inventory,92.6,123.6,175.8,288.5,290.1,373.9,409.7,592.8,,,410.0,415.1,409.7,457.5,530.4,476.9,592.8,576.0,486.5,412.4
Total Current Assets,204.9,893.6,893.8,865.3,"1,070","1,313","1,861","1,369",,,"1,589","1,502","1,861","2,226","1,494","1,312","1,369","1,423",929.6,842.3
"Property/Plant/Equipment, Total - Net",94.6,122.1,157.0,198.4,292.5,303.8,288.6,269.6,,,290.4,284.0,288.6,284.7,279.0,273.2,269.6,257.9,248.7,238.0
Total Assets,353.0,"1,079","1,139","1,287","1,493","1,751","2,335","1,776",,,"2,018","1,980","2,335","2,698","1,967","1,776","1,776","1,819","1,313","1,211"
Accounts Payable,34.1,37.1,53.1,78.7,134.7,115.5,191.0,137.7,,,259.9,237.6,191.0,206.9,191.6,218.8,137.7,109.9,60.2,57.6
