,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,19.0,21.2,23.7,37.5,33.0,33.5,26.5,28.3,,,32.9,32.0,29.6,28.3,25.7,23.8,26.7,29.8,27.9,25.8
Earnings per Share,0.90,0.95,1.18,1.22,1.31,1.33,1.33,1.43,,,0.62,0.34,0.080,0.32,0.60,0.23,0.28,0.23,0.56,0.22
Revenue per Share,7.65,7.85,8.69,9.69,9.61,9.78,10.0,11.1,,,3.11,2.46,2.08,2.18,3.36,2.29,3.30,2.68,3.55,2.75
Dividend per Share,0.82,0.87,1.00,1.05,1.15,1.20,1.25,1.35,,,0.65,0.00,0.60,,0.65,0.00,0.70,,0.65,0.00
Capital Expenditures per Share,0.43,0.52,0.78,0.69,1.61,1.41,0.95,1.06,,,0.20,0.16,0.33,0.19,0.28,0.30,0.29,0.31,0.20,0.19
Book Value per Share,6.69,6.62,6.88,7.11,7.37,7.42,7.17,7.28,,,7.61,7.16,7.17,7.44,7.42,6.99,7.28,7.50,7.36,6.93
Price to Earnings Ratio,17.6,22.4,15.6,23.8,21.2,25.6,19.9,19.4,,,21.8,22.9,20.0,19.9,18.7,17.9,19.5,21.5,19.8,19.2
Price to Book Value Ratio,2.69,3.14,2.75,4.60,4.10,4.58,3.98,3.85,,,4.01,4.05,3.98,3.31,3.32,2.95,3.85,3.90,3.25,3.64
EV to EBITDA,10.7,18.2,12.3,15.2,15.2,18.6,17.8,11.8,,,16.8,18.4,17.8,18.7,15.1,15.8,11.8,12.9,13.0,10.8
Dividend Payout Ratio,91.2%,91.6%,84.7%,86.1%,87.8%,90.2%,94.0%,94.4%,,,47.3%,0.0%,45.2%,,48.8%,0.0%,49.1%,,50.0%,0.0%
Common Shares Outstanding,881.9,887.6,887.6,890.1,892.5,894.5,894.7,894.7,,,894.7,894.7,894.7,894.7,894.7,894.7,894.7,894.7,894.7,894.7
Total Revenue,"6,748","6,965","7,713","8,623","8,580","8,745","8,972","9,952",,,"2,779","2,200","1,858","1,950","3,004","2,048","2,951","2,400","3,172","2,457"
"Cost of Revenue, Total","4,428","4,717","5,011","5,475","5,553","5,580","5,958","6,499",,,"1,727","1,488","1,325","1,330","1,911","1,417","1,841","1,609","2,007","1,679"
Gross Profit,"2,320","2,248","2,702","3,148","3,028","3,165","3,014","3,453",,,"1,053",712.0,533.0,620.1,"1,093",630.1,"1,110",790.8,"1,165",778.0
"Selling/General/Administrative Expenses, Total","1,507","1,667","1,781","2,064","2,013","2,412","2,363","2,491",,,570.2,601.3,638.1,519.7,577.2,546.5,847.8,608.9,611.5,618.5
Operating Income,908.1,769.0,"1,027","1,186","1,127",918.8,849.6,"1,084",,,482.3,110.7,93.7,100.3,515.5,83.6,384.6,181.9,553.5,159.4
Net Income,781.7,846.0,"1,052","1,086","1,171","1,188","1,193","1,284",,,554.5,302.4,74.7,284.3,534.2,206.0,259.1,205.3,505.1,195.3
EBITDA,"1,472","1,324","1,660","1,944","1,985","1,902","1,895","2,156",,,770.5,480.4,138.4,372.4,862.5,392.2,528.5,512.4,906.5,510.3
