,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,20.7,40.7,38.6,39.0,24.6,20.7,16.6,17.4,,,20.6,19.2,17.7,16.5,16.5,17.0,18.2,18.2,17.7,16.4
Earnings per Share,1.56,1.65,2.84,1.97,1.37,1.40,1.08,1.34,,,0.17,0.29,0.46,0.38,0.28,0.35,0.32,0.26,0.22,0.31
Revenue per Share,6.25,6.91,9.83,7.81,7.40,7.59,7.24,7.28,,,1.62,1.77,2.26,1.97,1.76,1.80,1.74,1.70,1.94,1.90
Dividend per Share,2.00,1.70,2.50,1.70,1.65,1.55,1.40,1.30,,,,,1.40,,,,1.30,,,
Capital Expenditures per Share,0.058,0.053,0.13,0.23,0.14,0.040,0.051,0.041,,,0.024,0.011,0.012,0.003,0.017,0.002,0.020,0.006,0.005,0.002
Book Value per Share,10.7,10.5,11.3,11.2,10.8,11.1,10.1,9.41,,,9.68,10.0,10.1,10.4,8.92,9.30,9.41,9.67,8.47,8.65
Price to Earnings Ratio,11.8,14.0,12.7,20.1,17.9,15.9,15.9,13.8,,,19.1,20.3,16.0,11.7,11.2,11.2,13.8,14.1,15.2,15.3
Price to Book Value Ratio,2.08,2.56,3.31,3.18,2.25,2.07,1.73,1.98,,,2.07,1.61,1.73,1.44,1.89,1.80,1.98,1.86,2.04,1.78
EV to EBITDA,5.02,7.69,7.94,13.6,9.33,10.1,10.1,9.43,,,12.7,13.7,10.1,7.90,7.55,7.55,9.43,10.1,11.1,10.7
Dividend Payout Ratio,128.1%,103.1%,88.0%,86.4%,120.4%,110.7%,129.6%,97.1%,,,,,130.3%,,,,97.1%,,,
Common Shares Outstanding,120.0,120.0,120.0,120.0,120.3,121.0,125.5,125.6,,,124.3,125.3,125.5,125.5,125.6,125.6,125.6,125.6,125.6,125.6
Total Revenue,750.4,829.1,"1,179",937.8,890.5,918.1,908.6,913.9,,,201.2,221.4,283.4,247.0,221.5,226.4,219.0,213.9,244.0,238.2
"Cost of Revenue, Total",348.4,415.9,590.3,472.0,479.6,518.5,549.9,541.8,,,140.0,133.3,149.4,147.2,136.1,135.5,122.9,134.4,165.9,149.7
Gross Profit,402.0,413.3,588.8,465.7,410.9,399.6,358.7,372.1,,,61.1,88.2,134.0,99.8,85.3,91.0,96.1,79.5,78.1,88.5
"Selling/General/Administrative Expenses, Total",129.4,141.7,152.2,159.6,162.9,82.0,87.0,82.9,,,,,27.5,19.2,,,24.6,17.0,,
Operating Income,257.3,258.1,423.3,294.0,233.4,238.4,188.5,207.7,,,28.1,47.8,86.8,59.9,44.1,53.4,50.3,41.8,34.4,48.8
Net Income,187.4,197.8,340.8,236.1,188.5,187.5,142.7,168.1,,,23.1,38.5,60.5,48.3,35.7,43.4,40.7,33.1,27.1,38.6
EBITDA,280.4,269.0,432.5,304.3,243.4,250.1,199.5,217.9,,,30.8,50.5,89.6,62.7,46.6,55.8,52.7,45.4,37.9,51.8
Gross Profit Margin,53.6%,49.8%,49.9%,49.7%,46.1%,43.5%,39.5%,40.7%,,,30.4%,39.8%,47.3%,40.4%,38.5%,40.2%,43.9%,37.2%,32.0%,37.1%
Operating Margin,34.3%,31.1%,35.9%,31.3%,26.2%,26.0%,20.8%,22.7%,,,14.0%,21.6%,30.6%,24.3%,19.9%,23.6%,23.0%,19.5%,14.1%,20.5%
Net Profit Margin,25.0%,23.9%,28.9%,25.2%,21.2%,20.4%,15.7%,18.4%,,,11.5%,17.4%,21.4%,19.6%,16.1%,19.2%,18.6%,15.5%,11.1%,16.2%
Return on Assets,12.2%,13.7%,22.0%,14.7%,12.2%,12.1%,9.2%,11.5%,,,9.6%,8.9%,9.6%,11.2%,12.8%,13.9%,12.1%,11.0%,10.8%,10.8%
Return on Equity,14.6%,15.8%,25.2%,17.5%,14.5%,14.0%,11.3%,14.2%,,,1.9%,3.1%,4.8%,3.7%,3.2%,3.7%,3.4%,2.7%,2.5%,3.6%
Return on Total Capital,14.6%,15.8%,25.2%,17.5%,14.5%,14.0%,11.3%,14.2%,,,11.6%,10.1%,11.3%,13.0%,16.3%,16.1%,14.2%,12.6%,13.5%,12.8%
SG&A to Sale,17.2%,17.1%,12.9%,17.0%,18.3%,8.9%,9.6%,9.1%,,,,,9.7%,7.8%,,,11.2%,8.0%,,
Depreciation & Amortisation,23.2,10.9,9.15,10.4,10.0,11.7,11.0,10.2,,,2.63,2.68,2.79,2.71,2.58,2.47,2.44,3.60,3.58,2.98
Tax Rate,27.1%,23.4%,19.5%,19.7%,19.2%,21.3%,24.3%,19.1%,,,17.7%,19.3%,30.2%,19.4%,18.9%,18.7%,19.2%,20.8%,21.2%,20.9%
Current Ratio,9.36,4.95,3.94,5.12,5.91,2.02,2.72,2.94,,,3.02,2.64,2.72,2.42,2.89,2.67,2.94,5.35,4.66,3.51
Quick Ratio,8.53,3.52,3.08,3.33,4.94,1.08,1.25,1.77,,,1.68,1.27,1.25,1.15,1.73,1.40,1.77,2.53,2.43,2.02
Days Inventory Outstanding,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Days Sale Outstanding,52.3,68.4,62.2,55.2,48.0,46.7,55.6,50.2,,,36.6,43.9,55.6,39.3,38.9,46.1,50.2,46.8,55.4,59.6
Days Payable Outstanding,11.6,2.19,0.92,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,4.16,4.19,0.00,0.00,0.00,0.00,0.00
Cash Conversion Cycle,-2.09,-2.62,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,-8.33,0.00,0.00,0.00,0.00,0.00,0.00
Debt to Asset Ratio,0.11,0.14,0.17,0.15,0.15,0.15,0.17,0.15,,,0.13,0.14,0.17,0.14,0.15,0.16,0.15,0.13,0.17,0.17
Debt to Equity Ratio,0.12,0.17,0.21,0.17,0.17,0.18,0.20,0.18,,,0.15,0.16,0.20,0.17,0.18,0.19,0.18,0.15,0.20,0.20
Interest Coverage Ratio,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,788.8,644.0,645.7,699.9,711.4,126.4,188.0,92.8,,,87.5,112.9,188.0,113.7,76.2,111.8,92.8,126.0,132.0,110.0
"Total Receivables, Net",107.5,155.3,200.8,141.9,117.0,117.4,138.5,125.6,,,88.3,105.0,138.5,102.6,103.7,123.5,125.6,112.9,137.1,149.4
Total Inventory,,,,,,,,,,,,,,,,,,,,
