,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,1.50,1.22,4.01,4.40,2.74,2.09,1.29,0.89,,,2.02,1.82,1.59,1.14,1.08,1.06,1.06,0.92,0.84,0.72
Earnings per Share,-0.32,-1.83,0.50,0.064,0.30,0.45,-0.080,0.10,,,-0.010,-0.018,-0.053,-0.021,-0.004,-0.015,0.15,0.020,-0.041,0.098
Revenue per Share,6.88,4.12,2.06,1.58,1.10,1.48,1.41,1.53,,,0.38,0.38,0.35,0.37,0.38,0.38,0.40,0.40,0.34,0.38
Dividend per Share,,,,,0.020,0.022,,,,,,,,,,,,,,
Capital Expenditures per Share,0.081,0.047,0.017,0.023,0.040,0.037,0.032,0.020,,,0.010,0.021,-0.005,0.006,0.006,0.002,0.006,0.003,0.002,0.003
Book Value per Share,1.35,-0.39,0.048,0.15,0.39,0.85,0.69,0.83,,,0.81,0.79,0.69,0.71,0.71,0.70,0.83,0.85,0.81,0.91
Price to Earnings Ratio,,,1.32,76.8,9.14,4.98,,10.3,,,5.40,4.86,,,,,9.76,5.61,6.48,2.79
Price to Book Value Ratio,1.20,-2.69,13.0,18.6,7.26,2.64,1.84,1.14,,,2.35,1.93,1.84,1.19,1.29,1.11,1.14,1.01,0.89,0.68
EV to EBITDA,-5.52,-1.76,-1.77,45.5,11.9,7.96,47.5,6.47,,,8.84,9.18,47.5,102.4,64.6,70.0,6.47,5.94,6.67,6.27
Dividend Payout Ratio,,,,,6.8%,4.9%,,,,,,,,,,,,,,
Common Shares Outstanding,533.0,536.4,513.0,363.5,561.8,534.4,573.9,536.4,,,540.0,540.0,573.9,540.0,536.4,536.4,536.4,536.4,536.4,536.4
Total Revenue,"3,664","2,212","1,057",575.2,620.3,793.1,809.3,820.0,,,204.8,205.2,201.1,197.7,204.9,203.8,213.6,216.6,180.8,201.4
"Cost of Revenue, Total","3,566","2,218","1,053",436.9,452.8,644.2,699.3,700.5,,,174.4,181.5,180.9,175.3,172.9,179.6,172.7,185.4,166.3,175.4
Gross Profit,98.1,-6.54,4.48,138.3,167.5,148.9,110.0,119.6,,,30.4,23.7,20.3,22.5,32.0,24.2,40.9,31.2,14.5,26.0
"Selling/General/Administrative Expenses, Total",503.1,367.3,209.5,100.0,114.7,132.6,113.0,115.4,,,30.6,29.1,24.3,29.2,30.5,29.1,26.7,27.8,32.5,30.8
Operating Income,-491.9,-941.6,-238.9,36.5,121.2,147.0,-2.65,68.1,,,-0.40,-5.42,-3.37,-7.03,1.45,-4.90,78.5,3.47,-17.9,-4.73
