,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-4,2017-7,2017-10,2018-1,2018-4,2018-7,2018-10,2019-1,2019-4,2019-7,2019-10
Price Average,,,,,,,1.39,0.86,0.67,,1.56,1.46,1.29,1.17,0.94,0.75,0.70,0.74,0.66,0.64,0.59
Earnings per Share,,,0.16,0.092,0.011,0.077,0.11,0.074,0.037,,0.018,0.024,0.003,0.022,0.005,0.001,0.018,0.013,0.005,0.006,0.011
Revenue per Share,,,3.08,2.91,2.66,2.18,2.02,2.01,2.21,,0.46,0.46,0.56,0.53,0.49,0.52,0.63,0.57,0.52,0.50,0.48
Dividend per Share,,,0.00,0.00,0.00,0.00,0.025,0.052,0.052,,0.041,0.00,0.026,0.026,,,0.026,0.026,,,0.026
Capital Expenditures per Share,,,0.00,0.44,0.00,0.28,0.36,0.087,0.062,,0.045,0.012,0.023,0.007,0.017,0.004,0.006,0.035,0.017,0.016,0.023
Book Value per Share,,,0.17,0.18,0.042,1.02,1.00,1.20,1.22,,0.99,0.95,1.20,1.20,1.21,1.20,1.27,1.22,1.23,1.18,1.17
Price to Earnings Ratio,,,,,,,,13.7,18.2,,,11.0,16.1,15.0,12.9,22.6,13.1,18.2,18.1,14.3,15.3
Price to Book Value Ratio,,,,,,,,0.82,0.56,,,1.42,1.05,0.82,0.64,0.54,0.46,0.56,0.51,0.50,0.45
EV to EBITDA,,,,,,0.00,0.00,6.99,6.42,,0.00,8.14,7.20,6.99,6.83,6.08,5.54,6.42,6.25,6.32,6.39
Dividend Payout Ratio,,,0.0%,0.0%,0.0%,0.0%,21.7%,70.4%,139.2%,,28.4%,0.0%,37.7%,38.7%,,,55.9%,69.6%,,,75.0%
Common Shares Outstanding,,,"1,447","1,447","1,447","1,447","1,447","1,447","1,447",,"1,447","1,447","1,447","1,447","1,447","1,447","1,447","1,447","1,447","1,447","1,447"
Total Revenue,,,"4,451","4,208","3,853","3,159","2,916","2,913","3,199",,665.3,670.8,812.4,764.5,711.0,754.7,912.6,821.1,752.8,725.5,695.3
