,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,8.83,4.63,3.40,2.90,3.47,4.73,4.32,3.16,,,5.23,5.05,4.82,4.92,4.68,3.88,3.19,2.88,3.05,3.05
Earnings per Share,0.63,0.25,-0.025,-0.032,0.064,0.044,0.20,0.15,,,0.063,0.081,0.048,0.065,0.089,0.046,-0.053,0.024,-0.020,0.025
Revenue per Share,18.8,16.8,15.4,14.3,14.3,14.2,17.4,17.7,,,3.95,4.40,4.44,4.45,4.62,4.43,4.12,4.16,3.87,4.21
Dividend per Share,0.55,0.21,,,0.050,0.040,0.18,0.070,,,,,0.18,,,,0.070,,,
Capital Expenditures per Share,0.24,0.25,0.25,0.11,0.13,0.048,0.14,0.25,,,0.007,0.022,0.099,0.010,0.033,0.13,0.071,0.036,0.030,0.046
Book Value per Share,3.00,2.99,2.96,2.93,2.99,2.98,2.93,2.90,,,2.50,2.89,2.93,2.99,2.90,2.95,2.90,2.92,2.83,2.86
Price to Earnings Ratio,17.6,19.7,,,38.2,87.3,21.4,18.6,,,56.7,36.1,20.8,17.2,14.9,13.1,18.6,21.7,,
Price to Book Value Ratio,3.84,1.59,0.94,0.98,0.90,1.27,1.26,0.90,,,1.88,1.64,1.26,1.47,1.47,1.11,0.90,0.89,1.08,1.01
EV to EBITDA,10.8,12.1,21.6,25.1,5.38,17.9,10.4,12.4,,,45.7,75.3,10.4,8.17,8.48,7.03,12.4,13.0,301.9,-77.4
Dividend Payout Ratio,87.9%,82.7%,,,78.2%,91.0%,88.2%,47.6%,,,,,85.9%,,,,47.6%,,,
Common Shares Outstanding,349.4,349.4,349.4,349.4,349.4,349.4,286.4,286.4,,,321.7,286.4,286.4,286.4,286.4,286.4,286.4,286.4,286.4,286.4
Total Revenue,"6,555","5,887","5,373","5,010","5,004","4,972","4,972","5,067",,,"1,272","1,261","1,272","1,274","1,323","1,269","1,180","1,192","1,109","1,205"
"Cost of Revenue, Total","5,696","5,217","4,804","4,479","4,471","4,421","4,384","4,470",,,"1,130","1,116","1,094","1,123","1,170","1,120","1,035","1,051",977.8,"1,061"
Gross Profit,858.5,669.8,569.2,531.1,532.9,551.0,587.4,597.1,,,141.8,145.6,178.0,150.9,153.5,148.2,144.5,140.2,130.8,143.4
"Selling/General/Administrative Expenses, Total",577.1,599.3,596.9,570.7,536.4,563.3,547.1,598.7,,,134.4,134.6,139.6,138.8,140.0,146.4,161.6,150.3,153.8,155.0
Operating Income,281.4,75.9,-23.3,-35.6,-0.81,-4.42,48.8,7.51,,,7.38,11.0,46.9,12.1,13.6,1.73,-7.89,-10.1,-23.0,-11.6
Net Income,217.2,88.8,-8.85,-11.3,22.3,15.4,63.4,42.2,,,20.4,23.1,13.7,18.5,25.5,13.3,-15.1,6.97,-5.69,7.16
EBITDA,341.2,136.1,32.1,26.7,62.6,54.8,99.9,56.9,,,20.0,23.6,59.4,24.3,25.2,14.0,5.35,2.54,-10.6,1.02
Gross Profit Margin,13.1%,11.4%,10.6%,10.6%,10.6%,11.1%,11.8%,11.8%,,,11.1%,11.5%,14.0%,11.8%,11.6%,11.7%,12.2%,11.8%,11.8%,11.9%
Operating Margin,4.3%,1.3%,-0.4%,-0.7%,0.0%,-0.1%,1.0%,0.1%,,,0.6%,0.9%,3.7%,0.9%,1.0%,0.1%,-0.7%,-0.8%,-2.1%,-1.0%
Net Profit Margin,3.3%,1.5%,-0.2%,-0.2%,0.4%,0.3%,1.3%,0.8%,,,1.6%,1.8%,1.1%,1.5%,1.9%,1.0%,-1.3%,0.6%,-0.5%,0.6%
Return on Assets,13.3%,5.4%,-0.6%,-0.7%,1.4%,0.9%,3.8%,2.8%,,,1.6%,2.5%,4.0%,4.6%,4.7%,4.2%,2.7%,1.9%,0.0%,-0.4%
Return on Equity,20.7%,8.5%,-0.9%,-1.1%,2.1%,1.5%,7.6%,5.1%,,,2.5%,2.8%,1.6%,2.2%,3.1%,1.6%,-1.8%,0.8%,-0.7%,0.9%
Return on Total Capital,20.7%,8.5%,-0.9%,-1.1%,2.1%,1.5%,7.6%,5.1%,,,3.6%,4.9%,7.6%,8.8%,9.7%,8.4%,5.1%,3.7%,-0.1%,-0.8%
SG&A to Sale,8.8%,10.2%,11.1%,11.4%,10.7%,11.3%,11.0%,11.8%,,,10.6%,10.7%,11.0%,10.9%,10.6%,11.5%,13.7%,12.6%,13.9%,12.9%
Depreciation & Amortisation,59.8,60.3,55.4,62.2,63.4,59.2,51.1,49.4,,,12.7,12.6,12.5,12.3,11.7,12.2,13.2,12.7,12.4,12.6
Tax Rate,28.4%,19.5%,-16.6%,7.7%,-2.2%,-5.3%,17.0%,14.1%,,,17.1%,18.2%,14.8%,17.1%,18.2%,16.7%,25.6%,7.5%,19.0%,-4.9%
Current Ratio,2.18,2.12,2.37,2.32,2.10,1.94,1.79,1.72,,,1.59,1.68,1.79,1.63,1.62,1.61,1.72,1.54,1.60,1.39
Quick Ratio,0.30,0.43,0.61,0.81,0.88,0.71,0.26,0.24,,,0.30,0.29,0.26,0.21,0.22,0.17,0.24,0.24,0.24,0.29
Days Inventory Outstanding,47.3,51.0,50.2,45.8,47.3,55.1,61.5,59.3,,,66.3,65.6,65.2,65.2,68.7,69.6,63.9,64.8,73.3,73.9
Days Sale Outstanding,10.1,9.59,9.38,10.2,11.6,13.3,8.95,8.72,,,11.7,8.91,8.95,9.39,9.48,9.47,8.76,13.4,11.6,19.6
Days Payable Outstanding,32.3,36.6,35.0,33.1,39.4,49.2,50.7,46.3,,,59.9,59.7,52.5,55.4,62.0,59.6,52.5,56.3,64.4,61.9
Cash Conversion Cycle,23.9,24.5,30.2,21.9,13.6,14.6,24.9,22.5,,,15.1,18.6,26.3,10.6,17.3,20.9,27.3,9.96,26.4,26.5
Debt to Asset Ratio,0.37,0.37,0.32,0.33,0.38,0.42,0.45,0.44,,,0.52,0.49,0.45,0.51,0.51,0.50,0.44,0.52,0.49,0.52
Debt to Equity Ratio,0.59,0.58,0.47,0.49,0.60,0.74,0.81,0.80,,,1.09,0.95,0.81,1.03,1.02,0.98,0.80,1.07,0.96,1.10
Interest Coverage Ratio,342.4,99.9,,,,,83.7,10.9,,,50.9,113.5,311.6,67.4,82.8,10.1,,,,
Cash and Short Term Investments,411.1,345.4,386.8,432.1,467.2,529.7,285.1,276.4,,,419.6,345.7,285.1,426.9,340.3,301.2,276.4,284.7,203.0,90.5
"Total Receivables, Net",181.6,154.6,138.1,140.3,159.1,180.9,121.9,121.1,,,156.1,119.5,121.9,130.7,133.3,133.3,121.1,182.7,151.5,252.1
Total Inventory,716.9,739.9,580.7,543.6,614.5,719.4,757.6,695.9,,,764.6,808.5,757.6,837.8,857.6,861.7,695.9,857.5,822.6,846.9
Total Current Assets,"1,331","1,256","1,129","1,150","1,288","1,460","1,185","1,107",,,"1,362","1,297","1,185","1,409","1,345","1,301","1,107","1,341","1,198","1,214"
"Property/Plant/Equipment, Total - Net",181.3,206.3,217.2,197.2,183.1,132.7,124.0,149.1,,,110.5,107.2,124.0,115.6,115.0,144.6,149.1,149.4,149.5,150.7
Total Assets,"1,664","1,644","1,521","1,529","1,672","1,810","1,519","1,494",,,"1,677","1,613","1,519","1,744","1,683","1,674","1,494","1,732","1,587","1,717"
Accounts Payable,519.2,527.7,394.5,418.3,547.8,643.1,574.4,559.0,,,745.1,686.2,574.4,779.8,750.9,719.9,559.0,791.6,685.6,713.9
Accrued Expenses,,2.84,2.19,3.12,,56.2,48.5,45.5,,,1.06,4.18,48.5,43.1,40.6,43.0,45.5,47.3,39.0,40.2
Debt Due,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,100.0
Total Current Liabilities,609.7,592.7,477.0,494.9,614.2,752.0,661.5,642.3,,,857.5,770.4,661.5,866.5,830.8,807.7,642.3,872.4,748.5,871.1
Long Term Debt,,,,,,,,,,,,,,,,,,,,
Total Liabilities,616.7,600.5,486.4,505.4,627.0,766.8,680.0,664.1,,,873.4,786.9,680.0,885.9,851.0,828.7,664.1,895.1,775.9,898.5
Common Stock,349.4,349.4,349.4,349.4,349.4,349.4,286.4,286.4,,,349.4,349.4,286.4,286.4,286.4,286.4,286.4,286.4,286.4,286.4
Additional Paid-In Capital,368.4,368.4,368.4,368.4,368.4,368.4,368.4,368.4,,,368.4,368.4,368.4,368.4,368.4,368.4,368.4,368.4,368.4,368.4
Retained Earnings (Accumulated Deficit),329.6,325.9,317.0,305.7,327.2,325.1,184.4,175.0,,,337.7,360.8,184.4,202.9,176.8,190.1,175.0,182.0,156.2,163.4
Shareholders' Equity,"1,047","1,044","1,035","1,023","1,045","1,043",839.2,829.8,,,803.5,826.6,839.2,857.7,831.6,844.9,829.8,836.7,811.0,818.2
Cash from Operating Activities,280.5,113.6,96.2,72.9,86.2,97.3,42.6,113.1,,,150.4,-69.2,-33.3,149.0,-31.1,-1.39,-3.37,19.9,-60.8,-98.5
Cash from Investing Activities,-124.4,-181.5,-105.8,-135.1,-173.1,13.2,277.4,-48.9,,,162.0,-5.99,22.7,-7.54,-2.50,12.6,-51.5,-11.5,-0.93,-83.9
Cash from Financing Activities,-171.6,-97.8,,,,-17.5,-266.0,-51.6,,,-266.0,0.00,0.000,,-51.6,0.00,0.000,,-20.0,100.0
Net Change in Cash,-15.5,-165.8,-9.54,-62.2,-87.0,93.1,54.1,12.6,,,46.4,-75.2,-10.6,141.4,-85.2,11.2,-54.8,8.36,-81.7,-82.5
Free Cashflows,198.1,25.3,9.97,35.2,42.2,80.5,3.84,42.0,,,148.1,-75.5,-61.6,146.0,-40.6,-39.8,-23.7,9.45,-69.3,-111.8
Free Cashflow per Share,0.57,0.072,0.029,0.10,0.12,0.23,0.013,0.15,,,0.46,-0.26,-0.21,0.51,-0.14,-0.14,-0.083,0.033,-0.24,-0.39
