,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,9.63,6.53,5.89,5.02,6.33,8.15,9.77,10.1,,,8.38,8.63,9.18,9.10,9.10,9.83,11.2,10.9,9.48,8.43
Earnings per Share,0.62,-2.36,0.64,0.53,0.48,0.65,0.85,1.34,,,0.21,0.20,0.24,0.25,0.30,0.36,0.42,0.27,0.27,0.28
Revenue per Share,96.6,93.8,52.0,53.0,51.5,52.7,57.4,63.2,,,14.1,14.2,15.7,14.7,14.7,15.9,16.0,14.2,14.1,15.2
Dividend per Share,0.14,,0.20,0.20,0.30,0.25,0.45,0.55,,,,,0.45,,,,0.55,,,
Capital Expenditures per Share,0.45,0.19,0.058,0.058,0.086,0.076,0.002,0.003,,,0.001,0.001,0.001,0.000,0.001,0.001,0.001,0.000,0.012,0.000
Book Value per Share,5.51,3.44,3.91,4.25,4.53,4.88,5.33,6.21,,,4.89,5.09,5.33,5.58,5.43,5.79,6.21,6.48,6.20,6.49
Price to Earnings Ratio,18.1,,6.38,9.80,9.13,10.9,11.2,8.46,,,10.7,10.0,11.2,10.1,8.95,8.59,8.46,6.68,6.88,6.73
Price to Book Value Ratio,2.05,1.73,1.09,1.14,1.00,1.47,1.70,1.88,,,1.55,1.57,1.70,1.48,1.65,1.69,1.88,1.49,1.46,1.16
EV to EBITDA,34.1,-6.11,15.5,13.0,8.41,11.7,11.2,8.62,,,10.9,12.4,11.2,11.1,12.3,10.5,8.62,9.43,8.08,8.56
Dividend Payout Ratio,21.9%,,31.1%,38.0%,62.2%,38.5%,53.1%,41.2%,,,,,53.1%,,,,41.2%,,,
Common Shares Outstanding,232.3,233.5,350.2,350.2,350.2,350.2,350.2,350.2,,,350.2,350.2,350.2,350.2,350.2,350.2,350.2,350.2,350.2,350.2
Total Revenue,"22,445","21,892","18,225","18,554","18,023","18,446","20,102","22,140",,,"4,947","4,973","5,489","5,137","5,141","5,557","5,593","4,958","4,949","5,311"
"Cost of Revenue, Total","21,399","21,230","17,183","17,591","17,058","17,467","18,988","20,790",,,"4,675","4,683","5,199","4,811","4,847","5,212","5,209","4,633","4,623","4,982"
Gross Profit,"1,046",662.4,"1,042",963.1,965.6,979.2,"1,114","1,350",,,272.7,290.5,289.9,326.5,293.9,345.6,383.7,324.1,325.6,329.5
"Selling/General/Administrative Expenses, Total",930.8,"1,424",805.1,679.8,682.8,673.1,749.5,818.8,,,184.4,197.7,200.6,227.9,196.7,187.3,206.9,223.0,201.4,212.7
Operating Income,380.1,-596.2,334.2,315.8,347.7,345.0,405.1,577.3,,,111.2,106.9,82.5,106.7,125.9,168.9,175.8,129.4,145.7,130.9
