,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,6.90,16.8,12.5,8.83,6.98,6.25,4.81,3.79,,,5.88,6.13,5.26,4.68,4.61,4.53,4.53,4.26,3.87,3.19
Earnings per Share,0.35,1.06,0.54,0.82,0.48,0.13,0.61,0.97,,,0.20,0.28,0.18,0.14,0.31,0.12,0.39,0.17,-0.010,0.099
Revenue per Share,1.08,2.55,1.61,1.45,0.68,0.59,0.65,0.89,,,0.22,0.14,0.16,0.13,0.27,0.14,0.35,0.14,0.15,0.14
Dividend per Share,,,,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.35,0.35,0.13,0.11,0.051,0.086,0.020,0.056,,,0.015,0.002,0.003,0.009,0.012,0.012,0.023,0.023,0.016,0.029
Book Value per Share,2.15,3.45,3.80,4.67,5.34,5.35,5.73,6.70,,,5.36,5.53,5.73,5.76,6.22,6.29,6.70,6.82,6.73,6.83
Price to Earnings Ratio,8.71,21.1,17.7,13.5,14.6,44.6,8.37,4.42,,,15.0,9.18,8.37,5.71,5.13,5.53,4.42,3.97,5.28,4.39
Price to Book Value Ratio,1.39,4.95,2.57,2.06,1.28,1.04,0.83,0.62,,,1.16,0.95,0.83,0.64,0.76,0.59,0.62,0.62,0.50,0.41
EV to EBITDA,223.9,16.3,-26.9,-35.5,-58.3,-26.0,-20.1,-64.6,,,-22.6,-18.0,-20.1,-14.6,-19.1,-21.2,-64.6,-404.3,-30.9,-24.1
Dividend Payout Ratio,,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,475.6,411.0,411.0,411.0,411.0,411.0,411.0,411.0,,,411.0,411.0,411.0,411.0,411.0,411.0,411.0,411.0,411.0,411.0
Total Revenue,514.9,"1,049",661.3,594.8,280.9,241.2,267.1,365.9,,,89.6,55.5,67.1,55.2,110.1,57.9,143.0,57.9,59.8,56.5
"Cost of Revenue, Total",225.0,367.4,356.9,358.1,194.2,123.5,143.3,182.0,,,39.0,38.1,36.3,41.1,52.1,35.6,55.9,33.2,45.3,34.7
Gross Profit,289.9,681.3,304.4,236.7,86.8,117.7,123.9,183.9,,,50.6,17.4,30.8,14.2,58.0,22.3,87.1,24.7,14.5,21.8
"Selling/General/Administrative Expenses, Total",299.5,301.2,599.3,511.2,336.9,350.8,367.0,366.8,,,92.7,85.8,107.6,109.0,61.3,78.0,116.0,88.1,96.5,79.4
Operating Income,-7.34,380.1,-235.3,-207.8,-139.8,-224.4,-237.8,-99.2,,,-47.9,-79.3,-43.8,-89.8,-3.19,-50.6,44.6,-58.6,-72.3,-59.7
Net Income,144.4,437.4,220.9,337.9,195.4,54.4,250.5,397.6,,,82.2,115.6,74.8,58.8,128.8,48.3,161.8,71.0,-4.19,40.8
EBITDA,18.3,405.3,-207.0,-175.9,-61.2,-155.2,-179.2,-40.1,,,-35.2,-64.7,-29.4,-75.3,11.9,-35.6,59.2,-41.4,-57.9,-45.2
Gross Profit Margin,56.3%,65.0%,46.0%,39.8%,30.9%,48.8%,46.4%,50.3%,,,56.5%,31.4%,45.9%,25.6%,52.7%,38.6%,60.9%,42.7%,24.3%,38.5%
Operating Margin,-1.4%,36.2%,-35.6%,-34.9%,-49.7%,-93.0%,-89.0%,-27.1%,,,-53.5%,-142.8%,-65.3%,-162.5%,-2.9%,-87.3%,31.2%,-101.3%,-120.7%,-105.6%
Net Profit Margin,28.0%,41.7%,33.4%,56.8%,69.6%,22.5%,93.8%,108.7%,,,91.7%,208.2%,111.4%,106.4%,117.0%,83.4%,113.1%,122.7%,-7.0%,72.3%
Return on Assets,3.2%,9.0%,4.4%,6.5%,3.6%,1.0%,4.7%,7.2%,,,2.9%,4.7%,4.8%,6.3%,7.0%,5.6%,7.0%,7.0%,4.7%,4.6%
Return on Equity,14.1%,30.8%,14.1%,17.6%,8.9%,2.5%,10.6%,14.4%,,,3.7%,5.1%,3.2%,2.5%,5.0%,1.9%,5.9%,2.5%,-0.2%,1.5%
Return on Total Capital,6.6%,17.5%,8.8%,12.9%,7.1%,2.5%,9.6%,14.1%,,,6.1%,9.7%,9.6%,12.6%,13.4%,10.9%,14.1%,14.5%,9.9%,9.6%
SG&A to Sale,58.2%,28.7%,90.6%,85.9%,119.9%,145.4%,137.4%,100.2%,,,103.5%,154.5%,160.3%,197.3%,55.7%,134.7%,81.1%,152.2%,161.3%,140.6%
Depreciation & Amortisation,25.6,25.2,28.3,31.9,78.5,69.2,58.6,59.2,,,12.8,14.7,14.4,14.5,15.1,15.0,14.6,17.2,14.4,14.5
Tax Rate,33.8%,22.4%,14.9%,9.8%,9.7%,-0.3%,0.0%,0.1%,,,3.7%,-3.0%,3.7%,-6.5%,1.9%,-0.6%,0.7%,0.7%,31.9%,-0.4%
Current Ratio,3.71,4.66,4.17,5.00,5.94,2.20,17.8,7.33,,,9.48,10.4,17.8,12.3,17.7,19.0,7.33,6.76,6.61,8.36
Quick Ratio,0.32,0.43,0.43,1.13,1.19,0.27,4.44,1.60,,,1.34,1.32,4.44,3.03,3.70,3.37,1.60,1.53,1.68,3.45
Days Inventory Outstanding,"1,043",622.1,688.9,618.2,951.5,"1,474","1,281",973.2,,,"1,569","1,541","1,273","1,178","1,069","1,069",944.5,975.2,"1,014","1,019"
Days Sale Outstanding,48.4,9.00,19.2,30.8,79.2,49.8,47.4,43.2,,,49.2,46.7,47.4,38.7,41.8,40.9,43.2,34.1,47.6,41.0
Days Payable Outstanding,9.09,12.5,13.2,13.8,23.7,14.7,0.00,0.00,,,33.9,20.1,8.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cash Conversion Cycle,"1,054",624.7,693.5,628.8,"1,005","1,545","1,327","1,012",,,"1,694","1,569","1,319","1,221","1,108","1,110",982.3,"1,014","1,057","1,063"
Debt to Asset Ratio,0.33,0.29,0.28,0.21,0.17,0.17,0.11,0.091,,,0.14,0.13,0.11,0.12,0.097,0.098,0.091,0.090,0.095,0.079
Debt to Equity Ratio,1.51,1.00,0.93,0.59,0.43,0.43,0.23,0.19,,,0.32,0.31,0.23,0.26,0.21,0.21,0.19,0.19,0.20,0.16
Interest Coverage Ratio,,"3,634",,,,,,,,,,,,,,,18.3,,,
Cash and Short Term Investments,695.3,685.1,"1,149","1,215","1,380","1,021","1,184","1,794",,,"1,031","1,315","1,184","1,451","1,383","1,739","1,794","1,898","1,830","1,729"
"Total Receivables, Net",68.3,25.9,34.9,50.2,60.9,32.9,34.7,43.3,,,34.1,32.6,34.7,28.3,33.0,32.6,43.3,34.5,41.5,35.7
Total Inventory,596.6,655.6,691.7,521.4,490.9,506.7,498.6,472.0,,,500.8,500.8,498.6,498.6,483.3,483.3,472.0,472.0,472.0,472.0
Total Current Assets,"1,360","1,411","1,880","1,831","1,974","1,567","1,723","2,315",,,"1,615","1,896","1,723","1,984","1,909","2,264","2,315","2,417","2,357","2,249"
"Property/Plant/Equipment, Total - Net",315.5,333.8,142.9,117.6,120.9,137.4,130.2,139.5,,,135.7,132.7,130.2,130.6,133.4,132.4,139.5,142.2,147.0,154.3
Total Assets,"4,703","4,989","5,141","5,258","5,506","5,417","5,244","5,787",,,"5,143","5,263","5,244","5,315","5,517","5,569","5,787","5,866","5,813","5,783"
Accounts Payable,11.2,13.9,11.9,15.2,9.97,,,,,,6.32,6.74,,,,,,,,
Accrued Expenses,42.0,21.3,27.0,20.4,36.8,26.5,25.4,41.3,,,24.0,27.5,25.4,33.8,31.2,35.7,41.3,33.9,36.6,40.1
Debt Due,92.9,128.8,188.0,257.8,235.5,675.2,60.8,263.5,,,136.6,142.5,60.8,60.8,60.8,60.8,263.5,302.9,300.6,207.1
Total Current Liabilities,367.1,302.9,450.3,366.2,332.6,711.2,96.6,315.8,,,170.4,182.9,96.6,161.2,107.8,119.4,315.8,357.6,356.4,269.0
Long Term Debt,"1,154","1,077",953.0,696.0,543.4,11.7,265.1,62.1,,,259.2,255.8,265.1,262.8,269.3,267.0,62.1,20.4,20.4,10.5
Total Liabilities,"1,543","1,422","1,447","1,122",948.3,943.4,551.0,527.4,,,698.7,709.3,551.0,612.3,537.0,547.4,527.4,528.7,553.8,458.1
Common Stock,"4,756","4,756","4,756","4,756","4,756","4,756","4,756","4,756",,,"4,756","4,756","4,756","4,756","4,756","4,756","4,756","4,756","4,756","4,756"
Additional Paid-In Capital,,,,,,,,,,,,,,,,,,,,
Retained Earnings (Accumulated Deficit),"-3,125","-2,703","-2,596","-2,249","-2,053","-2,043","-1,795","-1,389",,,"-1,983","-1,897","-1,795","-1,736","-1,607","-1,559","-1,389","-1,318","-1,322","-1,281"
Shareholders' Equity,"1,024","1,419","1,562","1,918","2,194","2,198","2,355","2,753",,,"2,205","2,275","2,355","2,367","2,556","2,584","2,753","2,804","2,768","2,809"
Cash from Operating Activities,116.3,171.0,70.6,-181.6,66.1,-231.3,-276.6,-147.6,,,126.4,-65.8,-121.8,-16.9,-41.7,-29.3,-15.9,-47.9,-48.0,-32.1
