,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,44.3,64.3,37.5,55.6,52.3,51.9,43.0,32.6,,,56.5,51.0,45.1,40.0,39.3,39.4,39.3,35.9,35.1,28.3
Earnings per Share,2.69,-2.82,-2.02,2.20,6.26,4.43,3.09,1.15,,,0.31,-0.21,1.51,0.40,-0.38,1.27,-0.14,-1.44,-1.26,1.16
Revenue per Share,97.0,95.2,93.3,97.9,93.7,96.2,101.2,95.3,,,23.3,23.2,30.6,18.9,23.2,23.9,29.3,18.1,19.6,22.4
Dividend per Share,1.35,,,1.10,3.13,2.22,1.55,0.57,,,,,1.55,,,,0.57,,,
Capital Expenditures per Share,6.27,8.63,4.62,1.47,5.85,4.92,4.28,11.5,,,0.31,1.19,2.39,0.71,2.86,4.09,3.82,1.87,1.77,0.67
Book Value per Share,76.1,69.1,66.7,72.7,78.1,79.4,88.3,87.8,,,87.1,86.9,88.3,88.7,86.7,88.0,87.8,86.4,84.7,85.8
Price to Earnings Ratio,11.9,,,30.8,9.91,9.59,13.3,31.6,,,8.04,9.48,13.4,19.7,29.1,12.7,31.7,,,
Price to Book Value Ratio,0.40,0.88,0.45,0.85,0.63,0.54,0.44,0.40,,,0.61,0.49,0.44,0.43,0.43,0.38,0.40,0.39,0.34,0.29
EV to EBITDA,2.80,7.14,6.43,3.97,3.56,2.96,2.86,4.32,,,2.76,3.19,2.86,3.26,4.32,3.88,4.32,4.73,5.30,4.92
Dividend Payout Ratio,50.2%,,,49.9%,50.0%,50.1%,50.1%,49.7%,,,,,50.2%,,,,49.9%,,,
Common Shares Outstanding,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,,,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3
Total Revenue,"2,068","2,031","1,991","2,088","1,998","2,053","2,160","2,034",,,496.8,494.9,653.7,402.6,495.9,510.9,624.3,386.0,417.8,478.8
"Cost of Revenue, Total","1,438","1,412","1,441","1,339","1,139","1,243","1,418","1,418",,,329.0,333.1,433.6,261.7,364.6,344.0,435.3,258.5,287.3,323.4
Gross Profit,630.3,618.6,550.1,748.8,858.5,810.3,742.2,615.7,,,167.7,161.8,220.1,140.9,131.3,166.9,189.0,127.5,130.5,155.4
"Selling/General/Administrative Expenses, Total",471.0,509.7,460.7,453.4,464.9,494.6,482.3,476.7,,,114.3,117.6,134.8,116.3,125.5,116.1,131.2,119.5,127.7,111.7
Operating Income,159.3,108.9,89.4,295.4,393.6,315.7,259.8,139.0,,,53.4,44.2,85.3,24.7,5.77,50.7,57.8,7.97,2.80,43.7
Net Income,57.4,-60.1,-43.1,47.0,133.4,94.6,66.0,24.5,,,6.61,-4.58,32.3,8.52,-8.14,27.2,-3.08,-30.7,-26.9,24.8
EBITDA,387.5,301.5,275.5,473.9,560.5,477.3,419.3,290.1,,,95.1,84.3,121.4,63.4,44.8,90.3,94.4,45.7,42.6,84.3
Gross Profit Margin,30.5%,30.5%,27.6%,35.9%,43.0%,39.5%,34.4%,30.3%,,,33.8%,32.7%,33.7%,35.0%,26.5%,32.7%,30.3%,33.0%,31.2%,32.5%
Operating Margin,7.7%,5.4%,4.5%,14.1%,19.7%,15.4%,12.0%,6.8%,,,10.7%,8.9%,13.1%,6.1%,1.2%,9.9%,9.3%,2.1%,0.7%,9.1%
Net Profit Margin,2.8%,-3.0%,-2.2%,2.3%,6.7%,4.6%,3.1%,1.2%,,,1.3%,-0.9%,4.9%,2.1%,-1.6%,5.3%,-0.5%,-7.9%,-6.4%,5.2%
Return on Assets,1.8%,-1.9%,-1.3%,1.4%,4.2%,3.0%,2.2%,0.8%,,,4.5%,3.3%,2.2%,1.4%,0.9%,1.8%,0.7%,-0.5%,-1.1%,-1.1%
Return on Equity,3.5%,-4.1%,-3.0%,3.0%,8.0%,5.6%,3.5%,1.3%,,,0.4%,-0.2%,1.7%,0.5%,-0.4%,1.4%,-0.2%,-1.7%,-1.5%,1.4%
Return on Total Capital,3.4%,-2.7%,-1.8%,2.0%,5.8%,4.4%,3.1%,1.3%,,,6.5%,4.7%,3.1%,2.0%,1.4%,3.2%,1.3%,-0.8%,-1.9%,-2.0%
SG&A to Sale,22.8%,25.1%,23.1%,21.7%,23.3%,24.1%,22.3%,23.4%,,,23.0%,23.8%,20.6%,28.9%,25.3%,22.7%,21.0%,31.0%,30.6%,23.3%
Depreciation & Amortisation,228.2,192.5,186.2,178.5,166.9,161.6,159.5,151.1,,,41.7,40.1,36.1,38.8,39.1,39.5,36.6,37.7,39.8,40.6
