,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,15.5,21.9,18.3,15.6,14.8,16.5,17.4,17.7,17.9,,17.5,,17.9,17.3,16.9,16.2,17.8,18.6,19.3
Earnings per Share,0.56,1.59,1.54,0.76,0.70,0.25,0.27,0.49,0.96,,0.058,,0.13,0.14,0.030,0.17,0.37,0.041,0.15
Revenue per Share,2.92,6.74,7.07,5.56,4.52,1.83,1.21,7.57,9.56,,0.31,,,,,6.27,1.42,0.32,0.86
Dividend per Share,0.40,1.00,1.00,0.50,0.50,0.080,0.10,0.36,0.46,,,,,,,0.36,,,
Capital Expenditures per Share,0.025,0.068,0.025,0.017,0.012,0.011,0.00,0.001,0.00,,0.00,,,,,0.001,0.000,0.000,0.00
Book Value per Share,7.35,9.00,9.52,10.4,10.6,10.4,13.6,20.9,13.5,,13.5,,,,,20.9,13.9,14.0,14.1
Price to Earnings Ratio,23.4,13.6,10.7,23.4,16.6,61.9,66.1,31.2,15.8,,116.0,,83.8,52.1,54.9,32.3,23.3,29.5,26.0
Price to Book Value Ratio,1.77,2.92,1.81,1.45,1.13,1.51,1.31,0.66,1.13,,1.21,,,,,0.66,1.23,1.33,1.28
EV to EBITDA,12.8,8.14,9.24,14.3,13.5,26.1,32.6,14.0,17.0,,24.6,,26.3,0.00,0.00,14.0,7.38,9.90,9.23
Dividend Payout Ratio,71.4%,62.9%,64.9%,65.8%,71.4%,32.0%,37.6%,74.0%,48.0%,,,,,,,76.5%,,,
Common Shares Outstanding,781.0,877.5,912.4,"1,099","1,099","1,099","1,834","1,834","2,017",,"1,834",,,,,"1,834","1,834","1,834","1,834"
Total Revenue,"2,280","5,917","6,450","6,113","4,969","2,014","2,224","13,888","19,293",,565.4,,603.5,"1,175",614.4,"11,495","2,607",584.8,"1,576"
"Cost of Revenue, Total",988.3,"3,204","3,213","3,517","2,760",559.0,643.2,"8,711","12,680",,163.6,,114.1,539.5,162.0,"7,895","1,266",134.2,583.3
Gross Profit,"1,292","2,713","3,237","2,596","2,209","1,455","1,581","5,177","6,613",,401.8,,489.4,635.4,452.3,"3,600","1,341",450.7,993.0
"Selling/General/Administrative Expenses, Total",233.1,315.7,541.2,513.7,472.3,522.9,499.7,"2,476","3,571",,121.8,,179.5,188.0,197.6,"1,911",192.0,212.0,273.7
Operating Income,965.7,"2,281","2,521","1,708","1,419",810.2,890.6,"2,645","3,108",,224.8,,252.9,396.5,204.5,"1,791","1,105",198.9,685.9
Net Income,436.4,"1,297","1,414",761.7,769.7,275.0,480.0,892.4,"1,791",,105.8,,235.1,257.4,63.4,336.5,679.2,75.6,274.3
EBITDA,"1,264","2,665","2,893","2,139","1,940","1,245","1,420","3,529","4,145",,365.2,,373.9,534.9,341.5,"2,279","1,236",329.3,818.8
Gross Profit Margin,56.7%,45.8%,50.2%,42.5%,44.5%,72.2%,71.1%,37.3%,34.3%,,71.1%,,81.1%,54.1%,73.6%,31.3%,51.5%,77.1%,63.0%
Operating Margin,42.4%,38.5%,39.1%,27.9%,28.6%,40.2%,40.0%,19.0%,16.1%,,39.8%,,41.9%,33.7%,33.3%,15.6%,42.4%,34.0%,43.5%
Net Profit Margin,19.1%,21.9%,21.9%,12.5%,15.5%,13.7%,21.6%,6.4%,9.3%,,18.7%,,39.0%,21.9%,10.3%,2.9%,26.1%,12.9%,17.4%
Return on Assets,3.1%,7.4%,6.1%,2.6%,2.3%,0.8%,1.2%,1.4%,2.0%,,0.6%,,0.0%,0.0%,0.0%,2.2%,2.1%,2.6%,2.6%
Return on Equity,7.6%,16.4%,16.3%,6.6%,6.6%,2.4%,1.9%,2.3%,6.6%,,0.4%,,0.0%,0.0%,0.0%,0.9%,2.7%,0.3%,1.1%
Return on Total Capital,3.7%,8.4%,6.7%,3.0%,2.7%,1.1%,1.4%,1.5%,2.9%,,0.7%,,0.0%,0.0%,0.0%,1.5%,3.5%,2.7%,2.6%
SG&A to Sale,10.2%,5.3%,8.4%,8.4%,9.5%,26.0%,22.5%,17.8%,18.5%,,21.5%,,29.7%,16.0%,32.2%,16.6%,7.4%,36.2%,17.4%
Depreciation & Amortisation,298.1,383.9,371.3,430.9,521.0,434.6,529.9,884.4,"1,036",,140.5,,121.0,138.4,137.0,488.0,130.5,130.4,132.9
