,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,24.4,25.2,15.9,12.2,22.4,20.1,15.8,10.5,,,20.0,19.0,17.1,16.1,15.4,15.1,13.6,12.0,9.98,8.08
Earnings per Share,-4.67,2.85,-5.52,-7.15,-5.99,0.007,-0.97,-5.33,,,-2.39,-0.84,0.81,1.24,-1.42,-1.70,-3.46,0.20,-3.15,-2.14
Revenue per Share,88.0,96.2,95.3,86.6,84.4,82.4,87.4,90.2,,,20.5,21.3,22.9,24.4,20.8,21.8,23.1,22.7,19.4,20.5
Dividend per Share,,0.50,,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,5.65,8.42,13.2,3.66,1.75,2.59,1.64,1.75,,,0.72,0.26,0.27,0.56,0.30,0.31,0.58,0.20,0.28,0.30
Book Value per Share,28.7,31.6,26.0,18.9,15.1,15.3,14.6,9.31,,,14.4,13.7,14.6,15.9,14.3,13.0,9.31,10.7,7.68,5.67
Price to Earnings Ratio,,8.59,,,,"2,783",,,,,,,,,,,,,,
Price to Book Value Ratio,0.90,0.90,0.54,0.57,0.98,1.21,1.07,1.32,,,1.26,1.27,1.07,0.79,1.06,0.93,1.32,0.99,1.19,1.21
EV to EBITDA,4.14,3.44,4.48,8.19,4.51,4.09,3.88,4.60,,,4.43,4.27,3.88,3.68,3.94,4.41,4.60,5.31,5.48,5.21
Dividend Payout Ratio,,17.5%,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,"2,183","2,183","2,183","2,183","2,183","2,183","2,183","2,183",,,"2,183","2,183","2,183","2,183","2,183","2,183","2,183","2,183","2,183","2,183"
Total Revenue,"192,184","209,955","208,121","189,084","184,179","179,802","190,821","196,839",,,"44,715","46,512","50,036","53,154","45,475","47,692","50,517","49,613","42,352","44,812"
"Cost of Revenue, Total","159,481","166,592","170,555","168,869","147,836","136,821","146,289","163,384",,,"36,668","35,943","36,499","39,898","39,502","41,474","42,360","40,316","39,168","40,192"
Gross Profit,"32,704","43,363","37,566","20,216","36,342","42,981","44,532","33,455",,,"8,047","10,569","13,536","13,256","5,973","6,219","8,157","9,666","3,184","4,621"
"Selling/General/Administrative Expenses, Total","6,618","7,942","10,436","9,791","10,332","10,206","14,413","13,945",,,"2,889","2,985","5,605","3,103","3,047","2,988","5,300","3,524","2,726","2,860"
Operating Income,"-1,704","6,677","-1,995","-19,074","-1,196","6,552","5,992","-6,825",,,"-1,339","1,026","2,958","4,540","-3,324","-2,952","-5,108",19.0,"-6,056","-4,573"
Net Income,"-10,197","6,229","-12,047","-15,612","-13,068",15.1,"-2,107","-11,625",,,"-5,211","-1,825","1,771","2,717","-3,099","-3,701","-7,543",445.4,"-6,884","-4,682"
EBITDA,"18,286","27,200","18,031","1,460","17,937","24,543","23,013","12,220",,,"2,883","5,425","7,151","8,481",647.5,"1,065","2,009","4,247","-1,857",-384.1
Gross Profit Margin,17.0%,20.7%,18.1%,10.7%,19.7%,23.9%,23.3%,17.0%,,,18.0%,22.7%,27.1%,24.9%,13.1%,13.0%,16.1%,19.5%,7.5%,10.3%
Operating Margin,-0.9%,3.2%,-1.0%,-10.1%,-0.6%,3.6%,3.1%,-3.5%,,,-3.0%,2.2%,5.9%,8.5%,-7.3%,-6.2%,-10.1%,0.0%,-14.3%,-10.2%
Net Profit Margin,-5.3%,3.0%,-5.8%,-8.3%,-7.1%,0.0%,-1.1%,-5.9%,,,-11.7%,-3.9%,3.5%,5.1%,-6.8%,-7.8%,-14.9%,0.9%,-16.3%,-10.4%
Return on Assets,-3.6%,2.2%,-3.9%,-5.1%,-4.3%,0.0%,-0.7%,-4.2%,,,-1.8%,-1.8%,-0.7%,-0.9%,-0.2%,-0.8%,-4.3%,-5.2%,-6.7%,-7.2%
Return on Equity,-16.3%,9.0%,-21.2%,-37.9%,-39.8%,0.0%,-6.6%,-57.2%,,,-16.6%,-6.1%,5.6%,7.8%,-9.9%,-13.1%,-37.1%,1.9%,-41.1%,-37.8%
