,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,10.5,6.98,5.95,5.98,4.65,4.20,3.56,2.40,,,3.86,4.00,3.80,3.56,3.37,3.35,3.16,2.76,2.69,2.23
Earnings per Share,0.57,0.53,0.18,0.22,0.18,0.032,-0.066,0.037,,,0.051,-0.063,-0.050,-0.009,0.12,-0.082,0.001,-0.032,0.086,-0.015
Revenue per Share,14.1,14.6,13.7,12.7,11.6,10.9,9.61,8.63,,,2.69,2.28,2.13,2.20,2.39,2.07,1.96,2.00,2.28,1.77
Dividend per Share,0.34,0.37,0.18,0.18,0.12,0.010,,,,,,,,,,,,,,
Capital Expenditures per Share,0.00,0.00,0.00,0.32,0.16,0.21,0.34,0.10,,,0.026,0.035,0.067,0.029,0.029,0.025,0.021,0.018,0.021,0.047
Book Value per Share,1.70,2.23,2.32,2.35,2.35,2.25,2.95,3.00,,,2.29,2.23,2.95,2.94,3.07,2.98,3.00,2.93,3.01,3.00
Price to Earnings Ratio,17.1,17.0,24.0,27.9,26.7,130.0,,75.1,,,,,,,"1,973",,83.0,237.4,,37.4
Price to Book Value Ratio,5.82,3.93,1.98,2.58,2.00,1.78,1.17,0.90,,,1.62,1.59,1.17,1.03,0.99,1.03,0.90,0.92,0.85,0.65
EV to EBITDA,7.12,8.48,8.17,10.0,8.35,10.6,11.4,8.78,,,11.2,12.0,11.4,13.6,9.71,10.9,8.78,9.41,10.1,6.26
Dividend Payout Ratio,59.0%,69.9%,97.6%,81.7%,66.4%,31.7%,,,,,,,,,,,,,,
Common Shares Outstanding,391.9,391.9,391.9,391.9,391.9,391.9,391.9,391.9,,,391.9,391.9,391.9,391.9,391.9,391.9,391.9,391.9,391.9,391.9
Total Revenue,"5,536","5,704","5,353","4,964","4,542","4,286","3,767","3,381",,,"1,055",894.5,833.0,862.6,934.9,811.7,768.8,784.7,893.4,694.3
"Cost of Revenue, Total","3,758","3,845","3,580","3,268","2,955","2,827","2,430","2,173",,,667.7,587.5,536.3,560.9,570.4,542.8,498.5,513.8,550.7,437.3
Gross Profit,"1,778","1,859","1,773","1,696","1,587","1,459","1,337","1,208",,,387.3,307.0,296.7,301.7,364.5,268.9,270.3,270.9,342.7,257.0
