,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,19.0,23.1,25.9,24.5,31.5,33.5,29.5,29.8,,,29.9,30.1,29.4,29.5,29.3,30.4,32.4,29.6,27.1,26.6
Earnings per Share,1.21,1.82,1.81,-0.38,2.56,4.26,1.58,3.01,,,0.16,0.68,0.12,1.02,1.34,0.59,0.067,0.15,0.31,0.50
Revenue per Share,76.5,75.9,79.1,80.3,71.1,69.1,66.5,70.8,,,17.2,16.0,13.9,19.0,18.9,17.6,15.3,17.3,19.8,18.0
Dividend per Share,0.50,0.50,0.65,0.30,0.75,0.80,0.65,0.75,,,,,0.65,,,,0.75,,,
Capital Expenditures per Share,1.83,1.50,2.37,1.31,0.94,0.27,1.71,2.24,,,0.69,0.60,0.022,0.053,0.077,0.71,1.40,0.055,0.14,2.02
Book Value per Share,38.5,40.1,41.5,40.4,42.7,46.4,47.2,49.5,,,46.4,47.0,47.2,48.2,48.9,49.5,49.5,49.7,50.2,50.6
Price to Earnings Ratio,13.3,11.4,10.9,,9.57,7.70,18.9,10.0,,,10.3,14.1,18.9,15.1,9.27,9.29,10.0,12.1,23.3,24.0
Price to Book Value Ratio,0.41,0.53,0.47,0.48,0.53,0.65,0.59,0.59,,,0.59,0.00,0.59,0.61,0.59,0.58,0.59,0.53,0.52,0.53
EV to EBITDA,6.43,6.07,6.74,15.2,4.94,5.45,5.16,0.00,,,5.02,8.18,5.16,4.05,3.05,3.42,0.00,5.70,7.85,0.00
Dividend Payout Ratio,41.3%,27.5%,36.0%,-78.2%,29.3%,18.8%,41.0%,24.9%,,,,,41.0%,,,,24.9%,,,
Common Shares Outstanding,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,,,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
Total Revenue,803.2,796.8,830.8,843.3,747.0,725.6,698.8,743.7,,,180.9,167.9,145.7,199.3,198.3,185.2,161.0,181.7,207.5,189.3
"Cost of Revenue, Total",732.5,723.3,759.6,792.9,672.7,639.1,622.3,664.9,,,154.2,150.3,131.4,177.7,172.0,166.4,148.9,167.5,188.7,171.2
Gross Profit,70.7,73.5,71.3,50.5,74.3,86.5,76.4,78.8,,,26.7,17.6,14.3,21.5,26.3,18.8,12.1,14.2,18.9,18.1
"Selling/General/Administrative Expenses, Total",48.9,47.1,49.7,54.9,48.9,41.3,44.9,47.2,,,30.1,10.3,-6.02,10.5,11.9,12.1,12.6,11.9,15.4,12.2
Operating Income,21.8,26.4,21.6,-2.72,25.4,45.1,31.6,31.6,,,-3.40,7.31,20.3,11.0,14.4,6.75,-0.55,2.35,3.52,5.89
Net Income,12.8,19.1,19.0,-4.03,26.9,44.7,16.6,31.6,,,1.70,7.14,1.31,10.7,14.0,6.22,0.70,1.57,3.24,5.22
EBITDA,50.8,49.8,48.2,23.1,47.4,63.8,48.8,49.9,,,0.87,11.7,24.6,15.4,18.9,11.4,4.17,7.06,8.54,11.0
Gross Profit Margin,8.8%,9.2%,8.6%,6.0%,9.9%,11.9%,10.9%,10.6%,,,14.7%,10.5%,9.8%,10.8%,13.3%,10.2%,7.5%,7.8%,9.1%,9.6%
Operating Margin,2.7%,3.3%,2.6%,-0.3%,3.4%,6.2%,4.5%,4.3%,,,-1.9%,4.4%,13.9%,5.5%,7.3%,3.6%,-0.3%,1.3%,1.7%,3.1%
Net Profit Margin,1.6%,2.4%,2.3%,-0.5%,3.6%,6.2%,2.4%,4.3%,,,0.9%,4.3%,0.9%,5.4%,7.1%,3.4%,0.4%,0.9%,1.6%,2.8%
Return on Assets,2.1%,3.0%,2.9%,-0.6%,4.4%,7.6%,2.8%,5.0%,,,5.1%,3.5%,2.7%,3.4%,5.2%,5.0%,4.9%,3.5%,1.8%,1.7%
Return on Equity,3.2%,4.5%,4.4%,-0.9%,6.0%,9.2%,3.4%,6.1%,,,0.3%,1.4%,0.3%,2.1%,2.7%,1.2%,0.1%,0.3%,0.6%,1.0%
Return on Total Capital,3.2%,4.5%,4.3%,-0.9%,5.9%,9.1%,3.4%,6.1%,,,6.2%,4.3%,3.4%,4.1%,6.4%,6.2%,6.1%,4.3%,2.2%,2.0%
SG&A to Sale,6.1%,5.9%,6.0%,6.5%,6.5%,5.7%,6.4%,6.3%,,,16.6%,6.1%,-4.1%,5.3%,6.0%,6.5%,7.9%,6.5%,7.4%,6.5%
Depreciation & Amortisation,28.9,23.5,26.6,25.8,22.0,18.7,17.2,18.3,,,4.27,4.40,4.32,4.42,4.48,4.64,4.73,4.71,5.02,5.13
Tax Rate,20.8%,11.8%,14.4%,9.3%,-16.9%,3.5%,2.4%,1.4%,,,4.3%,1.9%,-13.4%,3.2%,1.6%,3.4%,-191.7%,12.6%,-12.7%,6.3%
Current Ratio,2.37,2.19,2.38,2.59,4.15,6.89,6.00,5.38,,,6.60,5.77,6.00,7.01,4.82,7.11,5.38,5.93,4.86,9.46
Quick Ratio,1.02,0.75,1.04,1.33,1.75,3.69,3.24,3.00,,,4.52,2.82,3.24,4.56,3.20,4.30,3.00,2.93,2.89,5.44
Days Inventory Outstanding,102.2,124.9,123.5,95.2,99.2,104.2,107.2,102.3,,,77.9,86.2,107.6,96.9,83.8,81.1,88.8,106.6,103.2,94.0
Days Sale Outstanding,75.6,67.6,83.3,90.5,69.5,69.2,79.7,69.7,,,86.3,86.3,79.7,97.2,97.6,96.3,69.7,80.3,99.7,83.1
Days Payable Outstanding,23.8,35.0,40.3,29.1,30.7,29.1,29.3,32.6,,,21.2,24.5,27.1,30.7,34.0,32.8,29.7,35.4,40.4,31.1
Cash Conversion Cycle,152.5,148.3,163.2,156.2,153.4,149.7,149.9,140.6,,,139.8,152.5,158.4,158.0,139.1,151.3,136.9,146.9,147.2,168.8
Debt to Asset Ratio,0.29,0.32,0.30,0.28,0.19,0.13,0.15,0.17,,,0.14,0.16,0.15,0.14,0.19,0.14,0.17,0.16,0.17,0.11
Debt to Equity Ratio,0.43,0.51,0.45,0.42,0.25,0.16,0.19,0.21,,,0.17,0.19,0.19,0.17,0.24,0.17,0.21,0.20,0.22,0.12
Interest Coverage Ratio,6.24,6.99,6.46,,13.6,101.4,103.5,163.0,,,,88.0,322.0,177.2,283.1,160.7,,54.5,153.0,125.3
Cash and Short Term Investments,6.72,7.30,9.99,18.3,35.4,76.0,70.8,115.6,,,99.6,58.4,70.8,91.5,121.9,99.2,115.6,86.9,84.0,75.6
"Total Receivables, Net",166.3,147.5,189.5,209.0,142.3,137.5,152.5,142.0,,,171.4,168.1,152.5,184.7,190.1,192.2,142.0,159.8,200.9,168.3
Total Inventory,214.4,280.4,233.8,179.8,185.9,179.1,186.3,186.3,,,117.7,180.7,186.3,139.6,150.2,137.3,186.3,196.1,183.4,164.9
Total Current Assets,388.7,436.4,435.2,407.5,373.7,396.2,410.6,446.9,,,389.6,414.1,410.6,417.1,465.7,432.8,446.9,445.7,468.8,419.1
"Property/Plant/Equipment, Total - Net",221.4,201.6,202.1,215.8,205.9,190.8,192.1,198.5,,,194.5,190.3,192.1,188.3,184.6,189.5,198.5,194.4,191.0,194.7
Total Assets,610.4,664.7,663.9,627.0,587.3,593.2,609.5,652.7,,,590.5,610.8,609.5,612.2,657.4,629.6,652.7,647.5,665.7,620.0
Accounts Payable,42.5,96.1,71.7,54.9,58.4,43.6,56.4,62.4,,,48.6,36.2,56.4,46.7,70.8,45.6,62.4,64.4,84.4,31.0
Accrued Expenses,6.66,9.15,11.1,11.2,9.17,9.80,9.17,9.36,,,7.30,6.76,9.17,7.91,8.36,9.36,9.36,9.36,10.1,9.84
Debt Due,104.6,88.7,98.0,91.0,21.9,3.14,1.50,10.4,,,2.21,28.2,1.50,1.56,15.5,3.69,10.4,0.27,0.29,0.21
Total Current Liabilities,163.9,199.0,183.1,157.5,90.1,57.5,68.4,83.1,,,59.1,71.8,68.4,59.5,96.6,60.9,83.1,75.2,96.6,44.3
Long Term Debt,,0.71,1.74,3.47,3.69,2.33,0.93,1.45,,,1.39,1.02,0.93,0.84,0.78,1.54,1.45,1.41,0.62,0.57
Total Liabilities,175.6,212.9,197.7,177.3,112.9,79.5,92.2,110.3,,,81.7,94.9,92.2,84.0,121.8,87.7,110.3,103.1,115.7,65.1
Common Stock,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,,,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0
Additional Paid-In Capital,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,,,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
Retained Earnings (Accumulated Deficit),229.8,246.5,260.3,249.4,273.1,312.0,320.1,344.9,,,311.7,318.8,320.1,330.8,338.0,344.2,344.9,346.5,351.5,356.2
Shareholders' Equity,404.8,421.5,435.3,424.4,448.1,487.0,495.2,520.0,,,486.8,493.9,495.2,505.9,513.2,519.3,520.0,521.6,526.6,531.2
Cash from Operating Activities,2.25,53.1,29.8,45.8,102.8,72.1,43.1,64.5,,,90.6,-60.6,39.3,20.8,24.0,-3.40,23.2,-18.0,6.17,12.7
Cash from Investing Activities,-19.2,-15.7,-24.3,-11.3,-25.0,-61.0,-31.4,-59.0,,,-83.4,54.7,-34.8,-17.4,-33.3,42.7,-51.0,26.4,-18.9,-15.1
Cash from Financing Activities,17.5,-38.0,-1.64,-26.0,-76.1,-29.6,-11.7,1.48,,,-34.3,25.6,-26.9,-0.095,7.03,-12.1,6.63,-10.3,-8.36,-0.18
Net Change in Cash,0.50,-0.59,3.90,8.47,1.60,-18.5,-0.005,7.00,,,-27.1,19.7,-22.4,3.32,-2.31,27.2,-21.2,-1.84,-21.1,-2.56
Free Cashflows,-17.0,37.3,4.96,32.0,92.9,69.3,25.2,41.0,,,83.3,-66.9,39.0,20.2,23.2,-10.9,8.51,-18.6,4.70,-8.53
Free Cashflow per Share,-1.62,3.55,0.47,3.05,8.84,6.60,2.40,3.91,,,7.93,-6.37,3.72,1.93,2.21,-1.04,0.81,-1.77,0.45,-0.81
