,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,4.68,6.66,6.71,26.7,27.0,25.5,19.0,19.9,,,23.7,23.3,21.5,17.0,15.7,15.7,16.5,19.9,21.4,22.4
Earnings per Share,0.38,0.42,0.54,0.78,3.25,1.98,1.61,0.36,,,0.22,0.26,0.35,0.19,0.077,0.004,0.084,0.46,0.67,0.45
Revenue per Share,14.6,24.8,22.2,29.8,24.1,15.6,18.1,17.6,,,5.28,3.31,4.18,3.36,3.68,4.48,6.08,4.50,6.84,5.99
Dividend per Share,0.13,,0.10,0.20,0.90,0.90,1.20,0.30,,,0.30,0.00,0.90,,,,0.30,,0.40,0.00
Capital Expenditures per Share,0.41,0.48,0.55,0.56,1.08,0.78,0.79,0.36,,,0.15,0.14,0.39,0.062,0.079,0.10,0.12,0.11,0.092,0.17
Book Value per Share,2.63,2.90,3.44,3.89,6.69,7.83,8.19,7.87,,,8.14,8.04,8.19,8.19,7.61,7.41,7.87,7.92,8.20,8.24
Price to Earnings Ratio,12.9,14.2,8.69,12.0,7.05,13.1,12.4,43.3,,,12.9,11.3,12.3,17.5,17.6,25.7,43.8,31.7,16.9,13.4
Price to Book Value Ratio,1.85,2.42,1.41,2.70,3.74,3.29,2.11,2.01,,,2.96,2.77,2.11,1.67,2.13,1.96,2.01,2.61,2.57,2.57
EV to EBITDA,15.2,30.4,16.4,-75.7,9.41,9.62,11.4,16.6,,,10.6,10.2,11.4,13.4,12.5,12.6,16.6,14.6,13.1,13.3
Dividend Payout Ratio,33.0%,,18.4%,25.6%,27.7%,45.5%,74.5%,83.3%,,,16.7%,0.0%,55.8%,,,,84.3%,,33.0%,0.0%
Common Shares Outstanding,"1,525","1,525","1,526","1,533","1,544","1,553","1,562","1,574",,,"1,554","1,561","1,562","1,564","1,565","1,570","1,574","1,575","1,576","1,576"
Total Revenue,"22,304","37,761","33,935","45,727","37,223","24,229","28,260","27,632",,,"8,211","5,164","6,535","5,263","5,766","7,032","9,571","7,091","10,784","9,449"
"Cost of Revenue, Total","20,719","35,756","32,280","45,174","30,555","19,752","24,041","25,270",,,"7,410","4,533","5,511","4,626","5,060","6,159","9,425","5,891","9,832","8,514"
Gross Profit,"1,584","2,006","1,655",552.8,"6,669","4,478","4,219","2,362",,,801.6,630.1,"1,024",636.7,706.7,872.1,146.2,"1,200",952.1,935.2
"Selling/General/Administrative Expenses, Total",713.1,702.9,785.3,797.3,"1,145","1,305","1,336","1,346",,,290.3,326.9,398.6,322.3,348.6,363.8,311.3,300.2,297.3,335.2
Operating Income,541.8,465.4,974.3,"1,042","6,269","3,729","2,254","1,011",,,286.9,346.5,352.6,284.1,168.7,434.8,123.7,860.8,611.2,756.1
Net Income,577.9,642.3,831.4,"1,200","5,079","3,110","2,537",564.5,,,344.0,401.2,554.5,304.1,121.2,6.27,132.9,717.7,"1,053",712.1
EBITDA,947.0,884.2,"1,409","1,535","6,840","4,555","3,261","2,012",,,532.9,587.7,627.6,524.0,417.6,702.3,368.6,"1,089",826.3,906.1
Gross Profit Margin,7.1%,5.3%,4.9%,1.2%,17.9%,18.5%,14.9%,8.5%,,,9.8%,12.2%,15.7%,12.1%,12.3%,12.4%,1.5%,16.9%,8.8%,9.9%
Operating Margin,2.4%,1.2%,2.9%,2.3%,16.8%,15.4%,8.0%,3.7%,,,3.5%,6.7%,5.4%,5.4%,2.9%,6.2%,1.3%,12.1%,5.7%,8.0%
Net Profit Margin,2.6%,1.7%,2.5%,2.6%,13.6%,12.8%,9.0%,2.0%,,,4.2%,7.8%,8.5%,5.8%,2.1%,0.1%,1.4%,10.1%,9.8%,7.5%
