,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6
Price Average,3.38,12.0,6.45,4.90,3.36,2.11,1.73,1.34,,,2.12,1.98,1.85,1.70,1.70,1.66,1.66,1.58,1.09
Earnings per Share,0.16,0.51,0.12,-0.15,-0.24,-0.25,-0.27,0.035,,,-0.077,-0.058,-0.063,-0.056,-0.061,0.009,0.14,-0.060,-0.062
Revenue per Share,1.26,1.44,0.81,1.08,0.60,0.55,0.47,1.05,,,0.14,0.10,0.15,0.10,0.070,0.057,0.81,0.063,0.040
Dividend per Share,0.008,0.083,0.27,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.005,0.002,0.002,0.010,0.002,0.003,0.001,0.003,,,0.000,0.000,0.000,0.002,0.00,0.00,0.000,0.000,0.00
Book Value per Share,1.02,2.02,1.41,1.61,1.39,1.25,1.21,1.25,,,1.23,1.18,1.21,1.15,1.09,1.10,1.25,1.19,1.12
Price to Earnings Ratio,9.50,17.0,58.7,,,,,48.5,,,,,,,,,56.2,57.5,50.4
Price to Book Value Ratio,1.44,6.34,4.78,2.70,1.79,1.59,1.42,1.31,,,1.63,1.58,1.42,1.26,1.47,1.35,1.31,1.03,0.89
EV to EBITDA,7.56,6.99,37.8,103.3,201.8,72.9,75.8,16.7,,,144.5,72.3,75.8,74.8,71.8,787.4,16.7,16.3,17.0
Dividend Payout Ratio,4.9%,16.4%,226.5%,,,,,,,,,,,,,,,,
Common Shares Outstanding,909.0,947.4,"1,084","1,284","1,284","1,631","2,147","2,147",,,"1,881","1,906","2,147","2,147","2,147","2,147","2,147","2,147","2,147"
Total Revenue,"1,144","1,361",882.8,"1,385",776.2,895.6,998.9,"2,262",,,267.1,197.5,330.3,224.5,149.8,122.7,"1,750",136.1,85.9
"Cost of Revenue, Total",699.9,400.0,425.3,"1,030",545.6,585.3,681.9,"1,572",,,197.3,87.6,256.2,165.7,89.2,74.6,"1,235",86.1,46.2
Gross Profit,443.8,960.6,457.5,354.7,230.6,310.4,316.9,690.0,,,69.8,110.0,74.1,58.7,60.6,48.1,514.8,50.0,39.6
"Selling/General/Administrative Expenses, Total",187.8,217.9,210.9,298.8,258.7,283.9,300.0,267.9,,,96.2,62.5,66.7,63.7,54.9,64.4,93.6,67.6,57.2
Operating Income,256.0,742.7,246.6,55.8,-28.1,26.5,17.0,422.1,,,-26.4,47.5,7.42,-4.96,5.73,-16.3,421.2,-17.6,-17.6
Net Income,147.7,501.6,149.5,-169.1,-304.5,-322.9,-471.0,74.4,,,-127.9,-109.4,-121.1,-119.9,-131.9,29.4,296.7,-129.3,-132.2
EBITDA,300.6,784.2,279.8,95.0,35.7,98.8,90.8,500.9,,,1.75,75.9,-3.19,23.9,5.73,-16.3,411.3,10.6,-17.6
Gross Profit Margin,38.8%,70.6%,51.8%,25.6%,29.7%,34.7%,31.7%,30.5%,,,26.1%,55.7%,22.4%,26.2%,40.5%,39.2%,29.4%,36.7%,46.2%
Operating Margin,22.4%,54.6%,27.9%,4.0%,-3.6%,3.0%,1.7%,18.7%,,,-9.9%,24.0%,2.2%,-2.2%,3.8%,-13.3%,24.1%,-13.0%,-20.5%
Net Profit Margin,12.9%,36.9%,16.9%,-12.2%,-39.2%,-36.1%,-47.2%,3.3%,,,-47.9%,-55.4%,-36.7%,-53.4%,-88.0%,24.0%,17.0%,-95.0%,-154.0%
Return on Assets,6.0%,11.9%,2.2%,-2.2%,-3.6%,-3.3%,-4.7%,0.8%,,,-4.3%,-4.4%,-4.6%,-4.6%,-4.5%,-3.2%,0.8%,0.7%,0.7%
Return on Equity,16.0%,26.2%,9.8%,-8.2%,-17.0%,-15.8%,-18.1%,2.8%,,,-5.5%,-4.9%,-4.6%,-4.8%,-5.6%,1.2%,11.1%,-5.0%,-5.5%
Return on Total Capital,8.6%,17.6%,7.4%,-3.5%,-7.2%,-8.0%,-8.9%,1.3%,,,-10.7%,-10.2%,-8.9%,-9.2%,-8.3%,-6.0%,1.3%,1.1%,1.2%
SG&A to Sale,16.4%,16.0%,23.9%,21.6%,33.3%,31.7%,30.0%,11.8%,,,36.0%,31.6%,20.2%,28.4%,36.6%,52.5%,5.4%,49.7%,66.6%
Depreciation & Amortisation,44.6,41.4,33.3,39.2,63.8,72.4,73.9,78.8,,,28.2,28.5,-10.6,28.8,,,-9.92,28.2,
Tax Rate,20.7%,23.5%,21.5%,26.2%,12.2%,3.2%,-9.9%,19.7%,,,-1.1%,-15.1%,-21.8%,-4.4%,-4.8%,7.1%,1.9%,-1.8%,-3.4%
Current Ratio,2.02,1.64,1.20,2.45,1.39,1.43,1.56,2.61,,,1.39,1.37,1.56,1.54,1.65,1.78,2.61,2.18,2.23
Quick Ratio,0.031,0.045,0.006,0.16,0.044,0.012,0.062,0.075,,,0.093,0.051,0.062,0.064,0.054,0.058,0.075,0.057,0.062
Days Inventory Outstanding,505.7,"2,258","3,838","1,776","3,901","4,079","3,529","1,431",,,"3,936","4,350","3,575","3,457","4,181","4,266","1,465","1,419","1,467"
Days Sale Outstanding,5.37,36.1,14.7,92.4,94.8,21.4,113.7,28.3,,,208.4,115.5,113.7,112.4,108.1,114.3,28.5,29.3,32.2
Days Payable Outstanding,27.3,270.7,261.6,32.2,57.3,50.4,40.0,23.1,,,49.0,76.8,59.0,65.0,119.2,117.5,35.3,24.1,14.5
Cash Conversion Cycle,473.2,"1,819","3,802","1,794","3,978","4,080","3,566","1,440",,,"3,995","4,431","3,657","3,483","4,188","4,281","1,470","1,433","1,486"
Debt to Asset Ratio,0.59,0.66,0.79,0.71,0.80,0.78,0.74,0.67,,,0.76,0.76,0.74,0.75,0.78,0.76,0.67,0.70,0.70
Debt to Equity Ratio,1.55,2.07,3.96,2.53,4.33,3.68,2.98,2.12,,,3.25,3.36,2.98,3.10,3.65,3.32,2.12,2.46,2.51
Interest Coverage Ratio,3.59,8.68,2.18,0.18,,0.068,0.041,1.01,,,,0.44,0.069,,0.051,,4.47,,
Cash and Short Term Investments,12.5,403.9,"1,269",269.3,384.1,480.3,602.3,54.7,,,85.8,77.9,602.3,201.6,898.6,452.3,54.7,540.1,35.9
"Total Receivables, Net",16.8,134.7,35.5,350.7,201.7,52.4,311.2,175.3,,,514.0,279.7,311.2,314.0,267.3,259.0,175.3,173.0,185.0
Total Inventory,828.5,"4,120","4,824","5,203","6,461","6,619","6,568","5,760",,,"6,617","6,790","6,568","6,821","6,897","6,795","5,760","5,784","5,807"
Total Current Assets,"1,105","4,847","6,606","5,895","7,292","7,590","7,785","6,079",,,"7,673","7,453","7,785","7,539","8,213","7,904","6,079","6,567","6,685"
"Property/Plant/Equipment, Total - Net",18.1,18.8,60.7,90.7,82.3,77.1,64.9,59.9,,,70.7,67.4,64.9,66.7,63.9,63.3,59.9,58.7,56.8
Total Assets,"2,433","5,977","7,683","7,383","9,655","9,681","10,492","8,479",,,"9,933","9,942","10,492","10,277","10,979","10,343","8,479","8,983","8,558"
Accounts Payable,73.4,520.0,89.8,92.2,79.2,82.4,67.2,131.8,,,83.3,153.3,67.2,184.6,206.4,170.6,131.8,64.4,49.9
Accrued Expenses,53.1,69.6,75.1,75.9,84.2,114.0,106.9,108.4,,,111.7,107.2,106.9,107.2,93.9,136.0,108.4,138.6,98.4
Debt Due,260.1,"1,862","4,863","2,056","4,960","4,991","4,305","1,914",,,"5,207","4,752","4,305","3,991","3,509","2,912","1,914","2,632","2,527"
Total Current Liabilities,547.0,"2,963","5,506","2,402","5,237","5,300","4,984","2,326",,,"5,520","5,459","4,984","4,882","4,965","4,448","2,326","3,015","2,993"
Long Term Debt,784.9,933.6,478.3,"2,745","2,447","1,974","2,716","3,259",,,"1,653","2,035","2,716","2,725","3,476","3,322","3,259","3,179","2,934"
Total Liabilities,"1,431","3,968","6,055","5,214","7,753","7,520","7,774","5,680",,,"7,505","7,568","7,774","7,684","8,523","7,858","5,680","6,294","6,030"
Common Stock,701.4,789.5,"1,084","1,284","1,284","1,631","2,147","2,147",,,"1,881","1,906","2,147","2,147","2,147","2,147","2,147","2,147","2,147"
Additional Paid-In Capital,147.2,147.2,147.8,955.1,955.1,"1,303","1,819","1,819",,,"1,553","1,578","1,819","1,819","1,819","1,819","1,819","1,819","1,819"
Retained Earnings (Accumulated Deficit),120.3,591.3,471.8,9.80,-294.7,-620.5,"-1,091","-1,022",,,-860.9,-970.3,"-1,091","-1,211","-1,343","-1,314","-1,022","-1,136","-1,268"
Shareholders' Equity,923.2,"1,917","1,531","2,060","1,790","2,044","2,605","2,675",,,"2,308","2,253","2,605","2,477","2,338","2,364","2,675","2,560","2,403"
