,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,199.5,163.0,207.0,242.5,259.0,245.0,214.0,191.0,190.0,,232.5,234.5,220.5,207.0,208.0,219.5,200.0,184.3,174.3,170.3
Earnings per Share,14.3,-23.3,-39.9,25.3,35.4,23.7,12.3,7.30,-9.48,,3.05,2.14,1.63,-0.78,3.58,2.88,-1.14,-3.40,-5.42,0.48
Revenue per Share,751.3,586.8,537.7,788.0,795.1,767.8,673.2,644.3,525.4,,155.9,166.0,160.2,145.3,158.9,179.9,138.6,129.9,128.2,128.7
Dividend per Share,8.00,3.00,3.00,9.00,18.0,14.0,8.00,13.0,10.0,,,8.00,,,,13.0,,,,10.0
Capital Expenditures per Share,39.5,28.2,20.3,11.2,11.5,14.9,8.97,11.9,8.56,,2.10,1.67,2.23,1.76,5.43,2.48,1.27,3.83,1.78,1.69
Book Value per Share,314.1,279.4,234.6,257.1,283.0,288.0,286.3,285.8,261.3,,284.2,286.3,287.8,279.0,282.6,285.8,284.7,268.3,262.8,261.3
Price to Earnings Ratio,14.0,,,8.94,7.84,9.98,18.7,29.6,,,13.6,18.7,23.7,31.0,29.6,29.6,41.1,92.5,,
Price to Book Value Ratio,0.64,0.65,0.61,0.85,0.95,0.83,0.81,0.71,0.67,,0.81,0.81,0.71,0.68,0.70,0.71,0.63,0.67,0.61,0.67
EV to EBITDA,3.30,-34.7,17.1,5.26,3.54,2.85,4.58,4.00,28.8,,3.91,4.58,4.71,4.61,3.96,4.00,5.63,5.11,8.58,28.8
Dividend Payout Ratio,56.0%,-12.9%,-7.5%,35.6%,50.8%,59.2%,64.9%,178.0%,-105.5%,,,64.9%,,,,178.0%,,,,-105.5%
Common Shares Outstanding,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9
Total Revenue,"15,701","12,262","11,237","16,467","16,616","16,046","14,069","13,464","10,980",,"3,257","3,470","3,348","3,036","3,320","3,760","2,897","2,714","2,680","2,690"
"Cost of Revenue, Total","15,038","12,324","11,117","15,636","15,600","15,061","13,447","12,799","10,681",,"3,132","3,356","3,184","2,958","3,158","3,500","2,835","2,684","2,597","2,565"
Gross Profit,663.2,-61.6,120.6,830.4,"1,016",985.1,622.0,664.4,299.6,,125.8,113.7,164.0,78.2,162.1,260.1,61.5,30.6,82.7,124.9
"Selling/General/Administrative Expenses, Total",559.8,621.0,584.9,543.9,506.4,520.5,509.8,599.8,615.2,,113.4,103.6,134.0,129.3,167.0,169.5,134.6,126.9,204.8,148.8
Operating Income,301.9,-339.0,-246.8,481.6,667.8,622.9,290.7,188.9,-194.7,,76.4,26.9,57.0,-10.1,30.8,111.1,-34.6,-65.6,-96.2,1.62
Net Income,298.6,-487.0,-833.4,528.0,740.6,494.3,257.6,152.6,-198.1,,63.8,44.7,34.1,-16.4,74.8,60.2,-23.7,-71.0,-113.3,9.94
EBITDA,954.3,285.5,363.8,962.2,"1,148","1,099",713.4,589.9,156.3,,180.3,128.9,161.8,86.8,130.2,211.0,55.6,22.3,-5.79,84.3
Gross Profit Margin,4.2%,-0.5%,1.1%,5.0%,6.1%,6.1%,4.4%,4.9%,2.7%,,3.9%,3.3%,4.9%,2.6%,4.9%,6.9%,2.1%,1.1%,3.1%,4.6%
Operating Margin,1.9%,-2.8%,-2.2%,2.9%,4.0%,3.9%,2.1%,1.4%,-1.8%,,2.3%,0.8%,1.7%,-0.3%,0.9%,3.0%,-1.2%,-2.4%,-3.6%,0.1%
Net Profit Margin,1.9%,-4.0%,-7.4%,3.2%,4.5%,3.1%,1.8%,1.1%,-1.8%,,2.0%,1.3%,1.0%,-0.5%,2.3%,1.6%,-0.8%,-2.6%,-4.2%,0.4%
