,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,82.4,56.0,37.3,30.9,34.3,45.5,52.9,46.3,35.8,,50.8,58.5,57.4,51.8,49.1,45.5,41.4,39.1,35.8,31.5
Earnings per Share,14.5,6.55,0.37,-4.80,-6.42,6.87,11.5,10.6,7.82,,3.92,3.04,1.60,2.00,3.42,2.12,0.92,1.37,-1.18,-0.46
Revenue per Share,61.3,55.4,58.9,58.8,38.8,46.1,45.3,50.1,46.9,,13.7,11.9,11.8,12.6,11.9,12.1,11.8,11.1,10.0,10.1
Dividend per Share,2.50,0.74,1.17,0.20,0.050,0.70,1.05,1.15,0.70,,,,,1.15,,,,0.70,,
Capital Expenditures per Share,1.14,1.44,7.47,3.39,1.93,2.81,1.69,1.01,1.05,,0.19,0.18,0.22,0.41,0.19,0.16,0.35,0.35,0.61,0.38
Book Value per Share,102.2,100.7,99.4,95.2,86.0,94.5,106.0,115.0,119.4,,110.7,112.3,114.9,115.0,118.1,118.3,118.9,119.4,118.2,115.4
Price to Earnings Ratio,5.14,9.01,112.6,,,5.17,3.88,4.76,4.92,,4.17,4.33,4.43,4.76,4.88,4.88,4.71,4.92,9.94,46.9
Price to Book Value Ratio,0.69,0.57,0.36,0.36,0.29,0.37,0.41,0.40,0.32,,0.47,0.49,0.46,0.40,0.40,0.36,0.33,0.32,0.28,0.25
EV to EBITDA,12.7,7.14,86.1,-10.4,-21.4,8.19,5.35,7.44,7.51,,4.13,6.89,7.56,7.44,7.44,7.32,6.33,7.51,9.68,15.9
Dividend Payout Ratio,17.3%,11.3%,313.7%,-4.2%,-0.8%,10.2%,9.1%,10.9%,9.0%,,,,,10.9%,,,,9.0%,,
Common Shares Outstanding,201.6,201.6,201.6,201.6,201.6,201.6,201.6,201.6,201.6,,201.6,201.6,201.6,201.6,201.6,201.6,201.6,201.6,201.6,201.6
Total Revenue,"12,354","11,173","11,869","11,856","7,821","9,287","9,130","10,094","9,449",,"2,767","2,409","2,375","2,544","2,401","2,449","2,370","2,229","2,026","2,030"
"Cost of Revenue, Total","9,324","9,678","11,164","11,373","7,957","8,178","7,588","8,807","8,586",,"2,303","2,109","2,093","2,303","2,145","2,154","2,150","2,137","1,931","1,986"
Gross Profit,"3,031","1,496",704.3,482.9,-136.3,"1,109","1,542","1,287",863.3,,464.6,300.4,281.6,240.6,255.9,295.3,219.7,92.4,94.4,43.8
"Selling/General/Administrative Expenses, Total",533.6,565.8,"1,015","1,759",511.0,444.2,462.6,626.9,609.2,,167.7,138.0,131.2,190.0,140.0,153.1,156.5,159.7,145.8,143.8
Operating Income,"2,497",929.8,-311.1,"-1,276",-647.3,664.4,"1,079",660.4,254.1,,297.0,162.4,150.4,50.6,115.9,142.2,63.2,-67.3,-51.4,-100.0
Net Income,"2,920","1,319",75.2,-967.0,"-1,295","1,386","2,325","2,128","1,577",,791.0,612.3,322.0,402.3,689.1,426.5,184.8,276.3,-238.5,-92.5
EBITDA,"3,081","1,522",109.1,-843.5,-276.2,"1,051","1,470","1,031",593.8,,387.6,256.3,244.3,142.9,200.7,229.9,146.8,16.3,26.9,-21.4
Gross Profit Margin,24.5%,13.4%,5.9%,4.1%,-1.7%,11.9%,16.9%,12.8%,9.1%,,16.8%,12.5%,11.9%,9.5%,10.7%,12.1%,9.3%,4.1%,4.7%,2.2%
Operating Margin,20.2%,8.3%,-2.6%,-10.8%,-8.3%,7.2%,11.8%,6.5%,2.7%,,10.7%,6.7%,6.3%,2.0%,4.8%,5.8%,2.7%,-3.0%,-2.5%,-4.9%
Net Profit Margin,23.6%,11.8%,0.6%,-8.2%,-16.6%,14.9%,25.5%,21.1%,16.7%,,28.6%,25.4%,13.6%,15.8%,28.7%,17.4%,7.8%,12.4%,-11.8%,-4.6%
Return on Assets,14.0%,6.0%,0.3%,-4.0%,-5.8%,6.6%,10.4%,8.7%,6.2%,,10.6%,10.2%,9.6%,8.5%,8.0%,7.1%,6.6%,6.1%,2.5%,0.5%
Return on Equity,14.2%,6.5%,0.4%,-5.0%,-7.5%,7.3%,10.9%,9.2%,6.5%,,3.5%,2.7%,1.4%,1.7%,2.9%,1.8%,0.8%,1.1%,-1.0%,-0.4%
Return on Total Capital,14.2%,6.5%,0.4%,-4.9%,-7.5%,7.3%,10.9%,9.2%,6.5%,,11.5%,11.2%,10.4%,9.2%,8.5%,7.7%,7.1%,6.5%,2.7%,0.6%
SG&A to Sale,4.3%,5.1%,8.6%,14.8%,6.5%,4.8%,5.1%,6.2%,6.4%,,6.1%,5.7%,5.5%,7.5%,5.8%,6.3%,6.6%,7.2%,7.2%,7.1%
Depreciation & Amortisation,584.2,592.1,420.1,432.3,371.1,386.9,391.0,370.7,339.8,,90.6,93.9,94.0,92.3,84.8,87.7,83.7,83.6,78.3,78.6
Tax Rate,14.5%,12.0%,-152.0%,7.9%,8.9%,8.4%,7.1%,4.0%,1.8%,,6.4%,4.5%,7.2%,-5.0%,3.0%,-0.7%,2.4%,2.2%,1.8%,6.7%
Current Ratio,4.41,4.91,2.09,1.53,1.40,2.19,3.29,4.40,4.11,,3.18,3.39,4.55,4.40,4.24,4.48,4.40,4.11,4.91,4.35
Quick Ratio,1.21,2.43,1.12,0.65,0.76,1.13,1.93,2.56,2.88,,1.91,2.23,3.08,2.56,2.76,3.05,2.86,2.88,3.12,2.75
Days Inventory Outstanding,70.0,68.3,73.8,91.2,99.4,70.1,88.0,69.7,66.2,,83.9,76.0,68.7,61.3,63.6,67.9,68.6,70.3,67.9,65.4
Days Sale Outstanding,41.1,43.1,66.7,52.0,42.7,73.9,52.1,50.9,53.6,,62.2,67.5,56.8,50.9,51.0,51.2,47.4,53.6,47.1,52.1
Days Payable Outstanding,21.1,17.7,19.7,29.3,33.8,25.4,40.2,41.7,51.3,,48.2,48.1,42.4,41.1,45.4,47.9,50.2,55.4,52.4,49.4
Cash Conversion Cycle,88.8,97.7,102.0,118.2,140.6,94.4,105.1,75.9,62.3,,89.5,97.4,88.0,70.7,68.9,70.0,66.7,63.7,74.9,63.7
Debt to Asset Ratio,0.075,0.062,0.17,0.20,0.16,0.10,0.092,0.076,0.078,,0.099,0.093,0.075,0.076,0.078,0.074,0.074,0.078,0.069,0.076
Debt to Equity Ratio,0.081,0.066,0.20,0.25,0.19,0.12,0.10,0.082,0.085,,0.11,0.10,0.081,0.082,0.084,0.079,0.080,0.085,0.074,0.082
Interest Coverage Ratio,408.2,104.1,,,,19.5,163.1,189.9,"310,580",,198.1,108.3,327.6,"2,693",,,"63,156",,,
