,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,,,12.8,9.10,7.85,,,12.9,12.8,10.7,8.15,7.90,7.35,6.88,8.53,9.20,8.20
Earnings per Share,,,0.011,0.16,0.34,0.51,0.33,0.28,,,0.074,0.067,0.041,0.057,0.079,0.087,0.061,0.089,0.11,0.10
Revenue per Share,,,0.57,1.39,1.56,1.72,1.80,1.79,,,0.46,0.45,0.43,0.41,0.44,0.48,0.46,0.48,0.51,0.56
Dividend per Share,,,0.00,0.00,0.00,0.048,0.10,0.14,,,0.20,,0.10,,,,0.14,,0.060,0.00
Capital Expenditures per Share,,,0.000,0.00,0.16,1.48,0.15,0.18,,,0.068,0.041,0.021,0.083,0.013,0.070,0.013,0.69,0.19,0.38
Book Value per Share,,,0.11,0.32,0.39,1.01,2.45,2.64,,,1.01,2.42,2.45,2.49,2.50,2.57,2.64,2.72,2.67,2.72
Price to Earnings Ratio,,,,,,,30.0,21.1,,,25.7,33.4,33.6,35.1,32.7,25.5,21.1,19.6,26.4,20.4
Price to Book Value Ratio,,,,,,,3.65,2.52,,,10.7,4.21,3.65,2.51,3.43,2.00,2.52,2.76,3.11,2.61
EV to EBITDA,,,,,,0.00,21.0,13.7,,,0.00,22.4,21.0,17.7,13.8,17.1,13.7,16.7,17.9,15.8
Dividend Payout Ratio,,,0.0%,0.0%,0.0%,9.4%,30.0%,49.2%,,,47.6%,,33.6%,,,,49.2%,,17.1%,0.0%
Common Shares Outstanding,,,"2,500","2,500","2,500","2,500","2,500","2,500",,,"2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500"
Total Revenue,,,"1,413","3,480","3,892","4,297","4,501","4,480",,,"1,151","1,132","1,076","1,018","1,106","1,196","1,159","1,189","1,268","1,389"
"Cost of Revenue, Total",,,"1,126","2,442","2,476","2,653","3,372","3,373",,,836.7,871.0,881.2,777.6,788.4,895.7,911.1,844.3,866.7,972.7
Gross Profit,,,286.5,"1,039","1,417","1,644","1,129","1,111",,,314.3,261.0,195.0,240.8,317.9,300.1,248.1,344.4,401.6,416.5
"Selling/General/Administrative Expenses, Total",,,64.8,175.4,200.3,397.8,342.4,389.7,,,89.0,82.2,95.9,107.8,77.3,106.6,76.3,87.8,100.8,87.0
Operating Income,,,114.3,863.1,"1,216","1,246",786.2,739.0,,,225.3,178.8,99.2,133.0,240.6,193.5,171.8,256.6,300.8,329.5
Net Income,,,27.4,407.6,378.8,787.6,717.9,711.8,,,185.8,141.4,103.2,141.8,197.9,218.5,153.7,221.3,283.2,252.6
EBITDA,,,375.1,863.1,"1,576","1,682","1,410","1,241",,,400.4,345.3,235.0,260.2,360.8,322.2,230.9,379.7,440.6,520.4
Gross Profit Margin,,,20.3%,29.8%,36.4%,38.3%,25.1%,24.8%,,,27.3%,23.1%,18.1%,23.6%,28.7%,25.1%,21.4%,29.0%,31.7%,30.0%
Operating Margin,,,8.1%,24.8%,31.3%,29.0%,17.5%,16.5%,,,19.6%,15.8%,9.2%,13.1%,21.8%,16.2%,14.8%,21.6%,23.7%,23.7%
Net Profit Margin,,,1.9%,11.7%,9.7%,18.3%,16.0%,15.9%,,,16.1%,12.5%,9.6%,13.9%,17.9%,18.3%,13.3%,18.6%,22.3%,18.2%
Return on Assets,,,1.1%,9.3%,5.9%,10.5%,7.5%,6.6%,,,11.6%,8.5%,6.6%,5.5%,5.7%,6.2%,6.5%,7.0%,7.1%,7.0%
