,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,178.5,168.5,101.5,67.0,66.4,54.8,57.8,37.4,36.8,,53.5,63.0,65.3,49.9,42.4,38.3,37.9,36.4,35.5,34.9
Earnings per Share,0.21,2.27,-1.24,1.08,-1.15,-1.16,-0.87,-1.04,-1.70,,-0.36,0.12,-0.33,-0.37,-0.28,-0.068,-0.38,-0.076,-0.14,-1.10
Revenue per Share,80.7,85.9,42.0,39.2,40.3,40.7,40.1,40.7,44.2,,10.5,10.4,9.85,10.3,10.8,9.75,10.5,10.9,12.3,10.5
Dividend per Share,0.75,2.50,,,,,,,0.25,,,,,,,,,,,0.25
Capital Expenditures per Share,3.65,2.26,2.85,3.14,1.76,1.65,1.41,1.00,0.69,,0.28,0.51,0.30,0.18,0.24,0.28,0.12,0.13,0.18,0.26
Book Value per Share,33.8,32.8,31.6,32.9,31.8,33.6,32.8,32.1,32.8,,32.6,32.8,32.5,32.1,31.8,32.1,31.7,31.7,31.5,32.8
Price to Earnings Ratio,265.3,99.8,,73.8,,,,,,,,,,,,,,,,
Price to Book Value Ratio,1.66,6.49,2.68,2.36,1.80,1.61,1.69,1.04,0.98,,1.56,1.69,1.69,1.32,1.24,1.04,1.13,1.08,1.08,0.98
EV to EBITDA,15.0,69.8,-63.0,-25.8,-77.5,263.0,-652.2,-105.1,138.3,,-82.5,-652.2,"-3,297",531.8,242.8,-105.1,-91.3,-404.6,"-1,863",138.3
Dividend Payout Ratio,361.7%,109.9%,,,,,,,-14.7%,,,,,,,,,,,-14.7%
Common Shares Outstanding,265.9,265.9,265.9,265.9,265.9,265.9,265.9,265.9,265.9,,265.9,265.9,265.9,265.9,265.9,265.9,265.9,265.9,265.9,265.9
Total Revenue,"21,446","22,839","11,172","10,423","10,716","10,828","10,666","10,820","11,763",,"2,799","2,762","2,618","2,747","2,863","2,592","2,792","2,907","3,265","2,799"
"Cost of Revenue, Total","17,269","18,197","8,115","7,713","8,333","8,012","7,736","7,828","8,404",,"2,069","1,866","1,924","1,963","2,054","1,886","2,054","2,097","2,296","1,957"
Gross Profit,"4,177","4,643","3,057","2,710","2,383","2,816","2,931","2,992","3,359",,730.5,895.7,693.8,783.5,809.1,705.3,738.1,810.5,969.3,841.4
"Selling/General/Administrative Expenses, Total","3,917","4,420","3,975","4,237","3,386","3,471","3,612","3,740","3,886",,933.4,913.9,916.9,986.6,981.4,855.1,944.2,910.3,"1,119",912.8
Operating Income,315.4,343.1,-814.5,"-1,496",-974.6,-583.6,-592.4,-599.1,-410.2,,-202.9,70.8,-154.0,-161.8,-134.2,-149.2,-166.6,-71.9,-120.2,-51.5
Net Income,55.1,604.7,-328.5,288.1,-304.9,-308.3,-230.9,-277.7,-452.5,,-94.9,33.0,-87.6,-97.7,-74.2,-18.2,-100.4,-20.2,-38.5,-293.4
EBITDA,955.0,974.8,-253.4,-817.6,-256.6,124.6,69.0,54.7,182.7,,-36.1,225.2,15.2,20.3,17.9,1.34,-10.3,75.8,26.5,90.6
Gross Profit Margin,19.5%,20.3%,27.4%,26.0%,22.2%,26.0%,27.5%,27.7%,28.6%,,26.1%,32.4%,26.5%,28.5%,28.3%,27.2%,26.4%,27.9%,29.7%,30.1%
Operating Margin,1.5%,1.5%,-7.3%,-14.4%,-9.1%,-5.4%,-5.6%,-5.5%,-3.5%,,-7.2%,2.6%,-5.9%,-5.9%,-4.7%,-5.8%,-6.0%,-2.5%,-3.7%,-1.8%
Net Profit Margin,0.3%,2.6%,-2.9%,2.8%,-2.8%,-2.8%,-2.2%,-2.6%,-3.8%,,-3.4%,1.2%,-3.3%,-3.6%,-2.6%,-0.7%,-3.6%,-0.7%,-1.2%,-10.5%
Return on Assets,0.4%,4.5%,-2.5%,2.2%,-2.4%,-2.5%,-1.9%,-2.3%,-3.8%,,-2.4%,-1.9%,-1.8%,-2.1%,-1.9%,-2.4%,-2.5%,-1.8%,-1.5%,-3.7%
Return on Equity,0.6%,6.9%,-3.9%,3.3%,-3.6%,-3.5%,-2.6%,-3.3%,-5.2%,,-1.1%,0.4%,-1.0%,-1.1%,-0.9%,-0.2%,-1.2%,-0.2%,-0.5%,-3.4%
Return on Total Capital,0.6%,6.9%,-3.9%,3.3%,-3.6%,-3.5%,-2.6%,-3.3%,-5.2%,,-3.4%,-2.6%,-2.5%,-2.9%,-2.7%,-3.3%,-3.4%,-2.5%,-2.1%,-5.2%
SG&A to Sale,18.3%,19.4%,35.6%,40.7%,31.6%,32.1%,33.9%,34.6%,33.0%,,33.3%,33.1%,35.0%,35.9%,34.3%,33.0%,33.8%,31.3%,34.3%,32.6%
Depreciation & Amortisation,639.6,631.7,561.1,678.7,718.0,708.2,661.4,653.8,592.8,,166.8,154.5,169.1,182.1,152.1,150.5,156.3,147.7,146.7,142.1
Tax Rate,63.1%,17.6%,31.5%,1103.5%,25.2%,27.0%,28.9%,1.4%,-129.1%,,26.6%,-36.3%,25.6%,26.7%,27.1%,125.6%,24.3%,40.4%,39.8%,987.8%
Current Ratio,1.58,1.54,1.14,0.96,0.88,0.98,0.98,1.03,1.17,,0.94,0.98,1.00,0.96,0.98,1.03,1.02,1.03,1.11,1.17
Quick Ratio,0.45,0.35,0.20,0.25,0.29,0.40,0.42,0.48,0.37,,0.37,0.42,0.47,0.45,0.45,0.48,0.45,0.48,0.44,0.37
Days Inventory Outstanding,49.5,43.1,95.5,69.2,29.9,31.1,33.4,30.7,27.8,,34.2,34.2,33.0,34.1,33.0,29.7,28.0,28.7,28.9,29.2
Days Sale Outstanding,24.8,18.5,19.1,30.8,23.6,33.9,32.5,34.4,23.4,,29.9,32.5,34.8,36.9,34.7,34.4,30.5,35.3,32.6,23.4
Days Payable Outstanding,29.1,26.2,45.1,38.8,39.4,43.7,43.3,37.4,30.5,,42.7,40.9,41.6,48.1,48.9,40.9,35.7,39.3,43.1,36.1
Cash Conversion Cycle,46.5,39.1,89.5,53.5,16.7,14.9,27.4,28.3,27.5,,25.3,25.6,22.0,18.6,22.6,28.9,23.8,18.6,17.5,29.1
Debt to Asset Ratio,0.33,0.36,0.34,0.34,0.29,0.29,0.28,0.27,0.30,,0.28,0.28,0.28,0.29,0.29,0.27,0.26,0.28,0.30,0.30
Debt to Equity Ratio,0.50,0.56,0.51,0.53,0.40,0.42,0.39,0.37,0.42,,0.39,0.39,0.38,0.41,0.41,0.37,0.36,0.38,0.42,0.42
Interest Coverage Ratio,183.8,62.5,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,988.5,"1,545",186.3,225.5,520.9,430.5,445.7,506.2,872.8,,447.9,445.7,393.5,474.3,509.2,506.2,520.6,579.9,900.2,872.8
"Total Receivables, Net","1,456","1,158",584.8,878.9,692.8,"1,004",949.8,"1,019",754.8,,856.8,949.8,"1,038","1,106","1,045","1,019",917.9,"1,080","1,032",754.8
Total Inventory,"2,275","2,019","2,226",699.4,664.0,702.3,712.4,604.6,676.5,,736.0,712.4,716.3,744.3,668.2,604.6,617.9,653.9,666.9,676.5
Total Current Assets,"5,193","5,108","3,330","3,367","2,146","2,452","2,240","2,208","2,369",,"2,149","2,240","2,199","2,355","2,303","2,208","2,100","2,343","2,632","2,369"
"Property/Plant/Equipment, Total - Net","8,004","7,983","8,637","9,056","8,692","9,157","8,729","8,268","8,743",,"8,793","8,729","8,578","8,493","8,332","8,268","8,138","8,028","7,932","8,743"
Total Assets,"13,442","13,594","12,701","13,347","11,863","12,672","12,112","11,659","12,400",,"12,073","12,112","11,943","12,037","11,881","11,659","11,462","11,631","11,899","12,400"
Accounts Payable,"1,374","1,238",766.2,875.5,922.1,996.5,838.4,764.1,640.8,,894.1,838.4,960.8,"1,103",990.4,764.1,793.8,947.9,"1,021",640.8
Accrued Expenses,408.4,796.1,447.8,590.3,578.2,598.8,617.6,516.2,521.1,,731.8,617.6,426.2,526.3,519.7,516.2,383.9,481.6,165.3,521.1
Debt Due,129.6,0.00,700.0,"1,000",0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total Current Liabilities,"3,283","3,308","2,909","3,504","2,430","2,493","2,287","2,134","2,017",,"2,295","2,287","2,204","2,441","2,346","2,134","2,052","2,267","2,368","2,017"
Long Term Debt,,,,,,,,,,,,,,,,,,,,
