,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,6.43,11.3,12.0,12.9,16.0,16.3,15.9,22.9,,,13.7,14.4,13.0,11.6,13.7,17.5,23.2,21.3,26.0,20.3
Earnings per Share,0.76,0.71,0.71,0.36,-1.02,1.49,4.83,2.16,,,0.86,1.18,0.83,0.29,0.15,0.60,1.57,2.87,0.36,2.52
Revenue per Share,6.38,5.61,6.76,4.99,0.82,9.86,21.2,11.1,,,4.03,5.79,4.05,2.24,1.49,3.56,3.84,8.04,1.77,16.6
Dividend per Share,0.30,0.30,0.30,0.10,,0.22,0.17,6.90,,,,,0.17,,,6.90,0.00,,5.20,0.00
Capital Expenditures per Share,0.014,0.026,0.080,0.14,0.15,0.14,0.14,0.17,,,0.048,0.022,0.027,0.027,0.024,0.040,0.080,0.051,0.007,0.006
Book Value per Share,8.48,8.89,9.30,9.36,8.23,9.71,15.4,17.4,,,12.5,13.7,15.4,14.4,14.2,14.6,17.4,13.4,13.7,11.1
Price to Earnings Ratio,7.46,12.4,17.7,34.7,,11.8,2.44,10.6,,,2.54,2.24,2.44,2.99,5.02,7.06,8.81,3.45,4.37,2.39
Price to Book Value Ratio,0.67,0.97,1.26,1.42,1.55,1.65,0.77,0.78,,,1.09,1.04,0.77,0.84,1.03,0.97,0.78,1.41,1.62,1.48
EV to EBITDA,12.1,15.1,19.6,37.8,-39.2,14.5,5.04,13.2,,,4.92,3.57,5.04,6.99,8.97,12.0,13.2,5.74,7.12,3.33
Dividend Payout Ratio,39.6%,42.2%,42.4%,28.0%,,14.7%,3.5%,319.1%,,,,,3.5%,,,369.3%,0.0%,,96.3%,0.0%
Common Shares Outstanding,456.5,456.5,456.5,456.5,456.5,456.5,456.5,456.5,,,456.5,456.5,456.5,456.5,456.5,456.5,456.5,456.5,456.5,456.5
Total Revenue,"2,910","2,560","3,085","2,276",372.6,"4,503","9,677","5,078",,,"1,840","2,643","1,850","1,021",680.2,"1,625","1,752","3,671",809.1,"7,595"
"Cost of Revenue, Total","1,776","1,579","1,883","1,358",226.3,"2,548","5,620","2,859",,,"1,053","1,596","1,104",624.7,345.2,957.4,910.3,"1,575",527.8,"5,423"
Gross Profit,"1,135",980.8,"1,201",918.6,146.2,"1,954","4,058","2,219",,,786.5,"1,047",745.5,396.4,335.1,667.8,841.5,"2,096",281.4,"2,172"
"Selling/General/Administrative Expenses, Total",608.1,536.2,731.2,659.4,647.6,870.1,"1,157","1,177",,,249.3,326.9,274.5,207.5,216.0,240.5,278.0,371.8,266.2,688.4
Operating Income,526.6,444.7,470.0,259.2,-501.4,"1,084","2,901","1,043",,,537.2,720.5,471.0,188.9,119.0,427.3,563.5,"1,724",15.2,"1,484"
Net Income,345.7,324.6,323.0,163.2,-467.7,682.2,"2,206",987.0,,,392.0,538.9,379.9,130.7,69.1,273.5,718.5,"1,309",164.5,"1,152"
EBITDA,605.8,525.7,560.1,324.8,-424.5,"1,174","2,995","1,120",,,567.4,752.1,474.6,208.2,138.5,445.9,562.3,"1,744",32.3,"1,492"
Gross Profit Margin,39.0%,38.3%,38.9%,40.4%,39.3%,43.4%,41.9%,43.7%,,,42.8%,39.6%,40.3%,38.8%,49.3%,41.1%,48.0%,57.1%,34.8%,28.6%
Operating Margin,18.1%,17.4%,15.2%,11.4%,-134.6%,24.1%,30.0%,20.5%,,,29.2%,27.3%,25.5%,18.5%,17.5%,26.3%,32.2%,47.0%,1.9%,19.5%
Net Profit Margin,11.9%,12.7%,10.5%,7.2%,-125.5%,15.2%,22.8%,19.4%,,,21.3%,20.4%,20.5%,12.8%,10.2%,16.8%,41.0%,35.7%,20.3%,15.2%
Return on Assets,2.9%,2.4%,2.0%,0.9%,-2.2%,3.0%,9.5%,4.0%,,,9.7%,13.0%,9.9%,6.0%,4.6%,3.6%,4.8%,9.2%,9.7%,13.4%
Return on Equity,8.9%,8.0%,7.6%,3.8%,-12.4%,15.4%,31.3%,12.4%,,,6.9%,8.6%,5.4%,2.0%,1.1%,4.1%,9.0%,21.4%,2.6%,22.8%
Return on Total Capital,3.7%,2.9%,2.8%,1.2%,-3.0%,5.6%,14.1%,5.8%,,,14.2%,19.4%,14.1%,8.3%,7.4%,5.6%,7.0%,15.2%,14.3%,24.9%
SG&A to Sale,20.9%,20.9%,23.7%,29.0%,173.8%,19.3%,12.0%,23.2%,,,13.6%,12.4%,14.8%,20.3%,31.8%,14.8%,15.9%,10.1%,32.9%,9.1%
Depreciation & Amortisation,79.2,81.1,90.0,65.6,76.9,90.0,93.8,77.8,,,30.2,31.6,3.67,19.3,19.5,18.6,-1.19,19.6,17.1,8.34
Tax Rate,33.4%,24.6%,21.0%,19.5%,19.5%,20.0%,20.0%,20.1%,,,20.9%,20.0%,19.9%,20.4%,18.7%,20.0%,20.1%,20.0%,19.8%,19.9%
Current Ratio,3.49,3.89,2.82,3.00,2.93,1.97,2.88,2.64,,,3.03,3.01,2.88,3.20,2.63,2.77,2.64,2.31,3.02,1.95
Quick Ratio,0.13,0.020,0.11,0.001,0.028,0.001,0.001,0.001,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.097
Days Inventory Outstanding,"1,783","2,205","2,065","3,661","28,314","2,830","1,280","2,566",,,"1,324",995.1,"1,223","1,656","2,023","2,430","2,617","1,996","1,932",822.4
Days Sale Outstanding,2.65,3.60,2.25,0.94,7.68,0.90,0.39,0.64,,,0.32,0.18,0.39,0.47,0.49,0.50,0.64,0.42,0.26,29.8
Days Payable Outstanding,57.9,35.2,24.0,66.6,663.7,51.0,20.4,55.7,,,19.9,16.0,22.1,28.0,30.4,43.9,60.1,54.8,57.9,24.5
Cash Conversion Cycle,"1,749","2,178","2,044","3,562","27,602","2,792","1,257","2,502",,,"1,305",978.6,"1,199","1,631","1,994","2,380","2,552","1,936","1,874",815.7
Debt to Asset Ratio,0.69,0.72,0.75,0.78,0.84,0.81,0.69,0.69,,,0.75,0.71,0.69,0.73,0.72,0.71,0.69,0.76,0.75,0.80
Debt to Equity Ratio,2.26,2.62,3.06,3.63,5.11,4.25,2.28,2.27,,,2.99,2.44,2.28,2.77,2.63,2.49,2.27,3.21,2.97,3.97
Interest Coverage Ratio,7.92,5.32,3.38,1.94,,3.97,12.5,4.71,,,10.6,12.3,8.77,4.42,2.68,5.16,11.0,16.4,0.27,31.0
Cash and Short Term Investments,"1,522","3,079","3,432","2,574","1,336","1,022",923.1,"1,564",,,"1,812",994.9,923.1,"2,630",724.4,672.5,"1,564","1,855","1,147","4,265"
"Total Receivables, Net",21.1,25.3,19.0,5.89,7.84,11.1,10.4,8.87,,,8.51,6.10,10.4,9.40,8.25,7.05,8.87,8.93,5.62,"1,129"
Total Inventory,"9,437","9,635","11,672","15,567","19,546","19,963","19,466","20,743",,,"19,335","18,184","19,466","20,264","20,421","19,947","20,743","20,698","21,340","16,677"
Total Current Assets,"11,256","13,410","16,121","18,660","21,489","21,800","21,174","23,392",,,"21,405","20,128","21,174","23,335","22,162","21,843","23,392","23,066","23,007","22,610"
"Property/Plant/Equipment, Total - Net",438.1,378.5,517.7,551.0,553.1,867.0,811.9,817.4,,,861.7,848.1,811.9,805.4,798.3,803.0,817.4,807.3,232.1,228.7
Total Assets,"12,611","14,679","17,244","19,796","22,942","23,269","23,071","25,953",,,"22,830","21,531","23,071","24,711","23,548","23,261","25,953","25,691","24,911","25,101"
Accounts Payable,174.9,129.8,117.7,377.5,445.6,266.6,363.1,508.8,,,287.8,316.1,363.1,309.5,302.8,425.8,508.8,628.5,631.6,502.9
Accrued Expenses,19.4,79.7,128.3,133.0,118.4,108.3,161.8,199.8,,,71.7,91.1,161.8,158.9,112.9,100.4,199.8,168.1,115.7,227.5
Debt Due,786.0,641.5,"2,535","2,124","2,382","6,578","4,040","4,142",,,"3,431","3,520","4,040","3,865","4,797","3,903","4,142","4,613","2,344","3,400"
Total Current Liabilities,"3,224","3,447","5,720","6,213","7,326","11,066","7,364","8,844",,,"7,058","6,697","7,364","7,300","8,420","7,883","8,844","9,984","7,620","11,591"
Long Term Debt,"5,493","7,165","7,261","9,292","11,827","7,723","8,597","9,071",,,"10,005","8,526","8,597","10,792","8,579","8,651","9,071","9,487","10,939","8,396"
Total Liabilities,"8,740","10,621","12,999","15,524","19,184","18,836","16,032","18,004",,,"17,110","15,273","16,032","18,156","17,062","16,594","18,004","19,583","18,638","20,050"
Common Stock,"1,369","1,369","1,369","1,369","1,369","1,369","1,369","1,369",,,"1,369","1,369","1,369","1,369","1,369","1,369","1,369","1,369","1,369","1,369"
Additional Paid-In Capital,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,,,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2
