,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,6.40,7.43,7.30,5.48,4.62,,,7.25,6.63,6.03,5.55,5.10,4.95,5.40,5.40,5.08,4.07
Earnings per Share,0.10,0.26,0.66,0.25,0.45,0.52,0.46,0.52,,,0.12,0.12,0.11,0.098,0.095,0.16,0.17,0.090,0.069,0.050
Revenue per Share,3.80,3.75,3.85,3.08,4.64,5.09,5.11,5.49,,,1.30,1.36,1.31,1.17,1.24,1.40,1.69,1.26,1.10,1.06
Dividend per Share,0.018,0.036,0.80,0.40,0.20,0.32,0.32,0.33,,,,,0.32,,,,0.33,,,
Capital Expenditures per Share,0.072,0.050,0.23,0.18,0.20,0.22,0.080,0.065,,,0.003,0.009,0.010,0.033,0.007,0.010,0.015,0.025,0.012,0.017
Book Value per Share,0.50,0.74,1.01,1.11,2.28,2.60,2.74,2.93,,,2.51,2.63,2.74,2.84,2.61,2.76,2.93,3.03,2.76,2.81
Price to Earnings Ratio,,,,,12.4,15.8,13.0,10.5,,,13.5,12.0,13.0,11.5,11.1,10.7,10.5,9.32,9.73,8.94
Price to Book Value Ratio,,,,,2.56,3.13,2.13,1.87,,,2.77,2.28,2.13,1.60,1.86,1.73,1.87,1.65,1.69,1.19
EV to EBITDA,,,,0.00,12.2,12.1,8.84,7.38,,,10.9,9.63,8.84,8.90,8.56,7.82,7.38,7.75,8.11,7.54
Dividend Payout Ratio,17.4%,13.8%,122.6%,162.1%,44.7%,61.1%,69.5%,63.5%,,,,,69.5%,,,,63.7%,,,
Common Shares Outstanding,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,,,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0
Total Revenue,"2,089","2,064","2,117","1,693","2,550","2,800","2,808","3,021",,,712.3,748.8,722.3,642.3,680.6,769.0,928.9,692.0,605.6,582.9
