,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,4.35,5.00,12.4,24.1,24.7,15.8,16.8,,,22.7,23.6,21.2,17.9,14.7,11.9,10.9,17.2,21.5,18.9
Earnings per Share,0.14,0.20,0.21,0.29,0.39,0.64,0.55,0.37,,,0.16,0.14,0.14,0.16,0.11,0.001,0.11,0.31,0.26,0.15
Revenue per Share,16.7,25.0,28.6,33.0,32.1,38.7,50.7,64.6,,,12.8,11.8,13.5,14.8,16.2,16.0,17.5,17.2,19.1,17.1
Dividend per Share,0.00,0.00,0.11,0.15,0.20,0.30,0.17,0.20,,,,,0.17,,,,0.20,,,
Capital Expenditures per Share,0.13,0.25,0.49,0.53,0.57,1.10,1.99,2.01,,,0.33,0.45,0.87,0.43,0.59,0.50,0.48,0.45,0.36,0.29
Book Value per Share,0.62,0.82,1.91,2.15,2.40,2.74,3.06,3.26,,,2.79,2.92,3.06,3.21,3.16,3.15,3.26,3.57,3.62,3.77
Price to Earnings Ratio,,,15.9,27.4,35.7,42.0,32.7,27.0,,,38.5,35.9,32.7,31.6,21.3,22.5,26.8,31.7,31.8,23.6
Price to Book Value Ratio,,,1.89,4.62,5.80,8.61,5.59,3.07,,,8.17,7.46,5.59,4.49,4.24,2.73,3.07,5.47,5.20,4.27
EV to EBITDA,0.00,0.00,10.8,10.0,21.4,28.2,21.8,7.72,,,19.6,22.4,21.8,16.3,13.7,10.4,7.72,7.47,11.6,8.51
Dividend Payout Ratio,0.0%,0.0%,52.7%,51.5%,51.3%,46.7%,31.1%,53.5%,,,,,31.1%,,,,53.1%,,,
Common Shares Outstanding,"1,670","1,670","1,670","1,670","1,670","1,670","1,670","1,670",,,"1,670","1,670","1,670","1,670","1,670","1,670","1,670","1,670","1,670","1,670"
Total Revenue,"27,817","41,724","47,716","55,124","53,678","64,591","84,625","107,829",,,"21,457","19,677","22,595","24,752","27,089","26,745","29,243","28,655","31,844","28,485"
