,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,2.32,3.87,3.07,2.38,3.39,4.23,2.57,2.03,,,3.81,3.22,3.01,2.78,2.63,2.21,2.03,1.81,2.05,1.86
Earnings per Share,0.24,0.35,0.34,-0.037,-0.50,0.73,0.31,-0.18,,,-0.19,0.093,0.11,0.14,-0.051,-0.033,-0.24,0.015,0.22,0.062
Revenue per Share,13.7,15.3,11.3,10.0,8.88,10.7,10.6,13.2,,,3.17,2.42,2.26,3.93,2.63,3.76,2.83,2.95,2.81,3.01
Dividend per Share,0.080,0.18,0.18,,,0.20,0.12,,,,,,0.12,,,,,,,
Capital Expenditures per Share,0.37,0.24,0.25,0.075,0.077,0.054,0.066,0.27,,,0.018,0.009,0.011,0.079,0.033,0.066,0.093,0.020,0.026,0.052
Book Value per Share,3.30,3.59,3.69,3.63,3.18,3.91,4.01,3.71,,,3.82,3.90,4.01,4.15,3.97,3.94,3.71,3.72,3.94,4.00
Price to Earnings Ratio,8.13,8.75,7.97,,,5.72,9.51,,,,9.47,9.40,9.51,17.2,8.19,11.3,,,,32.3
Price to Book Value Ratio,0.57,0.87,0.70,0.65,0.48,1.08,0.68,0.47,,,0.89,0.73,0.68,0.60,0.62,0.45,0.47,0.47,0.46,0.46
EV to EBITDA,9.42,7.81,6.05,26.6,73.2,5.99,7.89,119.4,,,11.5,8.69,7.89,11.3,10.2,18.1,119.4,163.3,20.8,27.3
Dividend Payout Ratio,33.3%,51.1%,52.3%,,,27.5%,38.3%,,,,,,38.3%,,,,,,,
Common Shares Outstanding,479.9,479.9,479.9,480.1,480.1,480.1,480.1,480.1,,,480.1,480.1,480.1,480.1,480.1,480.1,480.1,480.1,480.1,480.1
Total Revenue,"6,571","7,320","5,446","4,821","4,261","5,118","5,098","6,316",,,"1,523","1,162","1,087","1,888","1,264","1,806","1,357","1,418","1,348","1,443"
"Cost of Revenue, Total","6,137","6,893","4,986","4,650","4,175","4,477","4,753","6,195",,,"1,546","1,050",988.1,"1,803","1,219","1,777","1,396","1,343","1,232","1,426"
Gross Profit,434.7,427.7,459.3,170.3,86.5,640.6,345.2,120.9,,,-22.3,112.3,99.1,85.2,45.6,29.5,-39.3,75.1,116.3,16.7
"Selling/General/Administrative Expenses, Total",148.2,171.7,171.3,154.7,142.2,214.2,141.0,196.8,,,35.4,28.5,34.4,42.0,52.3,46.0,56.6,41.7,44.4,48.6
Operating Income,286.5,255.9,288.0,15.6,-55.7,426.5,204.1,-76.0,,,-57.6,83.8,64.7,43.2,-6.72,-16.5,-96.0,33.4,71.9,-32.0
Net Income,113.4,169.0,165.1,-17.5,-241.8,349.3,150.5,-86.2,,,-90.6,44.8,54.5,68.4,-24.7,-16.1,-113.8,7.21,104.2,29.6
EBITDA,350.5,335.5,388.0,119.4,24.9,521.4,300.1,23.1,,,-33.8,108.0,89.1,67.5,17.9,8.34,-70.6,58.3,98.7,-5.50
Gross Profit Margin,6.6%,5.8%,8.4%,3.5%,2.0%,12.5%,6.8%,1.9%,,,-1.5%,9.7%,9.1%,4.5%,3.6%,1.6%,-2.9%,5.3%,8.6%,1.2%
Operating Margin,4.4%,3.5%,5.3%,0.3%,-1.3%,8.3%,4.0%,-1.2%,,,-3.8%,7.2%,6.0%,2.3%,-0.5%,-0.9%,-7.1%,2.4%,5.3%,-2.2%
Net Profit Margin,1.7%,2.3%,3.0%,-0.4%,-5.7%,6.8%,3.0%,-1.4%,,,-5.9%,3.9%,5.0%,3.6%,-1.9%,-0.9%,-8.4%,0.5%,7.7%,2.0%
Return on Assets,3.0%,4.4%,4.9%,-0.5%,-6.9%,10.4%,4.0%,-2.2%,,,4.3%,4.0%,4.1%,2.0%,3.7%,2.0%,-2.0%,-3.8%,-0.5%,0.7%
Return on Equity,7.2%,9.8%,9.3%,-1.0%,-15.8%,18.6%,7.8%,-4.8%,,,-4.9%,2.4%,2.8%,3.4%,-1.3%,-0.8%,-6.4%,0.4%,5.5%,1.5%
Return on Total Capital,7.1%,9.8%,9.3%,-1.0%,-15.8%,18.6%,7.8%,-4.7%,,,8.6%,7.7%,7.8%,3.9%,7.5%,4.3%,-4.7%,-8.0%,-0.9%,1.4%
SG&A to Sale,2.3%,2.3%,3.1%,3.2%,3.3%,4.2%,2.8%,3.1%,,,2.3%,2.4%,3.2%,2.2%,4.1%,2.5%,4.2%,2.9%,3.3%,3.4%
Depreciation & Amortisation,64.0,79.6,100.0,103.8,80.6,94.9,96.0,99.1,,,23.9,24.2,24.3,24.3,24.6,24.8,25.3,24.9,26.9,26.5
Tax Rate,32.8%,23.6%,21.4%,3.2%,-2.8%,12.5%,16.7%,12.3%,,,19.5%,27.7%,17.7%,14.6%,8.5%,2.2%,15.5%,66.3%,10.9%,-30.8%
Current Ratio,1.14,1.26,1.34,1.09,1.06,1.27,1.28,1.18,,,1.20,1.29,1.28,1.32,1.26,1.21,1.18,1.26,1.32,1.26
Quick Ratio,0.42,0.46,0.38,0.29,0.45,0.39,0.28,0.55,,,0.58,0.62,0.28,0.39,0.40,0.60,0.55,0.61,0.54,0.34
Days Inventory Outstanding,79.9,68.5,82.0,101.2,100.7,87.8,117.0,85.5,,,91.3,78.2,104.6,105.4,106.6,94.6,76.9,68.2,67.7,86.0
Days Sale Outstanding,59.5,42.8,35.2,49.3,55.9,51.0,37.8,73.0,,,73.7,67.4,37.8,43.2,52.6,89.5,73.0,69.9,54.8,38.5
Days Payable Outstanding,3.92,8.53,13.0,13.9,21.5,31.6,51.4,27.2,,,21.8,14.9,38.8,31.1,14.1,11.3,6.98,9.06,15.5,15.3
Cash Conversion Cycle,125.4,102.6,122.2,125.0,137.1,91.9,101.4,129.5,,,131.3,133.2,97.8,135.3,137.4,157.2,148.7,133.7,108.3,127.2
Debt to Asset Ratio,0.62,0.52,0.44,0.57,0.49,0.50,0.50,0.57,,,0.50,0.46,0.50,0.47,0.51,0.57,0.57,0.51,0.48,0.48
Debt to Equity Ratio,1.62,1.09,0.79,1.31,0.95,0.99,0.99,1.31,,,1.01,0.84,0.99,0.89,1.04,1.33,1.31,1.06,0.92,0.94
Interest Coverage Ratio,4.35,3.73,8.00,0.39,,16.7,6.77,,,,,10.00,9.52,5.09,,,,2.68,8.22,
Cash and Short Term Investments,108.4,46.8,51.8,121.0,33.3,278.4,147.3,231.3,,,61.5,42.5,147.3,219.7,79.0,37.1,231.3,196.9,108.6,211.4
"Total Receivables, Net","1,072",857.5,525.8,651.0,653.2,715.6,528.6,"1,262",,,"1,075",960.2,528.6,670.7,779.1,"1,483","1,262","1,119",889.6,586.3
Total Inventory,"1,449","1,139","1,102","1,476",827.7,"1,325","1,723","1,179",,,"1,072","1,002","1,723","1,386","1,570","1,431","1,179",963.8,"1,168","1,375"
