,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,16.4,22.4,19.3,21.4,21.4,23.2,24.5,25.4,,,22.8,24.6,24.5,22.8,23.5,24.3,24.2,24.7,26.3,26.4
Earnings per Share,1.41,1.62,1.82,1.91,1.93,2.01,2.12,2.31,,,0.52,0.56,0.54,0.51,0.55,0.63,0.62,0.56,0.59,0.64
Revenue per Share,4.21,3.51,4.40,4.80,4.93,5.34,5.80,6.17,,,1.43,1.46,1.52,1.49,1.53,1.56,1.59,1.57,1.64,1.70
Dividend per Share,0.98,0.98,0.98,1.30,1.35,1.40,1.48,1.61,,,,,1.48,,,,1.61,,,
Capital Expenditures per Share,0.097,0.057,0.053,0.16,0.18,0.077,0.045,0.15,,,0.009,0.006,0.017,0.021,0.033,0.092,0.008,0.020,0.029,0.016
Book Value per Share,8.72,9.94,10.8,11.7,12.4,13.0,13.7,14.6,,,12.6,13.2,13.7,14.2,13.3,13.9,14.6,15.1,14.1,14.7
Price to Earnings Ratio,8.81,15.1,9.47,12.4,10.6,11.5,10.7,10.5,,,10.4,11.5,10.7,10.6,11.0,10.9,10.5,10.0,10.7,10.6
Price to Book Value Ratio,1.41,2.42,1.53,1.70,1.50,1.59,1.58,1.57,,,1.75,1.80,1.58,1.50,1.79,1.66,1.57,1.61,1.90,1.73
EV to EBITDA,35.8,33.1,37.5,35.3,31.1,36.3,38.6,38.3,,,35.8,39.0,38.6,37.3,41.3,37.9,38.3,38.1,38.2,39.2
Dividend Payout Ratio,69.4%,60.5%,53.8%,68.1%,69.9%,69.7%,69.8%,69.7%,,,,,69.8%,,,,69.7%,,,
Common Shares Outstanding,234.6,351.9,351.9,351.9,351.9,351.9,351.9,351.9,,,351.9,351.9,351.9,351.9,351.9,351.9,351.9,351.9,351.9,351.9
Total Revenue,929.9,"1,156","1,396","1,423","1,466","1,500","1,577","1,712",,,405.3,405.1,380.2,399.9,421.0,453.2,438.2,433.9,481.3,479.4
"Cost of Revenue, Total",,,,,,,,,,,,,,,,,,,,
Gross Profit,675.6,863.1,"1,082","1,112","1,137","1,191","1,278","1,409",,,329.0,333.0,301.6,327.0,344.4,379.4,358.0,356.4,396.9,394.9
"Selling/General/Administrative Expenses, Total",486.8,573.6,655.1,649.8,694.4,737.7,777.4,858.9,,,204.9,197.7,179.3,210.8,220.8,217.7,209.6,225.4,255.7,232.0
Operating Income,486.9,647.1,804.0,841.2,853.7,867.8,920.2,"1,001",,,228.4,239.7,235.8,220.8,236.9,273.9,269.3,241.0,256.7,278.5
Net Income,331.5,495.1,640.9,671.0,680.6,706.7,745.0,811.3,,,184.6,195.6,189.3,179.7,192.6,221.9,217.1,195.5,207.9,225.4
EBITDA,501.7,663.4,822.9,862.9,878.0,892.0,943.8,"1,024",,,232.6,245.7,241.5,228.4,240.6,279.8,275.5,248.6,261.7,285.2
Gross Profit Margin,68.3%,69.9%,69.9%,65.8%,65.5%,63.4%,62.6%,64.9%,,,65.4%,64.8%,56.4%,62.4%,63.9%,69.0%,64.0%,64.4%,68.8%,66.0%
Operating Margin,49.2%,52.4%,51.9%,49.8%,49.2%,46.2%,45.1%,46.1%,,,45.4%,46.7%,44.1%,42.2%,43.9%,49.8%,48.2%,43.5%,44.5%,46.6%
Net Profit Margin,35.7%,42.8%,45.9%,47.1%,46.4%,47.1%,47.2%,47.4%,,,45.5%,48.3%,49.8%,44.9%,45.7%,49.0%,49.5%,45.1%,43.2%,47.0%
Return on Assets,2.0%,2.4%,2.5%,2.3%,2.3%,2.3%,2.3%,2.3%,,,2.2%,2.2%,2.2%,2.2%,2.2%,2.2%,2.3%,2.2%,2.2%,2.1%
