,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,24.7,25.3,18.2,20.6,14.4,20.7,21.7,18.2,,,18.9,23.1,21.8,22.9,23.8,20.8,19.7,19.2,18.3,16.6
Earnings per Share,0.96,1.89,2.27,1.53,1.51,1.43,1.91,2.15,,,0.32,0.53,0.66,0.55,0.43,0.57,0.60,0.68,0.40,0.53
Revenue per Share,15.4,22.5,21.6,19.2,20.7,19.7,20.4,19.5,,,4.63,5.35,5.46,4.73,4.58,4.98,5.22,5.26,4.59,4.77
Dividend per Share,0.36,0.58,0.75,0.60,0.60,0.60,0.90,1.35,,,,0.25,0.65,,0.35,0.00,1.00,,0.35,0.00
Capital Expenditures per Share,4.82,2.45,3.22,1.46,0.90,1.20,0.52,0.99,,,0.13,0.14,0.16,0.22,0.13,0.27,0.36,0.14,0.19,0.22
Book Value per Share,9.84,9.76,11.5,12.3,13.0,13.8,15.1,16.2,,,14.3,14.4,15.1,15.6,15.4,15.7,16.2,16.9,16.3,16.5
Price to Earnings Ratio,20.7,15.9,7.21,12.4,9.81,11.1,10.8,8.92,,,10.6,14.4,10.8,10.9,11.0,7.98,8.91,7.79,7.36,7.14
Price to Book Value Ratio,2.26,3.07,1.40,1.58,1.11,1.20,1.37,1.10,,,1.22,1.51,1.37,1.38,1.43,0.98,1.10,1.07,1.03,0.95
EV to EBITDA,8.89,7.67,4.48,5.37,4.24,4.12,4.65,3.87,,,4.15,5.07,4.65,5.10,5.37,4.57,3.87,3.72,3.77,2.99
Dividend Payout Ratio,37.5%,30.5%,33.0%,39.3%,39.8%,42.0%,47.2%,62.7%,,,,15.1%,34.1%,,16.2%,0.0%,46.4%,,15.5%,0.0%
Common Shares Outstanding,424.9,424.9,424.9,425.2,425.2,425.2,425.2,425.2,,,421.9,425.2,425.2,426.9,425.2,425.2,425.2,425.2,425.2,425.2
Total Revenue,"6,560","9,566","9,194","8,177","8,807","8,393","8,657","8,300",,,"1,953","2,273","2,323","2,017","1,946","2,116","2,219","2,235","1,951","2,027"
"Cost of Revenue, Total","5,448","7,926","7,404","6,667","7,383","7,062","7,262","6,684",,,"1,651","1,871","1,981","1,629","1,593","1,698","1,764","1,769","1,592","1,604"
