,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,15.6,19.7,24.8,37.4,45.8,56.3,,,37.8,41.5,42.8,38.1,47.3,52.9,49.4,56.1,61.5,64.0
Earnings per Share,0.069,0.16,0.17,0.33,0.39,0.69,1.18,1.75,,,0.27,0.31,0.35,0.39,0.43,0.46,0.47,0.47,0.48,0.51
Revenue per Share,0.28,0.52,0.63,0.75,1.10,1.95,3.21,4.39,,,0.76,0.84,0.93,1.00,1.07,1.14,1.18,1.19,1.28,1.37
Dividend per Share,0.00,0.22,0.14,0.13,0.20,0.10,0.18,0.26,,,,,0.18,,,,0.26,,,
Capital Expenditures per Share,0.007,0.025,0.14,0.025,0.096,0.16,0.19,0.22,,,0.046,0.046,0.058,0.053,0.058,0.068,0.043,0.055,0.078,0.091
Book Value per Share,0.60,0.75,0.91,2.41,2.67,3.16,4.22,5.80,,,3.58,3.89,4.22,4.61,4.87,5.32,5.80,6.28,6.50,7.01
Price to Earnings Ratio,,,,59.9,52.6,45.7,36.7,26.9,,,36.1,36.5,36.7,23.7,28.2,30.2,26.9,29.4,29.3,31.2
Price to Book Value Ratio,,,,7.56,7.28,9.82,9.13,7.58,,,9.85,9.97,9.13,7.15,9.91,9.20,7.58,9.00,8.77,9.10
EV to EBITDA,,,0.00,55.0,46.2,39.0,34.7,26.7,,,36.3,35.6,34.7,27.8,27.1,30.5,26.7,26.5,30.2,29.9
Dividend Payout Ratio,0.0%,138.2%,82.5%,38.9%,51.3%,14.5%,15.3%,14.9%,,,,,15.3%,,,,14.9%,,,
Common Shares Outstanding,"2,120","2,120","2,120","2,120","2,120","2,120","2,120","2,120",,,"2,120","2,120","2,120","2,120","2,120","2,120","2,120","2,120","2,120","2,120"
Total Revenue,591.7,969.5,"1,179","1,576","2,307","3,812","6,118","8,730",,,"1,419","1,610","1,795","1,962","2,121","2,258","2,390","2,410","2,519","2,780"
"Cost of Revenue, Total",413.7,573.1,723.2,882.6,"1,269","1,985","2,989","4,100",,,705.4,800.6,861.2,916.3,985.4,"1,060","1,139","1,154","1,232","1,428"
Gross Profit,552.4,956.2,"1,170","1,567","2,290","3,796","6,084","8,654",,,"1,408","1,604","1,784","1,947","2,105","2,230","2,373","2,395","2,489","2,764"
"Selling/General/Administrative Expenses, Total",452.2,573.1,723.2,882.6,"1,269","1,985","2,989","4,100",,,705.4,800.6,861.2,916.3,985.4,"1,060","1,139","1,154","1,232","1,428"
Operating Income,139.6,400.7,440.3,679.9,"1,032","1,812","3,106","4,627",,,707.8,804.9,925.7,"1,042","1,135","1,198","1,252","1,256","1,287","1,352"
Net Income,106.9,308.4,351.4,544.1,825.0,"1,464","2,501","3,713",,,571.2,650.4,742.8,833.6,912.2,965.3,"1,002","1,005","1,021","1,080"
EBITDA,150.8,419.1,463.8,708.6,"1,079","1,902","3,256","4,839",,,744.2,845.4,966.4,"1,089","1,187","1,255","1,304","1,320","1,356","1,425"
Gross Profit Margin,93.4%,87.1%,87.6%,98.5%,98.2%,91.6%,89.5%,92.9%,,,87.1%,90.2%,90.9%,91.9%,92.4%,92.2%,94.8%,94.8%,91.9%,95.4%
Operating Margin,23.6%,36.5%,33.0%,42.8%,44.3%,43.7%,45.7%,49.7%,,,43.8%,45.2%,47.2%,49.2%,49.8%,49.5%,50.0%,49.7%,47.5%,46.7%
Net Profit Margin,18.1%,31.8%,29.8%,34.5%,35.8%,38.4%,40.9%,42.5%,,,40.3%,40.4%,41.4%,42.5%,43.0%,42.7%,41.9%,41.7%,40.5%,38.9%
Return on Assets,3.9%,7.0%,6.5%,7.4%,7.5%,7.8%,8.1%,8.6%,,,7.0%,7.1%,7.1%,7.4%,7.7%,7.8%,7.8%,7.7%,7.4%,7.1%
Return on Equity,8.5%,19.5%,18.1%,10.7%,14.6%,21.9%,28.0%,30.2%,,,7.5%,7.9%,8.3%,8.5%,8.8%,8.6%,8.1%,7.6%,7.4%,7.3%
Return on Total Capital,3.5%,10.0%,13.7%,9.9%,9.1%,13.0%,9.8%,10.1%,,,10.7%,9.3%,9.8%,9.2%,10.2%,10.0%,10.1%,10.5%,10.6%,9.4%
SG&A to Sale,76.4%,52.2%,54.2%,55.5%,54.4%,47.9%,44.0%,44.0%,,,43.6%,45.0%,43.9%,43.3%,43.2%,43.8%,45.5%,45.7%,45.5%,49.3%
Depreciation & Amortisation,11.2,18.4,23.5,28.7,47.4,89.6,149.6,212.7,,,36.3,40.6,40.7,47.2,52.2,57.4,55.9,62.8,67.2,71.5
Tax Rate,23.4%,23.0%,20.2%,20.0%,20.0%,19.2%,19.5%,19.7%,,,19.3%,19.2%,19.8%,20.0%,19.6%,19.4%,20.0%,20.0%,20.7%,20.1%
Current Ratio,3.69,2.74,1.64,2.55,3.10,1.80,3.15,3.86,,,2.55,3.49,3.15,4.38,3.49,3.99,3.86,3.40,2.97,3.69
Quick Ratio,3.66,2.68,1.61,2.17,3.05,1.75,3.04,3.78,,,2.50,3.40,3.04,4.28,3.39,3.92,3.78,3.32,2.90,3.62
Days Inventory Outstanding,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Days Sale Outstanding,"2,407","1,536","1,511","1,639","1,927","2,019","1,852","1,826",,,"1,896","1,864","1,852","1,796","1,800","1,804","1,826","1,843","1,899","1,925"
