,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,7.85,13.9,11.1,9.83,13.8,17.0,15.5,8.65,,,16.3,16.8,16.6,15.2,14.8,14.0,9.95,6.15,5.29,4.44
Earnings per Share,0.095,0.49,0.51,0.38,0.37,1.05,0.74,0.47,,,0.040,0.24,0.16,0.16,0.14,0.090,0.074,0.088,0.12,0.030
Revenue per Share,9.04,12.0,15.0,14.1,13.3,14.3,16.4,19.9,,,3.82,4.14,4.26,5.05,4.91,5.24,4.74,5.10,4.77,4.81
Dividend per Share,0.075,0.40,0.40,0.33,0.33,0.75,0.60,0.035,,,,,0.60,,,,0.035,,,
Capital Expenditures per Share,0.23,0.36,0.30,0.19,0.22,0.66,0.54,0.79,,,0.16,0.12,0.12,0.23,0.25,0.13,0.18,0.22,0.086,0.030
Book Value per Share,1.96,2.41,2.51,2.49,2.53,3.25,3.24,3.11,,,2.84,3.08,3.24,3.40,2.94,3.03,3.11,3.19,3.28,3.31
Price to Earnings Ratio,54.7,26.7,22.0,25.0,25.7,17.3,23.2,14.5,,,21.7,19.7,23.4,25.1,20.8,23.7,14.5,14.1,13.6,12.9
Price to Book Value Ratio,2.60,5.32,4.07,3.37,3.91,4.67,4.60,2.04,,,5.50,5.33,4.60,4.26,4.96,4.32,2.04,1.78,1.48,1.20
EV to EBITDA,15.2,17.7,17.1,19.8,17.3,13.6,19.2,23.0,,,16.4,17.3,19.2,21.0,19.9,22.5,23.0,15.8,14.5,14.3
Dividend Payout Ratio,78.9%,81.6%,78.7%,84.6%,88.3%,71.6%,81.5%,7.5%,,,,,82.0%,,,,7.5%,,,
Common Shares Outstanding,850.0,857.3,870.8,870.8,870.8,870.8,870.8,870.8,,,870.8,870.8,870.8,870.8,870.8,870.8,870.8,870.8,870.8,870.8
Total Revenue,"7,685","10,315","13,055","12,251","11,569","12,465","14,320","17,370",,,"3,327","3,606","3,712","4,398","4,277","4,565","4,130","4,439","4,156","4,184"
"Cost of Revenue, Total","7,090","9,398","11,983","11,382","10,736","10,881","13,036","16,326",,,"3,176","3,232","3,401","4,100","4,029","4,303","3,894","4,214","3,860","3,990"
Gross Profit,594.4,916.7,"1,072",868.6,833.2,"1,584","1,284","1,044",,,150.5,374.0,311.0,297.9,248.2,262.0,235.6,225.4,295.7,193.8
"Selling/General/Administrative Expenses, Total",289.5,381.4,464.4,416.0,436.3,456.8,487.2,533.5,,,107.4,120.2,127.2,125.6,129.8,137.2,140.9,126.3,146.0,139.5
Operating Income,305.0,535.3,607.5,452.6,396.9,"1,127",796.7,510.1,,,43.1,253.8,183.8,172.3,118.4,124.7,94.7,99.1,149.7,54.3
Net Income,80.8,421.0,440.3,334.4,320.6,911.5,641.0,405.9,,,36.6,206.8,143.1,141.9,121.2,78.8,64.0,76.4,106.4,26.6
EBITDA,398.5,629.0,721.4,587.9,545.1,"1,288",954.3,682.3,,,82.5,295.0,221.5,215.2,163.1,169.8,138.6,142.3,196.9,107.1
Gross Profit Margin,7.7%,8.9%,8.2%,7.1%,7.2%,12.7%,9.0%,6.0%,,,4.5%,10.4%,8.4%,6.8%,5.8%,5.7%,5.7%,5.1%,7.1%,4.6%
Operating Margin,4.0%,5.2%,4.7%,3.7%,3.4%,9.0%,5.6%,2.9%,,,1.3%,7.0%,5.0%,3.9%,2.8%,2.7%,2.3%,2.2%,3.6%,1.3%
Net Profit Margin,1.1%,4.1%,3.4%,2.7%,2.8%,7.3%,4.5%,2.3%,,,1.1%,5.7%,3.9%,3.2%,2.8%,1.7%,1.6%,1.7%,2.6%,0.6%
Return on Assets,2.4%,9.6%,7.9%,6.0%,6.5%,17.0%,9.8%,5.5%,,,9.8%,10.5%,9.2%,7.1%,7.7%,5.9%,5.0%,4.3%,4.0%,3.3%
Return on Equity,4.8%,20.4%,20.2%,15.4%,14.5%,32.2%,22.7%,15.0%,,,1.5%,7.7%,5.1%,4.8%,4.7%,3.0%,2.4%,2.7%,3.7%,0.9%
Return on Total Capital,4.8%,20.3%,20.1%,15.4%,14.5%,32.2%,22.7%,11.0%,,,25.9%,26.2%,22.7%,17.8%,17.2%,13.3%,11.0%,9.0%,8.5%,7.0%
SG&A to Sale,3.8%,3.7%,3.6%,3.4%,3.8%,3.7%,3.4%,3.1%,,,3.2%,3.3%,3.4%,2.9%,3.0%,3.0%,3.4%,2.8%,3.5%,3.3%
Depreciation & Amortisation,93.5,93.7,113.9,135.4,148.3,160.6,157.5,172.2,,,39.4,41.2,37.7,42.8,44.8,45.0,43.9,43.2,47.2,52.8
Tax Rate,51.2%,22.9%,20.3%,20.2%,20.7%,19.8%,19.5%,11.3%,,,17.9%,18.1%,20.6%,16.1%,-15.4%,26.3%,16.1%,6.7%,18.8%,25.0%
Current Ratio,1.24,1.21,1.17,1.20,1.25,1.25,1.11,1.21,,,1.06,1.10,1.11,1.10,1.20,1.18,1.21,1.18,1.20,1.20
Quick Ratio,0.58,0.64,0.65,0.67,0.74,0.61,0.59,0.68,,,0.61,0.58,0.59,0.60,0.68,0.67,0.68,0.73,0.71,0.67
Days Inventory Outstanding,55.9,53.9,50.7,49.0,36.0,45.5,54.4,43.0,,,49.4,52.4,54.8,54.8,53.7,51.5,46.2,39.9,41.3,46.9
Days Sale Outstanding,53.6,69.9,68.4,61.1,56.0,57.3,63.8,56.9,,,67.6,64.5,63.8,70.0,69.2,69.0,56.9,64.0,64.0,63.5
Days Payable Outstanding,10.2,9.32,8.64,8.38,5.00,3.60,4.01,3.90,,,7.32,5.98,5.08,6.19,6.80,7.42,6.01,1.78,0.00,0.00
Cash Conversion Cycle,92.4,100.2,102.1,110.4,92.4,96.8,105.9,94.2,,,110.1,112.5,112.1,112.7,114.6,110.0,104.7,100.3,105.5,111.3
Debt to Asset Ratio,0.54,0.60,0.63,0.59,0.52,0.53,0.60,0.65,,,0.62,0.61,0.60,0.62,0.68,0.69,0.65,0.65,0.65,0.65
Debt to Equity Ratio,1.18,1.50,1.74,1.42,1.09,1.15,1.50,1.85,,,1.64,1.57,1.50,1.64,2.15,2.20,1.85,1.89,1.87,1.89
Interest Coverage Ratio,6.25,6.64,6.11,5.71,6.67,23.3,12.4,4.97,,,2.58,14.7,10.8,10.0,4.39,4.33,3.19,3.45,5.12,1.74
Cash and Short Term Investments,77.2,206.1,192.3,262.2,368.4,174.3,170.5,232.8,,,156.1,257.0,170.5,220.8,134.4,167.5,232.8,165.0,158.6,171.0
"Total Receivables, Net","1,128","1,977","2,448","2,050","1,775","1,955","2,501","2,710",,,"2,465","2,409","2,501","2,884","3,034","3,203","2,710","3,053","3,030","2,942"
Total Inventory,"1,221","1,554","1,777","1,282",835.1,"1,876","2,009","1,837",,,"1,633","1,906","2,009","2,168","2,175","2,296","1,837","1,754","1,928","2,170"
Total Current Assets,"2,427","3,740","4,417","3,659","2,978","4,006","4,681","4,780",,,"4,254","4,572","4,681","5,273","5,343","5,667","4,780","4,972","5,128","5,286"
"Property/Plant/Equipment, Total - Net","1,156","1,388","1,523","1,513","1,557","1,987","2,297","2,833",,,"2,177","2,225","2,297","2,454","2,630","2,703","2,833","2,968","2,971","2,952"
Total Assets,"3,626","5,168","5,979","5,245","4,620","6,079","7,065","7,706",,,"6,519","6,884","7,065","7,814","8,062","8,462","7,706","8,030","8,201","8,339"
Accounts Payable,258.3,221.8,345.3,177.4,116.9,97.7,188.7,160.4,,,229.9,174.1,188.7,283.0,266.6,377.3,160.4,,,
Accrued Expenses,2.27,5.41,5.46,4.19,2.91,2.09,2.50,11.7,,,,,2.50,,,,11.7,,,
Debt Due,"1,513","2,593","3,232","2,741","2,125","2,846","3,717","3,570",,,"3,562","3,795","3,717","4,293","4,032","4,223","3,570","3,740","3,852","4,012"
Total Current Liabilities,"1,951","3,091","3,772","3,048","2,384","3,213","4,206","3,962",,,"4,013","4,170","4,206","4,813","4,466","4,784","3,962","4,208","4,289","4,398"
Long Term Debt,2.92,6.10,8.74,8.64,5.60,2.29,0.76,995.1,,,0.87,0.82,0.76,,994.4,994.7,995.1,995.4,995.8,996.1
Total Liabilities,"1,960","3,105","3,795","3,076","2,413","3,246","4,244","5,001",,,"4,048","4,206","4,244","4,851","5,501","5,821","5,001","5,249","5,343","5,454"
Common Stock,425.0,428.6,435.4,435.4,435.4,435.4,435.4,435.4,,,435.4,435.4,435.4,435.4,435.4,435.4,435.4,435.4,870.8,870.8
Additional Paid-In Capital,402.7,411.7,427.3,427.3,427.3,427.3,427.3,427.3,,,427.3,427.3,427.3,427.3,427.3,427.3,427.3,427.3,427.3,427.3
