,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,15.3,13.6,11.0,7.80,10.3,14.7,11.9,9.28,,,14.6,14.3,14.9,12.8,10.7,9.30,9.28,9.80,9.15,8.65
Earnings per Share,2.25,0.48,-0.25,-0.62,0.009,0.30,1.11,0.045,,,0.32,0.23,0.31,0.023,-0.025,-0.006,0.054,0.026,0.081,-0.032
Revenue per Share,16.3,12.9,13.5,16.1,15.5,17.3,19.3,19.5,,,4.63,4.80,4.69,4.67,4.77,5.06,4.96,4.32,4.38,4.22
Dividend per Share,0.70,0.15,,,0.005,0.20,0.66,0.030,,,0.14,0.12,0.30,,,,0.030,,,
Capital Expenditures per Share,2.79,1.84,3.63,1.29,0.81,0.58,0.42,2.35,,,0.073,0.062,0.14,0.055,1.77,0.11,0.42,0.11,0.21,0.030
Book Value per Share,8.53,8.91,8.51,7.88,7.95,8.24,8.79,8.54,,,8.51,8.60,8.79,8.81,8.49,8.48,8.54,8.56,8.59,8.49
Price to Earnings Ratio,7.10,32.2,,,606.0,45.5,12.5,174.4,,,14.5,12.1,12.5,12.3,18.8,28.0,174.4,197.3,57.0,57.5
Price to Book Value Ratio,1.83,1.54,1.17,1.00,0.80,1.70,1.60,0.91,,,1.65,1.40,1.60,1.17,1.18,0.96,0.91,1.07,0.98,0.97
EV to EBITDA,7.03,24.3,30.1,572.6,13.1,18.0,11.3,18.4,,,12.5,11.7,11.3,13.2,14.2,16.7,18.4,18.2,18.5,16.3
Dividend Payout Ratio,31.1%,31.5%,,,52.7%,65.9%,59.5%,66.6%,,,15.2%,11.3%,27.0%,,,,66.6%,,,
Common Shares Outstanding,399.4,399.4,399.4,399.4,399.4,399.4,399.4,399.4,,,399.4,399.4,399.4,399.4,399.4,399.4,399.4,399.4,399.4,399.4
Total Revenue,"6,509","5,149","5,404","6,418","6,204","6,911","7,696","7,770",,,"1,850","1,915","1,875","1,864","1,905","2,020","1,981","1,724","1,748","1,685"
"Cost of Revenue, Total","5,325","4,734","5,098","6,296","5,706","6,317","6,837","7,314",,,"1,621","1,723","1,649","1,797","1,757","1,936","1,824","1,616","1,636","1,586"
Gross Profit,"1,183",415.3,306.1,122.4,498.7,593.9,858.6,455.7,,,228.9,192.0,226.1,66.5,148.1,84.6,156.6,107.7,112.2,98.7
"Selling/General/Administrative Expenses, Total",326.5,313.4,355.7,420.7,446.2,499.9,507.9,494.5,,,130.5,118.4,131.3,120.1,127.9,118.5,128.0,115.1,127.8,110.8
Operating Income,891.6,156.7,-21.4,-260.1,86.3,132.7,410.7,-10.6,,,122.2,84.7,107.0,-45.9,28.3,-27.6,34.6,-2.88,-5.79,-4.67
Net Income,878.6,190.0,-98.0,-247.9,3.79,121.3,443.4,18.0,,,126.0,92.0,124.1,9.12,-10.1,-2.59,21.6,10.4,32.3,-12.8
EBITDA,"1,142",380.6,232.5,50.4,445.1,517.2,794.4,376.5,,,217.4,181.4,204.3,50.5,124.4,69.6,131.9,93.2,93.4,101.0
Gross Profit Margin,18.2%,8.1%,5.7%,1.9%,8.0%,8.6%,11.2%,5.9%,,,12.4%,10.0%,12.1%,3.6%,7.8%,4.2%,7.9%,6.2%,6.4%,5.9%
Operating Margin,13.7%,3.0%,-0.4%,-4.1%,1.4%,1.9%,5.3%,-0.1%,,,6.6%,4.4%,5.7%,-2.5%,1.5%,-1.4%,1.7%,-0.2%,-0.3%,-0.3%
Net Profit Margin,13.5%,3.7%,-1.8%,-3.9%,0.1%,1.8%,5.8%,0.2%,,,6.8%,4.8%,6.6%,0.5%,-0.5%,-0.1%,1.1%,0.6%,1.8%,-0.8%
Return on Assets,15.3%,3.1%,-1.4%,-3.1%,0.0%,1.4%,5.2%,0.2%,,,4.2%,5.0%,5.2%,4.1%,2.4%,1.3%,0.2%,0.2%,0.7%,0.6%
Return on Equity,25.8%,5.3%,-2.9%,-7.9%,0.1%,3.7%,12.6%,0.5%,,,3.7%,2.7%,3.5%,0.3%,-0.3%,-0.1%,0.6%,0.3%,0.9%,-0.4%
Return on Total Capital,25.7%,5.0%,-1.8%,-4.7%,0.1%,2.3%,8.9%,0.4%,,,7.2%,8.4%,8.9%,7.2%,4.7%,2.7%,0.4%,0.4%,1.2%,1.0%
SG&A to Sale,5.0%,6.1%,6.6%,6.6%,7.2%,7.2%,6.6%,6.4%,,,7.1%,6.2%,7.0%,6.4%,6.7%,5.9%,6.5%,6.7%,7.3%,6.6%
Depreciation & Amortisation,250.8,223.9,253.9,310.4,358.8,384.5,383.7,387.1,,,95.2,96.7,97.3,96.4,96.2,97.2,97.3,96.1,99.2,105.7
Tax Rate,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Current Ratio,0.63,0.70,0.84,0.71,0.67,0.76,0.76,0.57,,,0.76,0.74,0.76,0.75,0.60,0.60,0.57,0.53,0.64,0.63
Quick Ratio,0.29,0.31,0.38,0.32,0.31,0.34,0.30,0.24,,,0.32,0.31,0.30,0.31,0.24,0.24,0.24,0.21,0.23,0.23
Days Inventory Outstanding,55.6,66.6,64.9,60.3,69.5,68.0,77.7,78.3,,,76.6,74.6,78.3,84.0,81.8,80.9,78.0,74.2,72.8,77.8
Days Sale Outstanding,41.4,50.7,53.4,53.6,54.1,56.0,49.0,51.9,,,53.4,48.7,49.0,53.6,50.0,52.6,51.9,42.8,40.0,42.2
Days Payable Outstanding,67.1,77.6,74.9,71.0,83.0,76.3,78.4,82.2,,,81.6,77.7,79.9,83.1,81.5,87.4,88.1,78.5,73.0,76.6
