,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,2.77,4.50,4.08,4.00,4.07,3.94,3.76,2.59,,,3.92,4.17,4.11,3.89,3.89,3.60,3.27,2.96,2.47,1.93
Earnings per Share,0.24,0.28,0.51,0.39,0.26,0.36,0.35,0.21,,,0.080,0.090,0.092,0.11,0.053,0.030,0.013,0.060,0.030,0.040
Revenue per Share,0.94,0.96,1.43,1.23,0.99,1.14,1.17,1.03,,,0.25,0.30,0.32,0.33,0.26,0.25,0.20,0.24,0.15,0.26
Dividend per Share,0.20,0.24,0.40,0.32,0.24,0.30,0.30,0.20,,,,0.10,0.20,0.00,,0.10,0.10,,,0.060
Capital Expenditures per Share,0.031,0.021,0.030,0.027,0.019,0.021,0.015,0.011,,,0.004,0.002,0.004,0.004,0.001,0.001,0.004,0.002,0.001,0.005
Book Value per Share,1.89,1.98,2.11,2.18,2.11,2.26,2.29,2.20,,,2.22,2.20,2.29,2.40,2.26,2.19,2.20,2.26,2.07,2.16
Price to Earnings Ratio,10.4,13.0,7.06,11.2,13.1,10.5,11.4,16.2,,,9.53,10.9,11.4,10.2,11.0,11.9,15.9,16.5,17.4,12.1
Price to Book Value Ratio,1.29,2.03,1.61,1.77,1.61,1.56,1.63,1.40,,,1.73,1.81,1.63,1.54,1.70,1.40,1.40,1.23,1.00,0.80
EV to EBITDA,3.62,6.08,3.74,7.16,8.05,6.46,6.83,5.07,,,7.58,8.55,6.83,7.62,6.48,6.81,5.07,6.67,5.81,2.81
Dividend Payout Ratio,83.3%,86.2%,78.9%,81.4%,90.6%,83.6%,85.2%,97.0%,,,,27.5%,56.8%,0.0%,,34.7%,47.7%,,,41.9%
Common Shares Outstanding,"2,106","2,106","2,106","2,106","2,106","2,106","2,106","2,106",,,"2,106","2,106","2,106","2,106","2,106","2,106","2,106","2,106","2,225","2,106"
Total Revenue,"1,969","2,029","3,016","2,584","2,091","2,410","2,471","2,164",,,530.9,643.4,682.4,702.1,539.8,505.7,416.5,501.7,337.6,549.5
"Cost of Revenue, Total",107.0,108.8,144.9,129.6,121.7,151.4,154.5,170.9,,,29.9,35.4,53.0,58.1,42.9,42.1,27.7,31.7,30.6,33.4
Gross Profit,"1,132","1,171","1,834","1,511","1,167","1,435","1,447","1,177",,,296.0,394.6,400.0,409.1,304.3,290.8,172.6,275.8,87.3,322.1
"Selling/General/Administrative Expenses, Total",270.4,284.9,337.2,331.4,323.9,151.4,154.5,170.9,,,29.9,35.4,53.0,58.1,42.9,42.1,27.7,31.7,30.6,33.4
Operating Income,754.5,761.0,"1,340","1,039",702.2,"1,228","1,239",951.6,,,284.7,314.0,332.7,337.4,247.9,235.0,131.3,218.0,60.6,279.2
Net Income,505.3,586.4,"1,067",827.9,557.7,755.6,741.6,434.2,,,168.3,184.7,196.2,228.2,111.6,68.3,26.2,119.0,66.7,90.0
EBITDA,785.1,795.6,"1,378","1,086",755.3,"1,278","1,286",998.2,,,297.9,327.4,340.2,351.0,261.4,248.6,131.1,233.2,72.0,290.8
Gross Profit Margin,57.5%,57.7%,60.8%,58.4%,55.7%,59.6%,58.7%,54.1%,,,55.8%,61.8%,58.6%,58.3%,56.4%,56.2%,41.4%,55.0%,25.9%,58.5%
Operating Margin,38.3%,37.5%,44.4%,40.2%,33.5%,51.0%,50.3%,43.7%,,,53.7%,49.1%,48.8%,48.1%,45.9%,45.4%,31.5%,43.5%,18.0%,50.7%
Net Profit Margin,25.7%,28.9%,35.4%,32.0%,26.7%,31.4%,30.0%,20.1%,,,31.7%,28.7%,28.7%,32.5%,20.7%,13.5%,6.3%,23.7%,19.8%,16.4%
Return on Assets,7.4%,8.0%,13.4%,10.8%,7.2%,8.6%,7.0%,4.9%,,,8.2%,6.9%,6.4%,7.5%,8.0%,6.6%,5.4%,5.1%,3.8%,3.9%
Return on Equity,12.7%,14.1%,24.1%,18.0%,12.6%,15.9%,15.3%,9.4%,,,3.6%,4.0%,4.1%,4.5%,2.3%,1.5%,0.6%,2.5%,1.4%,2.0%
Return on Total Capital,12.7%,14.1%,24.1%,18.0%,12.6%,15.9%,15.3%,9.4%,,,17.3%,16.4%,15.3%,15.4%,15.2%,13.1%,9.4%,6.8%,6.1%,6.6%
SG&A to Sale,13.7%,14.0%,11.2%,12.8%,15.5%,6.3%,6.3%,7.9%,,,5.6%,5.5%,7.8%,8.3%,8.0%,8.1%,6.7%,6.3%,9.1%,6.1%
Depreciation & Amortisation,30.0,34.3,38.2,47.1,52.8,49.8,46.9,46.5,,,13.2,13.4,7.19,13.6,13.5,13.7,5.68,12.8,9.42,9.52
Tax Rate,32.5%,22.9%,20.3%,20.3%,20.6%,20.7%,20.2%,20.0%,,,20.3%,20.0%,20.4%,20.4%,18.5%,20.3%,21.9%,20.0%,19.6%,19.2%
Current Ratio,2.31,1.81,2.23,2.13,1.98,1.61,1.50,2.94,,,1.12,0.97,1.50,1.07,1.43,1.26,2.94,2.36,1.83,2.58
Quick Ratio,1.49,1.49,1.70,1.70,1.63,1.22,1.07,1.53,,,1.01,0.88,1.07,1.01,1.17,1.13,1.53,1.93,1.00,1.53
Days Inventory Outstanding,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
