,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,1.61,3.19,2.46,2.03,1.78,1.93,1.70,1.72,,,1.93,1.75,1.66,1.73,1.61,1.72,1.61,1.65,1.65,1.72
Earnings per Share,0.095,-0.53,-0.38,-0.21,-0.080,-0.064,-0.12,-0.020,,,-0.020,0.010,-0.080,-0.003,-0.034,0.010,0.007,0.001,0.002,0.008
Revenue per Share,1.64,1.59,1.17,0.64,0.42,0.37,0.28,0.26,,,0.036,0.13,0.044,0.026,0.063,0.072,0.095,0.060,0.10,0.13
Dividend per Share,0.070,,,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.006,0.014,0.007,0.005,0.004,0.002,0.001,0.001,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Book Value per Share,1.06,0.57,0.15,0.68,0.61,0.54,0.42,0.39,,,0.49,0.50,0.42,0.42,0.37,0.38,0.39,0.39,0.39,0.40
Price to Earnings Ratio,14.6,,,,,,,,,,,,,,,,,,76.4,84.6
Price to Book Value Ratio,1.44,5.43,18.7,2.54,2.81,2.66,4.05,4.22,,,3.48,3.35,4.05,4.05,4.61,4.30,4.22,4.24,4.04,4.67
EV to EBITDA,16.2,-10.7,-21.4,-12.3,-21.1,-24.2,-13.6,21.1,,,-15.2,-87.6,-13.6,-11.3,-13.1,-9.37,21.1,17.4,23.5,37.7
Dividend Payout Ratio,73.4%,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,641.3,641.3,657.8,"1,300","1,300","1,300","1,300","1,300",,,"1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300"
Total Revenue,"1,050","1,022",770.1,838.2,541.4,485.2,363.6,333.4,,,46.6,166.7,57.4,34.3,82.0,93.5,123.7,77.5,133.6,168.1
"Cost of Revenue, Total",667.4,822.8,568.7,633.0,407.8,278.3,228.5,173.2,,,35.8,78.1,33.0,13.0,76.1,42.3,41.8,37.9,86.8,108.7
Gross Profit,382.7,199.5,201.4,205.2,133.6,206.9,135.1,160.2,,,10.7,88.6,24.4,21.2,5.95,51.2,81.9,39.6,46.9,59.4
"Selling/General/Administrative Expenses, Total",294.5,362.7,324.4,403.6,234.4,295.2,283.6,179.4,,,35.6,64.5,120.3,34.8,48.2,29.4,67.0,36.9,39.6,39.4
Operating Income,88.2,-163.2,-122.9,-198.4,-100.8,-88.3,-148.5,-19.2,,,-24.9,24.1,-95.9,-13.6,-42.3,21.8,14.9,2.73,7.30,20.1
Net Income,61.1,-340.4,-246.6,-183.3,-100.1,-83.0,-155.6,-25.3,,,-25.3,17.3,-102.2,-4.04,-44.8,14.4,9.21,0.79,3.04,10.2
EBITDA,93.0,-157.4,-117.1,-192.9,-95.0,-82.9,-142.5,-16.0,,,1.00,121.3,-297.3,-6.14,34.0,52.4,15.5,3.29,7.86,20.6
Gross Profit Margin,36.4%,19.5%,26.2%,24.5%,24.7%,42.6%,37.1%,48.1%,,,23.1%,53.1%,42.5%,62.0%,7.3%,54.7%,66.2%,51.1%,35.1%,35.3%
Operating Margin,8.4%,-16.0%,-16.0%,-23.7%,-18.6%,-18.2%,-40.8%,-5.8%,,,-53.4%,14.4%,-167.1%,-39.8%,-51.6%,23.3%,12.1%,3.5%,5.5%,11.9%
Net Profit Margin,5.8%,-33.3%,-32.0%,-21.9%,-18.5%,-17.1%,-42.8%,-7.6%,,,-54.3%,10.4%,-178.0%,-11.8%,-54.7%,15.4%,7.4%,1.0%,2.3%,6.1%
Return on Assets,4.0%,-23.4%,-19.1%,-15.2%,-9.2%,-8.6%,-18.9%,-3.4%,,,-21.6%,-14.8%,-19.3%,-16.7%,-19.8%,-19.7%,-3.3%,-2.7%,3.7%,3.1%
Return on Equity,9.0%,-93.0%,-241.9%,-20.7%,-12.7%,-11.8%,-28.3%,-5.0%,,,-4.0%,2.7%,-18.6%,-0.7%,-9.4%,2.9%,1.8%,0.2%,0.6%,2.0%
Return on Total Capital,8.9%,-82.5%,-163.8%,-20.7%,-12.7%,-11.8%,-28.3%,-5.0%,,,-29.8%,-20.0%,-28.3%,-20.9%,-27.9%,-27.7%,-5.0%,-4.1%,5.4%,4.5%
