,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,1.91,2.83,2.22,1.59,1.41,1.62,1.82,2.02,,,1.41,1.76,1.75,1.80,1.82,1.86,1.84,1.97,2.16,2.16
Earnings per Share,-0.092,0.12,0.15,-0.29,-0.091,0.078,0.12,0.18,,,0.025,0.029,0.043,0.052,0.040,0.030,0.054,0.028,0.020,0.040
Revenue per Share,0.63,0.66,0.51,0.40,0.65,0.34,0.30,0.44,,,0.072,0.073,0.090,0.10,0.095,0.086,0.15,0.084,0.086,0.088
Dividend per Share,,0.080,0.10,,,0.037,0.080,0.090,,,,,0.080,,,,0.090,,,
Capital Expenditures per Share,0.10,0.29,0.49,0.13,0.062,0.032,0.005,0.011,,,0.001,0.000,0.003,0.001,0.001,0.001,0.008,0.006,0.005,0.007
Book Value per Share,1.55,1.69,1.80,1.41,1.60,1.32,1.40,1.50,,,1.33,1.36,1.40,1.45,1.42,1.45,1.50,1.53,1.46,1.50
Price to Earnings Ratio,,18.2,15.3,,,17.0,14.2,9.84,,,14.4,18.7,14.2,12.4,11.0,10.6,10.2,11.3,15.2,14.9
Price to Book Value Ratio,0.94,1.51,1.27,1.17,0.64,0.99,1.19,1.21,,,0.99,1.24,1.19,1.09,1.34,1.12,1.21,1.18,1.44,1.45
EV to EBITDA,9.49,15.0,58.2,-21.6,7.65,10.5,13.6,8.09,,,14.5,15.3,13.6,10.9,9.55,9.20,8.09,8.90,10.6,10.2
Dividend Payout Ratio,,66.7%,66.7%,,,47.3%,67.3%,49.2%,,,,,67.3%,,,,51.1%,,,
Common Shares Outstanding,"1,508","1,522","1,545","1,559","1,592","2,048","2,048","2,048",,,"2,048","2,048","2,048","2,048","2,048","2,048","2,048","2,048","2,048","2,044"
Total Revenue,956.8,"1,004",783.5,619.3,"1,034",697.2,621.0,891.7,,,147.3,149.7,184.1,211.3,195.5,176.9,308.0,172.3,175.6,179.2
"Cost of Revenue, Total",554.9,560.8,570.5,688.7,710.6,362.1,332.7,437.0,,,85.8,80.0,81.8,85.7,94.3,90.9,166.1,86.0,80.1,87.5
Gross Profit,401.9,442.8,212.9,-69.4,323.1,335.1,288.3,454.7,,,61.5,69.7,102.3,125.7,101.2,86.0,141.9,86.4,95.5,91.7
"Selling/General/Administrative Expenses, Total",251.0,273.5,303.7,306.8,265.2,242.4,226.8,240.5,,,56.1,53.9,62.0,63.7,54.2,51.8,70.8,54.0,58.9,50.3
Operating Income,150.9,169.3,-90.8,-368.4,66.1,107.7,94.0,251.0,,,13.5,23.8,48.6,70.3,55.2,44.2,81.2,42.4,46.7,51.4
Net Income,-136.5,226.7,305.9,-444.7,-143.9,159.8,243.6,374.7,,,51.2,59.2,88.1,106.0,89.6,67.8,111.4,56.3,41.2,85.9
