,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,34.7,33.2,34.8,31.6,34.9,44.5,54.8,47.8,,,41.3,46.4,54.8,55.6,53.5,52.6,49.8,49.9,48.0,46.1
Earnings per Share,3.72,3.66,3.25,2.03,0.70,3.25,4.67,4.15,,,1.08,0.76,,1.38,1.04,1.05,0.67,1.02,0.90,0.70
Revenue per Share,85.0,97.8,99.5,91.2,70.9,60.2,69.9,81.8,,,16.8,16.6,,18.7,20.3,21.3,21.6,19.3,20.0,18.9
Dividend per Share,1.30,1.30,1.30,1.10,1.00,1.60,2.00,2.00,,,0.80,0.00,,,0.80,0.00,1.20,,0.90,0.00
Capital Expenditures per Share,3.78,4.02,3.96,6.05,5.47,3.70,3.93,3.82,,,0.87,0.95,0.00,0.98,1.03,0.78,1.02,1.21,1.17,1.45
Book Value per Share,19.5,21.1,23.9,23.9,24.4,26.7,28.7,30.6,,,27.8,27.7,28.7,29.4,29.9,29.9,30.6,31.4,30.6,30.3
Price to Earnings Ratio,9.75,9.57,9.01,16.9,37.2,12.2,12.2,11.7,,,9.36,10.1,13.9,16.2,16.5,14.2,11.7,12.2,12.2,13.2
Price to Book Value Ratio,1.82,1.54,1.25,1.35,1.15,1.45,1.93,1.57,,,1.47,1.59,1.93,1.63,1.81,1.54,1.57,1.55,1.51,1.45
EV to EBITDA,5.70,6.27,5.49,6.24,5.52,5.90,8.45,5.58,,,5.52,5.86,8.45,9.22,7.83,7.04,5.58,6.11,6.75,7.38
Dividend Payout Ratio,34.9%,35.5%,40.0%,54.1%,143.2%,49.3%,42.8%,48.2%,,,18.8%,0.0%,,,25.1%,0.0%,28.9%,,24.7%,0.0%
Common Shares Outstanding,"28,563","28,563","28,563","28,563","28,563","28,563","28,563","28,563",,,"28,563","28,563","28,563","28,563","28,563","28,563","28,563","28,563","28,563","28,563"
Total Revenue,2.428M,2.794M,2.842M,2.605M,2.026M,1.719M,1.996M,2.336M,,,"478,788","475,178",,"532,972","578,787","606,980","617,416","550,874","570,323","538,436"
"Cost of Revenue, Total",2.230M,2.588M,2.645M,2.396M,1.818M,1.478M,1.702M,2.039M,,,"418,878","401,596",,"457,063","491,307","525,984","565,083","485,656","509,934","483,617"
Gross Profit,"197,736","206,306","197,104","209,469","208,030","240,661","293,383","296,718",,,"59,910","73,582",,"75,909","87,479","80,996","52,334","65,218","60,389","54,820"
"Selling/General/Administrative Expenses, Total","45,048","49,047","50,119","74,174","72,679","74,776","100,599","81,837",,,"16,995","37,005",,"16,613","20,498","19,990","24,736","18,832","22,152","23,172"
Operating Income,"158,572","164,544","152,059","157,386","150,623","167,257","204,800","224,187",,,"44,711","39,038",,"61,816","64,940","63,313","34,118","45,567","42,652","35,325"
Net Income,"106,260","104,608","93,091","58,678","19,936","94,609","135,180","119,684",,,"31,317","22,332",,"39,788","30,029","30,329","19,538","29,312","25,938","20,254"
EBITDA,"218,486","232,624","230,530","301,615","299,082","297,098","341,407","345,617",,,"73,811","68,556",0.00,"90,350","95,247","95,364","66,150","76,172","75,508","69,846"
Gross Profit Margin,8.1%,7.4%,6.9%,8.0%,10.3%,14.0%,14.7%,12.7%,,,12.5%,15.5%,,14.2%,15.1%,13.3%,8.5%,11.8%,10.6%,10.2%
