,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,,,3.55,3.02,2.12,,,,3.55,3.51,3.17,2.90,2.50,2.34,2.19,2.01,1.89
Earnings per Share,,,0.30,0.23,0.22,0.20,0.28,0.22,,,0.18,-0.048,-0.034,0.20,0.15,-0.055,-0.075,0.18,0.13,-0.062
Revenue per Share,,,1.27,1.29,1.29,1.25,1.36,1.22,,,0.54,0.074,0.24,0.59,0.49,0.052,0.086,0.63,0.45,0.056
Dividend per Share,,,0.00,0.23,0.21,0.00,0.26,0.24,,,0.14,0.00,0.12,0.15,0.00,0.00,0.090,,0.10,0.00
Capital Expenditures per Share,,,0.035,0.007,0.007,0.020,0.012,0.030,,,0.002,0.007,0.002,0.002,0.012,0.003,0.012,0.075,0.014,0.009
Book Value per Share,,,0.88,0.46,0.47,0.66,1.24,1.31,,,0.86,0.81,1.24,1.44,1.44,1.38,1.31,1.40,1.54,1.37
Price to Earnings Ratio,,,,,,,11.8,9.76,,,,13.6,12.4,9.66,10.2,8.76,9.76,10.8,10.8,10.9
Price to Book Value Ratio,,,,,,,2.64,1.68,,,,3.57,2.64,1.99,1.89,1.56,1.68,1.48,1.24,1.34
EV to EBITDA,,,,,,0.00,6.67,4.00,,,0.00,0.00,6.67,4.49,5.14,4.05,4.00,3.18,5.66,5.22
Dividend Payout Ratio,,,0.0%,101.5%,95.6%,0.0%,94.5%,109.5%,,,57.5%,0.0%,46.0%,49.6%,0.0%,0.0%,41.1%,,56.4%,0.0%
Common Shares Outstanding,,,600.0,600.0,600.0,600.0,600.0,600.0,,,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
Total Revenue,,,763.8,771.0,776.5,752.6,814.9,731.6,,,325.4,44.6,143.5,354.0,294.7,31.4,51.6,378.3,267.4,33.7
"Cost of Revenue, Total",,,406.7,430.5,430.8,434.8,485.1,395.4,,,168.6,47.7,130.4,159.5,142.2,40.2,53.5,193.0,139.3,46.5
Gross Profit,,,357.1,340.6,352.1,317.8,329.8,336.3,,,156.7,-3.10,13.1,194.6,152.5,-8.87,-1.88,185.4,128.1,-12.7
"Selling/General/Administrative Expenses, Total",,,199.2,206.5,212.4,175.4,163.7,180.7,,,42.9,34.5,39.2,47.4,42.4,35.4,55.6,52.9,35.7,37.8
Operating Income,,,194.5,134.1,139.8,142.5,166.0,155.6,,,113.8,-37.6,-26.1,147.2,110.1,-44.3,-57.4,132.4,92.4,-50.5
Net Income,,,149.6,137.9,130.8,119.6,140.2,131.5,,,92.4,-28.5,-18.2,119.3,90.2,-33.1,-44.9,106.0,78.3,-37.3
EBITDA,,,211.4,144.4,149.5,152.9,177.1,167.7,,,116.8,-34.6,-24.0,150.4,113.4,-41.7,-54.4,135.6,96.0,-46.8
Gross Profit Margin,,,46.8%,44.2%,45.3%,42.2%,40.5%,46.0%,,,48.2%,-6.9%,9.1%,55.0%,51.7%,-28.3%,-3.6%,49.0%,47.9%,-37.8%
Operating Margin,,,25.5%,17.4%,18.0%,18.9%,20.4%,21.3%,,,35.0%,-84.4%,-18.2%,41.6%,37.4%,-141.2%,-111.3%,35.0%,34.6%,-149.9%
Net Profit Margin,,,19.6%,17.9%,16.8%,15.9%,17.2%,18.0%,,,28.4%,-64.0%,-12.7%,33.7%,30.6%,-105.5%,-87.1%,28.0%,29.3%,-110.5%
Return on Assets,,,15.1%,16.3%,19.4%,17.5%,15.5%,12.6%,,,16.9%,20.2%,16.3%,14.3%,14.9%,16.8%,13.8%,10.5%,9.4%,10.6%
Return on Equity,,,28.2%,49.5%,45.9%,30.2%,18.9%,16.8%,,,18.0%,-5.9%,-2.5%,13.9%,10.5%,-4.0%,-5.7%,12.6%,8.5%,-4.5%
Return on Total Capital,,,26.9%,43.7%,41.7%,28.8%,18.9%,16.8%,,,25.3%,27.3%,18.9%,19.2%,18.9%,19.1%,16.8%,14.0%,11.5%,12.4%
SG&A to Sale,,,26.1%,26.8%,27.4%,23.3%,20.1%,24.7%,,,13.2%,77.5%,27.3%,13.4%,14.4%,113.0%,107.7%,14.0%,13.3%,112.1%
Depreciation & Amortisation,,,16.7,10.3,9.71,10.4,11.1,12.1,,,3.00,3.01,2.09,3.21,3.29,2.59,3.04,3.15,3.59,3.71
Tax Rate,,,18.7%,21.3%,22.0%,19.9%,19.4%,21.8%,,,20.1%,20.4%,22.7%,19.9%,20.1%,20.2%,14.2%,21.6%,18.8%,20.5%
Current Ratio,,,1.91,1.37,1.42,1.89,2.83,3.80,,,3.29,4.00,2.83,3.11,9.30,13.0,3.80,2.44,6.21,8.24
Quick Ratio,,,1.86,1.03,0.89,1.61,1.48,2.11,,,2.53,2.75,1.48,1.76,8.87,12.2,2.11,1.22,3.85,6.55
Days Inventory Outstanding,,,3.67,4.45,7.68,7.76,4.78,7.46,,,14.7,9.68,4.75,6.47,8.27,7.85,9.63,11.1,11.3,8.40
Days Sale Outstanding,,,331.2,184.2,48.8,45.4,61.6,19.3,,,36.0,14.1,61.6,37.6,35.3,16.5,19.3,39.3,28.6,15.4
Days Payable Outstanding,,,19.9,20.3,17.6,16.3,17.9,16.1,,,22.1,10.5,12.5,20.5,14.9,5.91,8.73,23.6,27.4,11.4
Cash Conversion Cycle,,,314.9,238.8,110.2,36.3,38.2,41.8,,,33.3,27.3,23.8,30.8,40.2,27.4,19.0,1.81,29.8,23.6
Debt to Asset Ratio,,,0.46,0.60,0.56,0.45,0.32,0.22,,,0.28,0.23,0.32,0.29,0.11,0.089,0.22,0.32,0.10,0.090
Debt to Equity Ratio,,,0.86,1.51,1.28,0.81,0.46,0.28,,,0.38,0.30,0.46,0.42,0.13,0.097,0.28,0.48,0.11,0.099
Interest Coverage Ratio,,,,16.0,41.7,65.9,130.2,763.8,,,280.6,,,"11,100","11,021",,,,,
Cash and Short Term Investments,,,94.1,109.5,342.4,423.6,751.2,638.0,,,430.3,364.6,751.2,875.9,684.7,662.8,638.0,762.3,445.7,441.7
"Total Receivables, Net",,,692.9,389.1,103.9,93.7,137.6,38.8,,,75.1,29.6,137.6,89.2,80.9,37.2,38.8,81.4,57.2,30.9
Total Inventory,,,4.09,6.42,11.7,6.79,5.91,10.3,,,16.5,6.71,5.91,12.0,9.73,10.6,10.3,15.8,10.5,9.41
Total Current Assets,,,807.0,519.5,465.2,536.5,906.7,731.2,,,529.2,453.1,906.7,"1,048",790.4,731.2,731.2,932.5,522.2,488.6
"Property/Plant/Equipment, Total - Net",,,171.5,169.5,163.6,133.5,130.1,132.6,,,133.4,131.7,130.1,128.6,132.8,132.2,132.6,175.8,179.3,180.9
Total Assets,,,989.9,700.5,648.7,718.2,"1,085","1,001",,,710.0,632.3,"1,085","1,221",970.1,908.9,"1,001","1,246","1,027",905.1
Accounts Payable,,,22.2,25.7,15.8,23.1,24.4,10.4,,,16.2,8.86,24.4,32.4,6.78,8.51,10.4,45.0,18.9,8.06
Accrued Expenses,,,30.1,31.9,29.5,29.3,19.1,16.6,,,25.7,23.1,19.1,47.8,19.1,17.5,16.6,49.6,19.4,19.0
Debt Due,,,54.8,60.8,9.21,9.16,0.78,0.00,,,8.97,8.69,0.78,0.60,0.41,0.24,0.00,0.00,0.00,0.00
Total Current Liabilities,,,423.0,378.5,327.5,283.1,320.8,192.7,,,161.0,113.4,320.8,336.5,85.0,56.2,192.7,382.7,84.1,59.3
Long Term Debt,,,26.0,36.6,29.1,19.1,,,,,14.8,12.7,,,,,,,,
Total Liabilities,,,458.9,421.7,364.1,321.9,343.0,217.7,,,196.8,147.7,343.0,359.4,108.6,80.5,217.7,403.8,105.7,81.4
Common Stock,,,500.0,250.0,250.0,250.0,300.0,300.0,,,250.0,250.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
Additional Paid-In Capital,,,,105.9,110.6,110.6,396.0,396.0,,,110.6,110.6,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0
