,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,2.54,4.65,3.37,3.43,4.95,4.30,3.07,1.96,,,3.94,4.02,3.87,3.48,3.07,2.54,2.29,2.15,1.82,1.58
Earnings per Share,0.19,0.37,0.33,0.22,0.24,0.27,0.18,0.11,,,0.038,0.046,0.044,0.035,0.027,0.013,0.031,0.026,-0.026,0.012
Revenue per Share,2.42,2.24,1.82,1.56,1.61,1.12,0.99,0.95,,,0.27,0.29,0.26,0.25,0.22,0.22,0.26,0.23,0.23,0.23
Dividend per Share,0.15,0.21,0.15,0.12,0.039,0.050,0.10,0.070,,,,,0.10,,,,0.070,,,
Capital Expenditures per Share,0.11,0.16,0.35,0.19,0.063,0.032,0.029,0.023,,,0.004,0.002,0.018,0.004,0.006,0.003,0.010,0.031,0.001,0.002
Book Value per Share,1.77,2.03,2.07,2.12,2.23,2.18,2.12,2.11,,,2.15,2.20,2.12,2.14,2.07,2.08,2.11,2.13,2.03,2.04
Price to Earnings Ratio,9.24,11.1,10.5,14.9,12.5,15.6,21.8,21.6,,,19.9,21.1,23.2,21.2,15.7,19.3,21.6,21.4,37.2,34.6
Price to Book Value Ratio,0.98,1.98,1.57,1.34,1.38,1.89,1.74,1.07,,,1.59,1.83,1.74,1.52,1.31,1.04,1.07,0.94,0.80,0.75
EV to EBITDA,4.36,5.91,10.5,11.4,11.5,20.9,22.2,13.0,,,20.1,19.4,22.2,19.4,15.9,15.2,13.0,13.7,13.2,9.21
Dividend Payout Ratio,77.0%,56.8%,47.4%,52.2%,15.9%,18.3%,56.1%,66.4%,,,,,59.7%,,,,66.4%,,,
Common Shares Outstanding,295.4,295.4,295.4,295.4,295.4,466.5,566.8,566.8,,,496.5,496.5,566.8,566.8,566.8,566.8,566.8,566.8,566.8,566.8
Total Revenue,715.0,662.4,538.2,461.3,474.6,523.5,558.9,538.1,,,133.6,143.4,147.1,142.9,125.5,123.7,146.0,132.8,128.3,130.4
"Cost of Revenue, Total",516.1,402.9,310.7,255.8,261.9,292.4,312.8,313.7,,,72.8,80.0,83.4,82.8,73.3,71.3,86.4,76.0,75.8,77.3
Gross Profit,198.9,259.5,227.4,205.5,212.7,231.1,246.1,224.3,,,60.8,63.4,63.7,60.0,52.2,52.4,59.6,56.8,52.5,53.1
"Selling/General/Administrative Expenses, Total",148.5,154.5,162.5,168.6,176.4,166.0,183.4,171.9,,,45.9,46.8,43.5,48.4,38.1,48.8,36.6,45.8,52.7,43.2
Operating Income,50.4,105.0,64.9,37.0,36.3,65.1,62.6,52.4,,,14.8,16.6,20.2,11.6,14.1,3.65,23.1,11.0,-0.22,9.86
Net Income,51.0,110.7,96.5,65.7,71.3,88.6,87.3,59.8,,,20.3,25.1,22.9,19.6,15.1,7.57,17.6,14.9,-14.6,6.87
EBITDA,83.2,136.4,96.2,69.9,72.4,100.4,96.3,86.9,,,23.5,25.4,27.4,20.5,22.9,12.5,31.6,19.3,8.06,18.1
Gross Profit Margin,27.8%,39.2%,42.3%,44.6%,44.8%,44.1%,44.0%,41.7%,,,45.5%,44.2%,43.3%,42.0%,41.6%,42.4%,40.8%,42.8%,40.9%,40.7%
