,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,51.6,59.5,59.6,56.0,75.8,80.8,75.8,,,69.9,84.8,86.4,78.9,74.6,74.8,74.9,76.9,79.8,74.5
Earnings per Share,1.79,3.27,2.54,2.22,2.02,2.28,2.63,2.79,,,0.73,0.71,0.59,0.69,0.72,0.73,0.65,0.77,0.75,0.60
Revenue per Share,11.9,14.4,15.5,16.1,16.1,16.8,17.7,18.6,,,4.57,4.48,4.56,4.50,4.72,4.64,4.72,4.80,4.94,4.56
Dividend per Share,2.44,3.91,1.60,1.80,1.90,2.10,2.30,2.50,,,1.10,0.00,1.20,,1.20,0.00,1.30,,1.30,0.00
Capital Expenditures per Share,0.71,1.26,1.87,1.43,0.82,0.67,0.67,0.56,,,0.12,0.13,0.24,0.14,0.16,0.14,0.12,0.22,0.11,0.19
Book Value per Share,1.43,1.62,13.8,14.0,14.3,14.6,15.0,15.4,,,14.9,14.5,15.0,15.7,15.2,14.7,15.4,16.2,15.6,14.9
Price to Earnings Ratio,,,19.7,28.2,26.1,25.9,30.4,26.8,,,24.6,32.4,30.4,28.5,26.8,26.7,26.8,25.0,25.7,25.6
Price to Book Value Ratio,,,3.89,4.11,3.73,4.26,5.13,4.71,,,4.08,5.91,5.13,4.68,4.76,5.07,4.71,4.56,4.79,4.73
EV to EBITDA,,0.00,13.5,15.0,14.0,12.6,19.1,15.4,,,12.9,16.2,19.1,16.7,15.8,14.1,15.4,14.6,16.0,16.7
Dividend Payout Ratio,136.6%,119.6%,63.0%,81.1%,94.1%,92.1%,87.5%,89.6%,,,44.7%,0.0%,45.6%,,44.3%,0.0%,46.6%,,44.8%,0.0%
Common Shares Outstanding,905.9,905.9,905.9,907.1,910.2,914.8,920.9,920.9,,,914.8,914.8,920.9,920.9,920.9,920.9,920.9,920.9,920.9,920.9
Total Revenue,"10,778","13,030","14,067","14,618","14,641","15,389","16,345","17,113",,,"4,184","4,100","4,204","4,139","4,350","4,273","4,351","4,421","4,548","4,202"
"Cost of Revenue, Total","3,661","4,240","4,627","4,984","4,944","4,952","5,174","5,295",,,"1,308","1,294","1,338","1,277","1,338","1,318","1,362","1,373","1,386","1,298"
Gross Profit,"7,117","8,791","9,440","9,633","9,697","10,436","11,171","11,818",,,"2,876","2,806","2,866","2,863","3,012","2,955","2,989","3,048","3,162","2,904"
"Selling/General/Administrative Expenses, Total","4,891","6,273","7,066","7,428","7,660","7,942","8,299","8,806",,,"2,074","2,039","2,226","2,114","2,233","2,168","2,290","2,218","2,344","2,269"
Operating Income,"2,246","2,548","2,423","2,251","2,087","2,494","2,872","3,012",,,802.3,766.5,640.2,748.4,778.8,786.3,698.7,830.8,818.5,634.4
Net Income,"1,618","2,031","2,039","2,042","1,856","2,100","2,425","2,574",,,675.4,651.2,545.5,631.9,659.5,675.8,606.4,709.8,688.5,549.4
EBITDA,"2,698","3,059","3,012","2,986","2,894","3,343","3,711","3,815",,,"1,016",980.0,836.2,957.6,984.2,988.8,896.5,"1,023","1,005",820.7
Gross Profit Margin,66.0%,67.5%,67.1%,65.9%,66.2%,67.8%,68.3%,69.1%,,,68.7%,68.4%,68.2%,69.2%,69.2%,69.1%,68.7%,68.9%,69.5%,69.1%
Operating Margin,20.8%,19.6%,17.2%,15.4%,14.3%,16.2%,17.6%,17.6%,,,19.2%,18.7%,15.2%,18.1%,17.9%,18.4%,16.1%,18.8%,18.0%,15.1%
Net Profit Margin,15.0%,15.6%,14.5%,14.0%,12.7%,13.6%,14.8%,15.0%,,,16.1%,15.9%,13.0%,15.3%,15.2%,15.8%,13.9%,16.1%,15.1%,13.1%
Return on Assets,40.2%,45.7%,20.3%,13.7%,12.4%,13.7%,15.2%,15.4%,,,14.5%,15.6%,15.3%,15.2%,15.1%,15.6%,15.5%,15.4%,15.6%,15.4%
Return on Equity,124.7%,138.1%,16.3%,16.1%,14.3%,15.7%,17.5%,18.2%,,,5.0%,4.9%,3.9%,4.4%,4.7%,5.0%,4.3%,4.8%,4.8%,4.0%
Return on Total Capital,124.7%,138.1%,16.3%,16.1%,14.3%,15.7%,17.5%,18.2%,,,16.7%,18.2%,17.5%,17.3%,17.8%,18.5%,18.2%,17.8%,18.6%,18.6%
SG&A to Sale,45.4%,48.1%,50.2%,50.8%,52.3%,51.6%,50.8%,51.5%,,,49.6%,49.7%,52.9%,51.1%,51.3%,50.7%,52.6%,50.2%,51.5%,54.0%
Depreciation & Amortisation,451.8,511.1,589.1,734.9,807.0,849.0,838.6,802.9,,,213.6,213.5,196.1,209.2,205.4,202.5,197.7,192.0,186.1,186.4
Tax Rate,28.3%,22.0%,19.3%,19.4%,19.4%,18.7%,18.2%,17.8%,,,18.3%,17.8%,17.8%,18.1%,18.3%,17.5%,17.4%,17.8%,17.3%,17.2%
Current Ratio,0.37,0.39,2.17,4.75,5.24,5.36,5.02,4.21,,,6.45,5.65,5.02,6.27,5.09,4.55,4.21,5.59,5.03,5.12
Quick Ratio,0.023,0.015,1.38,3.93,2.69,3.67,2.32,2.42,,,3.88,2.87,2.32,2.78,3.12,2.94,2.42,3.08,2.83,2.62
Days Inventory Outstanding,15.1,16.4,16.9,18.6,20.8,22.3,23.8,23.4,,,18.3,19.4,22.2,21.9,18.7,18.7,20.9,21.7,20.2,18.9
Days Sale Outstanding,1.85,1.40,3.87,2.04,2.32,2.20,1.44,1.87,,,1.80,1.30,1.44,1.60,1.64,2.10,1.87,2.12,2.34,3.54
Days Payable Outstanding,29.8,35.6,41.4,34.6,29.9,29.7,31.1,37.4,,,21.7,22.1,27.9,28.6,23.8,28.5,37.9,33.1,28.0,26.4
Cash Conversion Cycle,-13.5,-26.8,-22.5,-8.82,-6.21,-5.65,-7.65,-17.3,,,-1.52,-2.11,-9.60,-0.79,-3.09,-13.0,-19.4,-0.83,-9.16,0.85
Debt to Asset Ratio,0.66,0.71,0.17,0.15,0.14,0.14,0.15,0.17,,,0.13,0.13,0.15,0.13,0.14,0.15,0.17,0.14,0.15,0.15
Debt to Equity Ratio,1.93,2.46,0.20,0.17,0.16,0.17,0.18,0.21,,,0.14,0.15,0.18,0.15,0.16,0.18,0.21,0.16,0.18,0.18
Interest Coverage Ratio,146.5,110.3,114.1,,,,,,,,,,,,,,,,,"1,839"
Cash and Short Term Investments,572.1,987.8,"4,209","8,658","8,878","9,611","9,746","9,812",,,"9,797","9,272","9,746","10,483","9,265","8,814","9,812","10,175","9,723","9,097"
"Total Receivables, Net",54.7,50.0,149.1,81.6,93.0,92.8,64.4,87.9,,,77.1,56.9,64.4,72.9,75.6,97.4,87.9,101.1,112.7,170.1
Total Inventory,177.6,202.8,226.0,280.6,282.1,323.8,350.3,329.1,,,256.1,280.1,350.3,276.0,261.7,278.4,329.1,311.7,291.7,270.0
Total Current Assets,875.0,"1,333","4,943","9,348","9,608","10,398","10,577","10,579",,,"10,583","9,708","10,577","11,023","9,692","9,493","10,579","10,711","10,520","9,705"
"Property/Plant/Equipment, Total - Net","2,244","2,993","4,286","4,573","4,494","4,261","4,012","3,738",,,"4,057","4,000","4,012","3,900","3,831","3,796","3,738","3,704","3,635","3,632"
Total Assets,"3,804","5,086","15,006","14,879","15,122","15,642","16,283","17,174",,,"15,604","15,330","16,283","16,583","16,274","16,031","17,174","17,296","16,982","16,181"
Accounts Payable,308.7,518.5,532.1,413.4,395.3,410.1,470.9,614.7,,,292.6,318.8,470.9,346.5,337.0,484.9,614.7,362.5,471.8,312.8
Accrued Expenses,567.5,975.2,950.5,862.9,831.2,790.0,945.4,"1,035",,,676.0,682.3,945.4,629.6,783.4,852.1,"1,035",671.4,844.6,905.4
Debt Due,945.0,850.0,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.5
Total Current Liabilities,"2,384","3,440","2,278","1,969","1,835","1,941","2,109","2,512",,,"1,642","1,718","2,109","1,759","1,905","2,086","2,512","1,915","2,093","1,897"
Long Term Debt,,,,,,,,,,,,,,,,,,,,38.5
Total Liabilities,"2,506","3,615","2,482","2,198","2,124","2,265","2,454","2,998",,,"1,972","2,054","2,454","2,123","2,261","2,449","2,998","2,411","2,605","2,454"
