,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,193.5,260.5,237.5,211.3,169.3,187.5,197.8,213.0,,,195.5,196.0,206.8,204.8,204.0,191.3,187.0,206.8,230.0,229.5
Earnings per Share,7.48,11.7,12.2,12.1,13.2,10.3,10.1,9.98,,,2.43,2.51,2.59,2.70,2.69,2.29,2.30,2.55,2.61,2.96
Revenue per Share,42.5,47.6,50.6,50.2,52.2,51.2,53.1,57.1,,,13.1,13.0,13.9,13.8,14.2,14.2,15.0,14.6,14.8,15.0
Dividend per Share,8.43,10.9,12.2,12.0,13.0,10.1,7.08,7.08,,,3.51,0.00,3.57,,3.78,0.00,3.30,,3.78,0.00
Capital Expenditures per Share,1.07,1.85,7.74,10.7,10.8,16.0,13.8,6.79,,,3.81,3.69,2.45,2.18,1.61,1.77,1.24,1.05,2.13,2.14
Book Value per Share,13.2,14.6,15.4,15.7,16.3,14.3,16.9,19.3,,,15.0,14.1,16.9,16.0,18.7,17.0,19.3,19.1,21.7,20.8
Price to Earnings Ratio,21.4,17.6,17.3,19.2,12.9,16.2,19.6,18.2,,,20.0,18.0,19.6,18.6,19.3,17.4,18.2,19.6,23.8,20.4
Price to Book Value Ratio,13.9,16.5,14.7,15.1,11.2,12.4,12.3,9.51,,,12.7,13.6,12.3,11.5,10.7,10.1,9.51,11.4,10.2,10.2
EV to EBITDA,7.91,10.1,10.0,11.5,7.90,9.26,9.60,8.50,,,10.0,10.2,9.60,9.96,9.41,9.25,8.50,8.74,9.70,9.89
Dividend Payout Ratio,112.8%,92.9%,99.6%,99.0%,98.6%,97.8%,70.0%,70.9%,,,37.4%,0.0%,35.3%,,36.0%,0.0%,33.1%,,38.8%,0.0%
Common Shares Outstanding,"2,973","2,973","2,973","2,973","2,973","2,973","2,973","2,973",,,"2,973","2,973","2,973","2,973","2,973","2,973","2,973","2,973","2,973","2,973"
Total Revenue,"126,437","141,549","150,578","149,329","155,276","152,150","157,722","169,856",,,"39,079","38,580","41,205","40,933","42,228","42,110","44,584","43,262","44,081","44,733"
"Cost of Revenue, Total","76,220","83,951","88,936","83,548","84,819","82,992","92,259","103,456",,,"22,535","22,080","24,552","23,718","25,299","26,023","28,414","26,976","26,879","26,637"
Gross Profit,"50,217","57,598","61,642","65,781","70,457","69,158","65,463","66,400",,,"16,544","16,500","16,653","17,215","16,929","16,087","16,170","16,286","17,202","18,096"
"Selling/General/Administrative Expenses, Total","11,234","12,110","15,087","19,097","20,359","29,926","25,220","26,472",,,"6,749","6,636","6,362","6,384","6,253","6,835","7,000","6,297","7,094","6,361"
Operating Income,"39,235","46,194","46,878","47,013","50,547","39,232","40,243","39,928",,,"9,795","9,864","10,291","10,831","10,675","9,251","9,170","9,989","10,108","11,735"
Net Income,"22,218","34,883","36,274","36,033","39,152","30,667","30,077","29,682",,,"7,215","7,469","7,701","8,037","8,005","6,800","6,839","7,570","7,754","8,800"
