,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,10.8,13.1,14.6,18.0,19.9,,,14.5,14.8,15.1,15.6,18.4,18.5,17.1,18.3,21.0,20.8
Earnings per Share,,,,0.020,1.64,1.05,1.08,1.12,,,0.26,0.37,0.20,0.27,0.28,0.36,0.21,0.30,0.30,0.36
Revenue per Share,,,,0.054,2.32,2.40,2.52,2.67,,,0.64,0.64,0.64,0.64,0.67,0.70,0.67,0.67,0.69,0.69
Dividend per Share,,,,0.00,0.78,0.85,0.88,0.92,,,0.28,,0.88,0.15,0.30,,0.92,0.15,0.30,0.16
Capital Expenditures per Share,,,,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Book Value per Share,,,,10.2,11.5,11.4,11.6,11.8,,,11.5,11.6,11.6,11.6,11.7,11.9,11.8,11.8,12.0,12.2
Price to Earnings Ratio,,,,515.0,6.96,13.6,13.7,14.5,,,13.0,13.1,13.7,14.4,14.5,14.8,14.5,15.6,16.0,15.6
Price to Book Value Ratio,,,,1.01,1.14,1.23,1.28,1.40,,,1.24,1.25,1.28,1.29,1.39,1.36,1.40,1.58,1.59,1.49
EV to EBITDA,,,,,13.5,15.4,15.9,15.6,,,14.6,14.9,15.9,15.4,15.8,15.4,15.6,16.0,16.7,17.1
Dividend Payout Ratio,,,,0.0%,47.3%,81.2%,81.8%,81.5%,,,25.7%,,81.8%,13.1%,26.6%,,81.5%,12.6%,25.9%,13.7%
Common Shares Outstanding,,,,488.1,488.1,488.1,488.1,488.1,,,488.1,488.1,488.1,488.1,488.1,488.1,488.1,488.1,488.1,488.1
Total Revenue,,,,26.5,"1,133","1,172","1,228","1,304",,,311.7,310.2,310.2,312.8,325.2,339.2,326.7,328.5,336.9,335.1
"Cost of Revenue, Total",,,,10.4,491.5,511.7,530.1,553.8,,,125.9,129.3,153.2,128.6,132.7,135.7,156.8,130.4,137.1,134.1
Gross Profit,,,,16.1,641.2,660.5,697.9,750.1,,,185.8,181.0,157.0,184.2,192.5,203.5,169.9,198.1,199.8,201.0
"Selling/General/Administrative Expenses, Total",,,,3.33,181.1,154.4,176.0,190.1,,,43.0,40.7,46.6,44.1,43.2,44.6,58.3,44.6,45.5,44.2
Operating Income,,,,12.8,460.1,506.1,521.8,560.0,,,142.8,140.3,110.4,140.1,149.2,158.9,111.7,153.5,154.3,156.8
Net Income,,,,12.0,799.5,512.6,526.6,548.6,,,127.6,180.7,99.9,132.3,137.3,175.2,103.8,146.1,147.0,174.7
EBITDA,,,,12.8,460.1,506.1,521.8,560.0,,,142.8,140.3,110.4,140.1,149.2,158.9,111.7,153.5,154.3,156.8
Gross Profit Margin,,,,60.8%,56.6%,56.3%,56.8%,57.5%,,,59.6%,58.3%,50.6%,58.9%,59.2%,60.0%,52.0%,60.3%,59.3%,60.0%
Operating Margin,,,,48.3%,40.6%,43.2%,42.5%,42.9%,,,45.8%,45.2%,35.6%,44.8%,45.9%,46.9%,34.2%,46.7%,45.8%,46.8%
Net Profit Margin,,,,45.2%,70.6%,43.7%,42.9%,42.1%,,,40.9%,58.3%,32.2%,42.3%,42.2%,51.6%,31.8%,44.5%,43.6%,52.1%
Return on Assets,,,,0.2%,11.6%,7.3%,7.4%,7.7%,,,7.5%,7.6%,7.4%,7.6%,7.6%,7.6%,7.8%,7.9%,8.0%,7.9%
Return on Equity,,,,0.2%,14.3%,9.2%,9.3%,9.5%,,,2.3%,3.2%,1.8%,2.3%,2.4%,3.0%,1.8%,2.5%,2.5%,2.9%
