,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,10.1,20.1,25.3,16.1,11.2,,,23.9,24.4,21.1,18.2,17.0,13.8,10.7,10.9,12.0,11.7
Earnings per Share,0.020,0.076,0.093,0.14,0.38,0.57,0.44,0.33,,,0.098,0.12,0.10,0.11,0.11,0.093,0.018,0.059,0.071,0.050
Revenue per Share,1.51,1.84,1.97,1.97,2.55,3.43,3.83,4.13,,,0.88,1.02,1.11,0.94,0.94,1.06,1.07,0.93,0.95,0.93
Dividend per Share,0.007,0.076,0.041,0.28,0.11,0.49,0.34,0.34,,,0.17,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.11,0.00
Capital Expenditures per Share,0.004,0.001,0.054,0.12,0.17,0.31,0.18,0.097,,,0.061,0.050,0.018,0.028,0.028,0.026,0.024,0.018,0.035,0.015
Book Value per Share,0.13,0.18,0.19,0.26,1.34,1.61,1.58,1.57,,,1.53,1.48,1.58,1.68,1.63,1.55,1.57,1.63,1.53,1.47
Price to Earnings Ratio,,,,,25.7,49.1,45.1,32.8,,,35.9,40.2,45.1,46.6,35.6,24.4,32.8,29.8,41.8,55.1
Price to Book Value Ratio,,,,,7.71,16.5,11.9,5.99,,,14.9,14.2,11.9,8.73,10.7,5.19,5.99,5.38,7.01,7.16
EV to EBITDA,,,,0.00,22.5,33.9,34.0,20.7,,,27.4,36.7,34.0,24.1,25.9,22.6,20.7,25.9,29.7,31.8
Dividend Payout Ratio,36.8%,99.1%,44.4%,192.6%,27.8%,86.0%,77.1%,102.2%,,,31.3%,0.0%,38.6%,0.0%,38.6%,0.0%,51.1%,0.0%,45.6%,0.0%
Common Shares Outstanding,"1,380","1,380","1,380","1,380","1,380","1,380","1,380","1,380",,,"1,380","1,380","1,380","1,380","1,380","1,380","1,380","1,380","1,380","1,380"
Total Revenue,"2,083","2,542","2,721","2,717","3,515","4,729","5,283","5,697",,,"1,219","1,409","1,527","1,291","1,294","1,465","1,472","1,284","1,315","1,280"
"Cost of Revenue, Total","1,466","1,792","1,783","1,779","2,259","3,019","3,595","3,933",,,826.4,994.6,"1,045",958.7,912.6,"1,030","1,031",938.8,937.5,926.0
Gross Profit,617.5,754.3,937.6,938.7,"1,256","1,711","1,688","1,765",,,392.5,414.0,482.5,332.0,381.3,434.9,440.9,345.5,377.2,354.0
"Selling/General/Administrative Expenses, Total",552.2,581.7,749.9,673.4,743.9,718.1,861.6,"1,219",,,218.7,215.7,266.0,163.7,206.7,274.1,398.8,249.8,260.4,268.5
Operating Income,65.3,172.6,187.7,265.3,511.9,992.5,826.2,545.8,,,173.7,198.4,216.5,168.3,174.6,160.8,42.1,95.7,116.9,85.4
Net Income,27.2,105.4,128.3,198.6,396.9,781.8,608.4,459.2,,,135.3,160.0,142.2,151.7,154.0,128.8,24.7,81.3,98.4,68.7
EBITDA,111.1,229.4,251.9,329.2,582.3,"1,061",915.5,666.1,,,197.7,223.6,240.0,195.7,204.6,194.0,72.4,133.4,157.0,127.4
Gross Profit Margin,29.6%,29.7%,34.5%,34.5%,35.7%,36.2%,31.9%,31.0%,,,32.2%,29.4%,31.6%,25.7%,29.5%,29.7%,30.0%,26.9%,28.7%,27.7%
Operating Margin,3.1%,6.8%,6.9%,9.8%,14.6%,21.0%,15.6%,9.6%,,,14.3%,14.1%,14.2%,13.0%,13.5%,11.0%,2.9%,7.5%,8.9%,6.7%
Net Profit Margin,1.3%,4.1%,4.7%,7.3%,11.3%,16.5%,11.5%,8.1%,,,11.1%,11.4%,9.3%,11.8%,11.9%,8.8%,1.7%,6.3%,7.5%,5.4%
Return on Assets,2.8%,10.5%,12.1%,16.8%,19.4%,26.5%,19.0%,12.9%,,,21.9%,20.4%,18.0%,17.0%,16.0%,14.0%,11.4%,10.0%,8.5%,7.1%
