,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,12.5,8.78,5.93,6.02,9.65,14.9,15.5,10.1,,,13.2,17.8,19.0,16.9,16.1,13.7,11.9,11.7,9.70,8.77
Earnings per Share,0.27,-0.49,-0.11,-2.98,0.49,1.92,2.11,0.64,,,-0.080,0.89,0.86,0.28,0.83,0.32,-0.78,0.30,-0.27,-0.37
Revenue per Share,59.4,69.9,70.0,63.0,49.0,43.5,51.2,58.0,,,11.7,12.5,14.2,13.5,14.5,14.8,14.7,13.3,13.2,11.4
Dividend per Share,0.25,0.050,,,,,1.00,0.30,,,,,1.00,,0.20,0.00,0.10,,,
Capital Expenditures per Share,1.15,0.24,0.33,0.34,0.27,0.41,0.32,0.38,,,0.065,0.075,0.13,0.090,0.057,0.085,0.14,0.10,0.11,0.11
Book Value per Share,7.09,6.62,6.52,3.44,3.98,5.99,8.14,7.46,,,6.46,7.37,8.14,8.30,8.09,8.23,7.46,7.78,7.42,7.02
Price to Earnings Ratio,49.3,,,,10.4,5.88,8.45,17.0,,,13.2,8.51,8.49,7.55,5.53,5.38,16.8,14.1,,
Price to Book Value Ratio,1.81,1.44,0.94,1.71,1.28,1.84,2.16,1.47,,,2.09,2.39,2.16,1.40,1.93,1.24,1.47,1.39,1.08,1.23
EV to EBITDA,17.8,-122.6,-304.4,-3.55,9.93,5.81,7.86,18.1,,,9.88,7.05,7.86,7.82,4.87,6.47,18.1,15.9,-32.8,-10.1
Dividend Payout Ratio,92.1%,-10.2%,,,,,47.5%,46.7%,,,,,47.7%,,7.0%,0.0%,15.4%,,,
Common Shares Outstanding,"3,461","3,461","3,461","3,461","3,461","3,461","3,461","3,461",,,"3,461","3,461","3,461","3,461","3,461","3,461","3,461","3,461","3,461","3,461"
Total Revenue,"205,710","242,073","242,305","218,187","169,535","150,500","177,356","200,798",,,"40,529","43,241","49,190","46,763","50,151","51,202","50,942","45,959","45,581","39,517"
"Cost of Revenue, Total","197,773","239,631","238,944","226,673","161,540","136,910","164,146","192,587",,,"39,810","38,255","44,512","44,663","45,560","49,022","53,342","43,375","45,463","39,795"
Gross Profit,"7,937","2,442","3,361","-8,486","7,996","13,590","13,210","8,212",,,719.1,"4,986","4,677","2,101","4,591","2,180","-2,400","2,584",118.0,-277.6
"Selling/General/Administrative Expenses, Total","4,677","5,124","5,663","5,900","6,029","5,866","5,707","5,769",,,"1,391","1,459","1,456","1,350","1,473","1,443","1,504","1,455","1,557","1,619"
Operating Income,"3,260",372.8,566.8,"-11,838","2,322","8,238","8,852","2,442",,,-430.7,"3,776","3,665","1,096","3,449","1,318","-3,422","1,204","-1,273","-1,677"
Net Income,939.7,"-1,699",-378.8,"-10,307","1,700","6,649","7,288","2,225",,,-263.4,"3,097","2,958",953.2,"2,865","1,103","-2,696","1,027",-927.4,"-1,295"
EBITDA,"4,518","2,510","2,720","-9,718","4,491","10,260","10,822","4,453",,,64.6,"4,273","4,160","1,583","3,952","1,827","-2,916","1,706",-761.6,"-1,162"
Gross Profit Margin,3.9%,1.0%,1.4%,-3.9%,4.7%,9.0%,7.4%,4.1%,,,1.8%,11.5%,9.5%,4.5%,9.2%,4.3%,-4.7%,5.6%,0.3%,-0.7%
