,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,1.18,2.79,2.13,2.54,3.09,5.26,6.92,6.82,,,5.17,6.72,6.70,6.66,7.06,6.88,6.30,6.93,7.53,6.55
Earnings per Share,0.074,0.13,0.20,0.19,0.20,0.23,0.30,0.43,,,0.068,0.080,0.085,0.096,0.10,0.11,0.12,0.13,0.14,0.13
Revenue per Share,0.15,0.24,0.39,0.45,0.47,0.54,0.64,0.78,,,0.15,0.16,0.17,0.19,0.19,0.20,0.21,0.21,0.22,0.21
Dividend per Share,0.028,0.011,0.013,0.016,0.12,0.13,0.019,0.23,,,,,0.019,,,,0.23,,0.16,0.00
Capital Expenditures per Share,0.001,0.000,0.002,0.001,0.014,0.012,0.001,0.002,,,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.000,0.000
Book Value per Share,0.56,0.66,0.85,1.03,1.21,1.33,1.49,1.91,,,1.33,1.41,1.49,1.59,1.67,1.79,1.91,2.04,1.94,1.90
Price to Earnings Ratio,7.59,15.9,9.91,16.2,10.9,15.0,21.2,13.9,,,15.8,20.9,21.2,18.8,17.5,17.3,13.9,12.3,14.2,11.1
Price to Book Value Ratio,1.04,4.14,2.52,2.08,1.62,2.41,4.03,2.89,,,3.14,4.92,4.03,3.66,4.52,3.34,2.89,3.39,3.68,3.05
EV to EBITDA,29.4,35.9,28.6,31.5,27.8,28.9,37.6,26.3,,,30.8,36.2,37.6,34.1,31.3,30.9,26.3,25.3,25.6,23.6
Dividend Payout Ratio,38.1%,8.5%,6.4%,8.6%,58.1%,58.3%,6.4%,53.4%,,,,,6.4%,,,,53.4%,,31.9%,0.0%
Common Shares Outstanding,"3,775","3,775","3,775","3,775","3,775","3,775","3,775","3,775",,,"3,775","3,775","3,775","3,775","3,775","3,775","3,775","3,775","3,775","3,775"
Total Revenue,456.1,829.6,"1,211","1,250","1,354","1,542","1,901","2,555",,,436.7,496.3,538.6,576.9,614.6,670.4,693.0,763.4,775.1,743.6
"Cost of Revenue, Total",,,,,,,,,,,,,,,,,,,,
Gross Profit,375.7,748.3,"1,106","1,090","1,169","1,314","1,656","2,272",,,377.9,432.7,473.4,508.0,542.5,609.9,611.5,681.7,674.8,651.0
"Selling/General/Administrative Expenses, Total",148.0,211.3,255.4,352.6,408.2,439.6,495.7,503.6,,,116.3,119.4,140.3,124.6,123.8,134.1,121.0,138.0,139.4,147.2
Operating Income,308.1,618.3,955.2,897.1,945.4,"1,102","1,406","2,051",,,320.4,376.9,398.3,452.3,490.8,536.3,572.0,625.4,635.7,596.5
Net Income,204.9,477.4,754.2,704.1,748.7,881.2,"1,126","1,641",,,258.0,302.0,320.0,363.5,391.8,430.5,454.9,496.3,511.0,474.7
EBITDA,314.4,625.8,963.9,906.0,957.1,"1,117","1,425","2,070",,,326.3,382.9,399.9,458.2,496.7,542.2,573.2,630.5,641.0,601.5
Gross Profit Margin,64.5%,82.2%,74.7%,64.8%,66.2%,64.5%,68.3%,76.8%,,,64.8%,70.1%,72.2%,72.5%,74.5%,82.0%,77.9%,86.0%,82.7%,81.1%
Operating Margin,52.9%,67.9%,64.6%,53.3%,53.5%,54.1%,58.0%,69.4%,,,54.9%,61.0%,60.8%,64.6%,67.4%,72.1%,72.9%,78.9%,77.9%,74.3%
Net Profit Margin,44.9%,57.5%,62.3%,56.3%,55.3%,57.1%,59.2%,64.2%,,,59.1%,60.8%,59.4%,63.0%,63.8%,64.2%,65.6%,65.0%,65.9%,63.8%
Return on Assets,1.9%,3.0%,3.2%,2.6%,2.6%,2.8%,3.1%,3.8%,,,2.7%,2.8%,2.9%,3.1%,3.2%,3.4%,3.5%,3.7%,3.8%,3.8%
Return on Equity,9.7%,19.0%,23.4%,18.2%,16.4%,17.6%,20.0%,22.8%,,,5.2%,5.7%,5.7%,6.1%,6.2%,6.4%,6.3%,6.5%,7.0%,6.6%
Return on Total Capital,3.1%,3.8%,4.3%,3.8%,4.7%,6.9%,5.2%,6.7%,,,5.2%,5.5%,5.2%,5.5%,5.6%,6.3%,6.7%,6.8%,8.3%,7.8%
SG&A to Sale,25.4%,23.2%,17.3%,21.0%,23.1%,21.6%,20.4%,17.0%,,,19.9%,19.3%,21.4%,17.8%,17.0%,18.0%,15.4%,17.4%,17.1%,18.3%
Depreciation & Amortisation,6.39,7.45,8.64,8.85,11.7,14.9,19.5,18.9,,,5.95,6.00,1.67,5.87,5.93,5.92,1.19,5.16,5.30,5.00
Tax Rate,33.5%,22.8%,21.0%,21.5%,20.8%,20.1%,19.9%,20.0%,,,19.5%,19.9%,19.6%,19.6%,20.2%,19.7%,20.5%,20.6%,19.6%,20.4%
Current Ratio,2.14,2.89,2.81,3.02,2.16,1.60,2.18,2.05,,,2.02,1.96,2.18,2.14,2.22,2.06,2.05,2.11,1.82,1.94
Quick Ratio,2.13,2.86,2.78,2.99,2.14,1.59,2.15,2.02,,,2.01,1.94,2.15,2.12,2.20,2.04,2.02,2.09,1.80,1.91
Days Inventory Outstanding,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Days Sale Outstanding,"7,644","7,569","6,628","5,935","5,990","5,874","5,818","5,736",,,"5,884","5,902","5,818","5,871","5,836","5,788","5,736","5,736","5,706","5,671"
Days Payable Outstanding,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cash Conversion Cycle,7.25,6.76,7.27,9.38,10.2,9.30,8.09,7.48,,,8.67,8.77,8.51,8.31,8.85,8.96,8.42,8.10,7.88,7.62
Debt to Asset Ratio,0.83,0.87,0.88,0.86,0.85,0.85,0.86,0.85,,,0.86,0.86,0.86,0.86,0.86,0.85,0.85,0.84,0.85,0.86
Debt to Equity Ratio,4.82,6.66,7.47,6.18,5.46,5.66,6.02,5.61,,,6.25,6.19,6.02,6.00,5.98,5.79,5.61,5.37,5.83,6.08
Interest Coverage Ratio,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,20.2,177.8,182.8,204.2,163.9,117.9,190.4,213.9,,,82.5,71.6,190.4,48.9,20.9,55.3,213.9,190.9,246.4,528.9
"Total Receivables, Net","12,192","18,886","26,872","27,352","28,971","32,800","38,653","46,478",,,"35,658","37,490","38,653","41,118","43,200","44,841","46,478","47,930","49,042","49,674"
Total Inventory,,,,,,,,,,,,,,,,,,,,
Total Current Assets,"12,238","19,130","27,164","27,648","29,238","33,003","39,072","47,073",,,"35,890","37,767","39,072","41,483","43,585","45,293","47,073","48,505","49,593","50,433"
