,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,2.65,5.31,4.05,3.56,3.70,4.05,3.40,3.14,,,3.89,4.06,3.86,3.58,3.40,3.02,2.90,3.20,3.17,3.01
Earnings per Share,0.13,1.00,0.16,0.31,0.14,0.26,0.20,0.26,,,-0.050,0.090,0.10,0.080,0.078,0.050,0.040,0.15,0.087,0.070
Revenue per Share,13.5,15.1,21.5,22.5,17.7,17.6,21.2,25.6,,,5.11,5.13,5.59,6.09,6.52,6.52,6.45,6.24,6.96,6.40
Dividend per Share,0.080,0.12,,0.080,0.080,0.11,0.11,0.13,,,0.020,0.00,0.090,,0.050,0.00,0.080,,0.080,0.00
Capital Expenditures per Share,0.32,0.14,0.047,0.22,0.16,0.15,0.099,0.21,,,0.016,0.027,0.046,0.012,0.035,0.081,0.079,0.051,0.028,0.043
Book Value per Share,1.32,2.23,2.44,2.69,2.82,3.05,3.27,3.25,,,3.09,3.18,3.27,3.25,3.19,3.23,3.25,3.42,3.45,3.42
Price to Earnings Ratio,9.84,3.89,19.3,12.9,18.7,16.1,18.9,11.2,,,31.7,26.1,19.2,15.8,9.19,9.08,11.6,9.14,9.46,8.39
Price to Book Value Ratio,0.92,2.89,1.25,1.25,0.91,1.37,1.08,0.87,,,1.16,1.17,1.08,0.98,1.01,0.75,0.87,0.97,0.85,0.82
EV to EBITDA,5.84,36.8,13.9,15.4,9.55,7.89,7.58,6.09,,,7.53,7.93,7.58,6.30,5.77,5.93,6.09,5.40,5.56,5.13
Dividend Payout Ratio,59.6%,12.0%,,25.8%,57.1%,42.5%,55.0%,50.4%,,,18.6%,0.0%,45.6%,,14.4%,0.0%,32.2%,,24.6%,0.0%
Common Shares Outstanding,"1,060","1,060","1,100","1,100","1,100","1,100","1,100","1,100",,,"1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,098","1,058","1,050"
Total Revenue,"14,293","16,038","23,605","24,777","19,463","19,330","23,357","28,134",,,"5,619","5,646","6,149","6,695","7,175","7,171","7,093","6,856","7,357","6,715"
"Cost of Revenue, Total","13,621","15,307","22,234","23,695","18,275","17,891","21,869","26,675",,,"5,265","5,247","5,778","6,311","6,795","6,812","6,757","6,411","6,940","6,330"
