,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,22.8,26.9,19.6,17.2,38.8,47.6,22.6,8.58,,,44.0,44.1,30.7,19.0,16.1,12.1,9.50,9.20,9.28,7.45
Earnings per Share,0.81,1.96,1.02,1.11,1.19,1.89,1.02,-0.98,,,0.22,0.28,0.10,0.034,-0.054,-0.45,-0.52,-0.19,-0.22,-0.13
Revenue per Share,13.3,22.4,18.6,17.5,19.4,23.5,21.3,19.5,,,4.96,5.39,5.51,4.92,4.87,4.41,5.28,4.76,4.51,4.43
Dividend per Share,,0.75,0.53,0.56,0.60,0.95,0.55,,,,0.30,0.00,0.25,,,,,,,
Capital Expenditures per Share,0.22,0.81,0.51,0.65,0.24,2.37,1.52,0.33,,,0.49,0.39,0.036,0.13,0.19,-0.015,0.026,0.11,0.074,0.12
Book Value per Share,1.95,3.62,2.98,3.67,4.46,5.62,5.76,4.15,,,5.68,5.65,5.76,5.40,5.15,4.69,4.15,3.96,3.67,3.27
Price to Earnings Ratio,10.9,16.8,16.0,14.7,13.7,27.1,22.6,,,,24.8,29.0,22.6,25.1,38.6,,,,,
Price to Book Value Ratio,6.18,9.89,5.46,4.84,3.87,8.76,3.77,1.89,,,6.86,6.76,3.77,2.28,2.93,1.70,1.89,2.17,2.19,1.99
EV to EBITDA,7.07,11.9,10.3,11.5,10.0,17.6,21.4,-55.8,,,13.2,19.2,21.4,17.0,18.4,49.0,-55.8,-30.1,-24.6,-97.0
Dividend Payout Ratio,,38.2%,51.2%,50.1%,50.6%,50.2%,53.9%,,,,18.4%,0.0%,24.5%,,,,,,,
Common Shares Outstanding,280.0,280.0,279.5,276.0,280.0,280.0,280.0,276.0,,,280.0,280.0,280.0,278.4,276.0,276.0,276.0,276.0,276.0,276.0
Total Revenue,"3,726","6,283","5,194","4,830","5,437","6,573","5,970","5,389",,,"1,388","1,510","1,543","1,371","1,343","1,216","1,458","1,314","1,244","1,222"
"Cost of Revenue, Total","2,581","4,491","3,636","3,165","3,696","4,438","4,216","4,165",,,991.9,"1,054","1,129","1,022",997.8,955.0,"1,189","1,074","1,065",991.6
Gross Profit,"1,145","1,792","1,558","1,665","1,740","2,135","1,754","1,224",,,396.3,456.2,413.8,348.7,344.9,261.2,268.2,239.6,179.3,230.5
"Selling/General/Administrative Expenses, Total",878.2,"1,006","1,163","1,248","1,313","1,406","1,396","1,511",,,317.3,351.3,385.5,330.4,359.0,402.2,444.4,294.0,237.2,234.4
Operating Income,266.8,786.9,394.1,416.7,426.8,729.3,358.7,-287.0,,,79.1,104.9,28.2,18.3,-14.1,-141.0,-176.1,-54.3,-57.8,-3.89
Net Income,227.7,549.1,287.0,307.0,330.8,530.0,285.6,-272.6,,,61.4,77.6,28.1,9.46,-14.9,-123.9,-143.2,-51.6,-62.1,-35.0
EBITDA,316.8,847.9,471.7,498.5,518.5,873.8,539.3,-67.3,,,124.8,151.1,71.9,75.9,48.0,-80.1,-128.8,16.9,2.27,66.5
Gross Profit Margin,30.7%,28.5%,30.0%,34.5%,32.0%,32.5%,29.4%,22.7%,,,28.5%,30.2%,26.8%,25.4%,25.7%,21.5%,18.4%,18.2%,14.4%,18.9%
Operating Margin,7.2%,12.5%,7.6%,8.6%,7.9%,11.1%,6.0%,-5.3%,,,5.7%,6.9%,1.8%,1.3%,-1.0%,-11.6%,-12.1%,-4.1%,-4.6%,-0.3%
Net Profit Margin,6.1%,8.7%,5.5%,6.4%,6.1%,8.1%,4.8%,-5.1%,,,4.4%,5.1%,1.8%,0.7%,-1.1%,-10.2%,-9.8%,-3.9%,-5.0%,-2.9%
Return on Assets,10.2%,21.9%,11.1%,11.4%,11.0%,15.9%,7.1%,-6.1%,,,12.0%,9.4%,6.7%,3.9%,2.2%,-2.2%,-6.0%,-7.3%,-8.4%,-6.6%
Return on Equity,41.7%,54.2%,34.5%,30.3%,26.5%,33.7%,17.7%,-23.8%,,,3.9%,4.9%,1.7%,0.6%,-1.0%,-9.6%,-12.5%,-4.7%,-6.1%,-3.9%
Return on Total Capital,41.1%,53.9%,34.3%,28.0%,25.0%,31.7%,14.7%,-15.1%,,,27.5%,21.8%,14.7%,9.4%,5.3%,-5.3%,-15.1%,-18.5%,-22.9%,-19.2%
SG&A to Sale,23.6%,16.0%,22.4%,25.8%,24.2%,21.4%,23.4%,28.0%,,,22.9%,23.3%,25.0%,24.1%,26.7%,33.1%,30.5%,22.4%,19.1%,19.2%
Depreciation & Amortisation,50.1,61.1,77.6,81.7,91.7,144.4,180.6,219.7,,,45.7,46.2,43.7,57.6,62.0,60.9,47.3,71.3,60.1,70.4
