,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,,,,24.7,47.5,,,,,,,,24.7,30.6,42.5,50.6,59.1
Earnings per Share,,,,,0.000,0.69,0.89,1.77,,,0.38,0.28,0.18,0.39,0.32,0.31,0.54,0.36,0.41,0.42
Revenue per Share,,,,,7.46,7.63,7.61,8.42,,,,,2.10,,2.01,2.00,2.36,2.24,2.28,2.30
Dividend per Share,,,,,0.00,0.00,0.00,0.30,,,,,0.00,,0.00,0.00,0.30,,0.65,0.00
Capital Expenditures per Share,,,,,0.062,0.19,0.17,0.069,,,,,0.025,,0.009,0.009,0.009,0.006,0.022,0.015
Book Value per Share,,,,,0.002,1.13,1.25,7.15,,,,,1.25,,1.53,1.46,7.15,7.51,7.64,7.40
Price to Earnings Ratio,,,,,,,,14.7,,,,,,,,19.0,16.7,21.2,30.4,31.4
Price to Book Value Ratio,,,,,,,,4.34,,,,,,,,15.7,4.34,4.93,6.05,8.92
EV to EBITDA,,,,,,,0.00,10.0,,,0.00,0.00,0.00,0.00,0.00,0.00,10.0,15.5,19.6,19.4
Dividend Payout Ratio,,,,,0.0%,0.0%,0.0%,16.9%,,,,,0.0%,,0.0%,0.0%,19.2%,,40.3%,0.0%
Common Shares Outstanding,,,,,300.0,300.0,300.0,300.0,,,,,300.0,,300.0,300.0,300.0,300.0,300.0,300.0
Total Revenue,,,,,"2,237","2,289","2,282","2,525",,,562.6,539.3,629.8,613.9,604.0,600.2,706.9,671.9,684.8,689.6
"Cost of Revenue, Total",,,,,"1,229","1,225","1,172","1,287",,,,269.1,344.6,314.7,297.3,303.7,371.6,355.2,345.8,343.1
Gross Profit,,,,,"1,008","1,253","1,109","1,238",,,562.6,270.2,285.2,299.2,306.7,296.6,335.3,316.7,339.1,346.4
"Selling/General/Administrative Expenses, Total",,,,,821.9,"1,023",775.2,736.4,,,184.9,192.5,217.3,189.1,186.7,182.4,178.3,185.1,189.2,189.9
Operating Income,,,,,185.9,240.0,334.2,501.3,,,106.3,77.8,67.9,110.1,120.0,114.2,157.0,131.6,149.8,156.5
Net Income,,,,,-0.004,46.7,268.3,404.3,,,85.0,62.8,55.3,88.4,94.6,93.1,128.1,106.6,122.5,127.3
EBITDA,,,,,237.3,283.1,377.1,545.4,,,118.7,90.3,73.4,122.6,132.6,126.8,167.7,141.4,159.3,165.0
Gross Profit Margin,,,,,45.1%,54.7%,48.6%,49.0%,,,100.0%,50.1%,45.3%,48.7%,50.8%,49.4%,47.4%,47.1%,49.5%,50.2%
Operating Margin,,,,,8.3%,10.5%,14.6%,19.9%,,,18.9%,14.4%,10.8%,17.9%,19.9%,19.0%,22.2%,19.6%,21.9%,22.7%
Net Profit Margin,,,,,0.0%,2.0%,11.8%,16.0%,,,15.1%,11.6%,8.8%,14.4%,15.7%,15.5%,18.1%,15.9%,17.9%,18.5%
Return on Assets,,,,,0.0%,2.4%,14.2%,14.1%,,,,,14.6%,15.3%,32.4%,17.8%,14.2%,11.0%,11.7%,12.7%
Return on Equity,,,,,-0.8%,13.8%,71.3%,18.8%,,,0.0%,0.0%,14.7%,0.0%,20.6%,21.3%,6.0%,4.7%,5.3%,5.7%
Return on Total Capital,,,,,-0.8%,13.8%,71.3%,18.8%,,,0.0%,0.0%,73.9%,0.0%,65.7%,75.9%,18.8%,18.8%,19.6%,21.8%
SG&A to Sale,,,,,36.7%,44.7%,34.0%,29.2%,,,32.9%,35.7%,34.5%,30.8%,30.9%,30.4%,25.2%,27.5%,27.6%,27.5%
Depreciation & Amortisation,,,,,51.4,43.0,42.8,44.2,,,12.4,12.6,5.52,12.5,12.6,12.7,10.7,9.71,9.48,8.54
Tax Rate,,,,,24.5%,22.2%,19.7%,19.3%,,,20.0%,19.3%,18.6%,19.4%,20.9%,18.5%,18.5%,18.6%,18.3%,18.6%
Current Ratio,,,,,0.94,1.13,1.09,2.03,,,,,1.09,,1.14,1.13,2.03,2.15,2.06,1.94
Quick Ratio,,,,,0.59,0.64,0.35,1.06,,,0.00,0.00,0.35,0.00,0.36,0.32,1.06,0.78,0.81,0.76
Days Inventory Outstanding,,,,,,1.70,1.70,1.45,,,,,3.09,2.05,0.78,1.46,1.41,1.30,1.13,1.03
Days Sale Outstanding,,,,,146.1,149.4,82.1,87.4,,,,,81.8,,74.5,65.2,87.4,82.4,75.4,73.8
Days Payable Outstanding,,,,,291.7,270.0,129.1,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cash Conversion Cycle,,,,,-291.7,-190.7,29.8,2.91,,,,,4.55,3.47,1.54,2.76,2.73,3.05,3.43,3.65
Debt to Asset Ratio,,,,,0.80,0.82,0.80,0.44,,,,,0.80,,0.75,0.76,0.44,0.42,0.40,0.42
Debt to Equity Ratio,,,,,"3,394",4.55,4.06,0.78,,,,,4.06,,3.06,3.25,0.78,0.71,0.67,0.72
Interest Coverage Ratio,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,,,,,436.4,323.2,544.7,"1,968",,,,,544.7,,377.3,403.1,"1,968","1,940","1,750","1,676"
"Total Receivables, Net",,,,,895.5,936.8,513.1,604.5,,,,,513.1,,487.1,437.3,604.5,583.1,550.0,556.5
Total Inventory,,,,,,5.70,5.22,5.04,,,,,5.22,,5.23,4.88,5.04,4.40,4.15,3.84
Total Current Assets,,,,,"1,465","1,691","1,615","3,287",,,,,"1,615",,"1,528","1,533","3,287","3,316","2,997","2,959"
"Property/Plant/Equipment, Total - Net",,,,,107.4,121.5,125.0,92.3,,,,,125.0,,109.0,101.4,92.3,87.3,81.9,78.3
Total Assets,,,,,"2,004","1,885","1,906","3,825",,,,,"1,906",,"1,860","1,855","3,825","3,857","3,826","3,829"
Accounts Payable,,,,,982.3,829.4,,,,,,,,,,,,,,
Accrued Expenses,,,,,191.8,959.7,998.1,"1,062",,,,,998.1,,764.8,750.9,"1,062",929.8,828.5,850.6
Debt Due,,,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total Current Liabilities,,,,,"1,565","1,502","1,478","1,622",,,,,"1,478",,"1,346","1,360","1,622","1,541","1,454","1,529"
Long Term Debt,,,,,,,,,,,,,,,,,,,,
Total Liabilities,,,,,"1,602","1,545","1,530","1,680",,,,,"1,530",,"1,402","1,418","1,680","1,605","1,533","1,608"
Common Stock,,,,,0.50,225.0,225.0,300.0,,,,,225.0,,225.0,225.0,300.0,300.0,300.0,300.0
Additional Paid-In Capital,,,,,,,,"1,607",,,,,,,,,"1,607","1,607","1,607","1,607"
Retained Earnings (Accumulated Deficit),,,,,-0.028,46.7,83.5,170.6,,,,,83.5,,233.2,143.7,170.6,277.1,309.6,241.9
Shareholders' Equity,,,,,0.47,339.6,376.5,"2,145",,,,,376.5,,458.2,436.6,"2,145","2,252","2,293","2,221"
Cash from Operating Activities,,,,,230.8,274.5,222.7,246.5,,,-21.5,142.8,123.0,-12.6,31.3,140.9,86.9,76.2,89.5,180.4
Cash from Investing Activities,,,,,-48.8,-176.9,246.7,"-1,324",,,100.8,47.1,-2.11,-39.8,-39.8,-0.36,"-1,244",-333.2,35.3,-41.9
Cash from Financing Activities,,,,,-52.0,-184.6,-225.0,"1,386",,,,-225.0,-0.001,,-101.2,-114.7,"1,602",,-90.0,-195.0
Net Change in Cash,,,,,130.0,-113.3,244.4,308.9,,,79.3,-35.1,120.9,-52.4,-109.8,25.8,445.2,-257.0,34.7,-56.5
Free Cashflows,,,,,212.2,218.8,171.7,225.8,,,-38.3,132.8,115.5,-24.9,28.5,138.1,84.1,74.5,83.0,176.0
Free Cashflow per Share,,,,,0.71,0.73,0.57,0.75,,,,,0.39,,0.095,0.46,0.28,0.25,0.28,0.59
