,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,10.3,8.55,8.73,7.09,5.16,,,8.78,9.63,8.65,7.50,6.55,5.61,5.19,5.30,5.01,4.93
Earnings per Share,,0.21,0.19,0.13,0.16,0.053,0.40,0.19,,,0.034,0.18,0.18,0.14,0.15,0.036,-0.14,-0.020,-0.038,0.047
Revenue per Share,,0.61,0.68,0.61,0.82,0.93,1.19,1.23,,,0.12,0.48,0.41,0.46,0.25,0.25,0.20,0.13,0.13,0.12
Dividend per Share,,0.00,0.033,0.033,,0.20,0.030,0.090,,,,,0.030,,,,0.090,,,
Capital Expenditures per Share,,0.084,0.00,0.054,0.002,0.005,0.00,0.007,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Book Value per Share,,1.34,1.57,1.67,3.26,3.16,3.09,3.22,,,2.95,3.12,3.09,3.16,3.45,3.34,3.22,3.13,2.87,2.91
Price to Earnings Ratio,,,,,51.0,130.4,19.4,26.2,,,,70.7,19.4,13.6,9.04,10.9,26.4,188.4,,
Price to Book Value Ratio,,,,,2.78,2.64,2.53,1.61,,,2.71,2.80,2.53,2.04,1.81,1.33,1.61,1.61,1.68,1.64
EV to EBITDA,,,,0.00,25.1,15.3,14.4,11.4,,,20.3,16.0,14.4,9.20,8.32,9.52,11.4,20.0,20.7,31.8
Dividend Payout Ratio,,0.0%,17.8%,24.7%,,375.4%,7.6%,47.4%,,,,,7.6%,,,,47.8%,,,
Common Shares Outstanding,,935.0,935.0,935.0,935.0,935.0,935.0,935.0,,,935.0,935.0,935.0,935.0,935.0,935.0,935.0,935.0,935.0,935.0
Total Revenue,,566.9,639.7,574.7,768.9,873.9,"1,116","1,151",,,114.8,450.8,387.3,426.9,229.7,235.3,185.6,123.9,120.3,114.6
"Cost of Revenue, Total",,230.2,289.9,322.5,389.0,353.1,408.9,431.4,,,62.6,150.2,120.1,133.2,133.8,86.8,77.6,58.3,60.4,54.7
Gross Profit,,336.7,349.8,252.3,380.0,520.8,707.1,719.9,,,52.2,300.5,267.2,293.7,95.9,148.5,108.0,65.5,59.9,60.0
"Selling/General/Administrative Expenses, Total",,79.3,134.3,88.1,101.6,109.4,74.5,159.1,,,26.4,25.2,-8.71,32.9,46.4,25.0,54.8,35.3,26.3,32.6
Operating Income,,259.0,215.5,164.1,262.6,411.4,632.6,560.8,,,25.8,275.4,275.9,260.8,49.6,123.5,53.1,30.3,33.6,27.3
Net Income,,197.3,173.1,124.4,121.4,49.8,369.4,176.1,,,32.0,164.1,171.3,132.9,142.2,34.0,-133.0,-18.4,-35.6,43.8
EBITDA,,314.8,286.3,245.1,353.7,508.4,716.6,642.7,,,48.8,297.5,291.4,280.0,71.3,143.2,74.4,51.1,52.4,46.8
Gross Profit Margin,,59.4%,54.7%,43.9%,49.4%,59.6%,63.4%,62.5%,,,45.5%,66.7%,69.0%,68.8%,41.8%,63.1%,58.2%,52.9%,49.8%,52.3%
Operating Margin,,45.7%,33.7%,28.6%,34.1%,47.1%,56.7%,48.7%,,,22.5%,61.1%,71.2%,61.1%,21.6%,52.5%,28.6%,24.4%,27.9%,23.8%
Net Profit Margin,,34.8%,27.1%,21.6%,15.8%,5.7%,33.1%,15.3%,,,27.9%,36.4%,44.2%,31.1%,61.9%,14.5%,-71.7%,-14.8%,-29.6%,38.2%
Return on Assets,,8.7%,7.1%,4.7%,3.2%,1.0%,6.4%,2.7%,,,-0.3%,2.0%,5.8%,8.2%,9.6%,7.4%,2.7%,0.4%,-2.4%,-2.1%
Return on Equity,,15.8%,11.8%,8.0%,4.0%,1.7%,12.8%,5.8%,,,1.2%,5.6%,5.9%,4.5%,4.4%,1.1%,-4.4%,-0.6%,-1.3%,1.6%
Return on Total Capital,,15.8%,11.8%,8.0%,3.7%,1.4%,7.2%,3.7%,,,-0.3%,2.3%,7.2%,9.9%,11.9%,9.7%,3.7%,0.6%,-3.4%,-2.9%
SG&A to Sale,,14.0%,21.0%,15.3%,13.2%,12.5%,6.7%,13.8%,,,23.0%,5.6%,-2.2%,7.7%,20.2%,10.6%,29.5%,28.5%,21.9%,28.5%
Depreciation & Amortisation,,55.8,70.8,81.0,91.1,97.0,84.0,81.9,,,23.0,22.2,15.5,19.3,21.7,19.7,21.2,20.8,18.8,19.5
