,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,5.19,6.54,4.71,5.53,8.23,8.58,5.90,5.12,,,8.60,8.23,7.43,5.90,4.94,4.46,3.99,5.20,5.59,4.35
Earnings per Share,0.14,0.18,0.19,0.11,0.24,0.30,0.32,0.41,,,0.070,0.076,0.083,0.081,0.047,0.21,0.075,0.088,0.068,0.064
Revenue per Share,0.53,0.86,1.05,1.15,1.36,1.65,1.76,1.73,,,0.41,0.45,0.46,0.42,0.42,0.46,0.43,0.43,0.44,0.42
Dividend per Share,,0.16,0.18,0.18,0.19,0.21,0.26,0.28,,,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070
Capital Expenditures per Share,0.022,0.033,0.029,0.026,0.066,0.078,0.070,0.14,,,0.012,0.019,0.021,0.015,0.10,0.016,0.007,0.035,0.020,0.012
Book Value per Share,0.55,0.70,0.75,0.72,0.82,0.91,0.99,1.12,,,0.97,0.97,0.99,1.07,0.97,1.11,1.12,1.20,1.12,1.11
Price to Earnings Ratio,27.8,40.9,19.2,53.9,23.1,28.0,23.4,9.53,,,24.6,24.8,23.4,17.2,15.0,9.63,9.53,10.7,11.1,13.0
Price to Book Value Ratio,6.35,11.0,4.98,7.56,6.80,9.26,6.85,3.33,,,8.47,7.55,6.85,3.80,4.74,3.06,3.33,4.87,4.25,3.46
EV to EBITDA,18.4,21.1,11.7,28.3,17.7,23.9,17.6,11.0,,,21.2,20.5,17.6,15.4,11.8,11.2,11.0,11.0,14.9,11.1
Dividend Payout Ratio,,88.6%,96.8%,170.1%,78.6%,70.0%,82.0%,68.4%,,,22.3%,22.8%,21.9%,22.6%,24.4%,16.8%,17.1%,16.8%,16.0%,23.8%
Common Shares Outstanding,800.0,800.0,831.4,879.4,879.4,879.4,880.0,880.0,,,880.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0,880.0
Total Revenue,427.8,688.4,874.6,"1,014","1,195","1,448","1,552","1,519",,,363.0,398.2,405.9,372.4,365.4,405.7,375.9,375.1,385.9,370.5
"Cost of Revenue, Total",177.8,337.4,434.4,581.2,536.5,629.7,673.8,687.8,,,161.9,168.5,177.1,165.7,171.8,186.7,163.6,162.1,179.9,172.5
Gross Profit,250.0,351.1,440.2,432.5,658.5,818.7,877.8,831.6,,,201.1,229.7,228.9,206.7,193.5,219.0,212.3,212.9,206.0,198.1
"Selling/General/Administrative Expenses, Total",107.8,158.7,208.7,305.1,402.0,488.7,504.3,537.0,,,122.3,143.0,124.2,112.9,136.8,149.9,137.4,115.1,128.3,122.0
Operating Income,142.2,192.4,231.6,127.4,256.5,329.9,373.5,294.6,,,78.9,86.7,104.6,93.8,56.8,69.1,74.9,97.8,77.7,76.1
Net Income,112.1,152.0,161.0,92.2,209.7,263.8,281.6,360.2,,,62.0,66.7,73.0,71.5,41.5,181.4,65.8,77.0,59.8,56.7
EBITDA,158.7,212.7,254.5,154.2,285.8,355.7,397.8,326.1,,,86.1,93.9,107.2,102.5,65.9,78.9,83.8,106.7,87.1,85.8
Gross Profit Margin,58.4%,51.0%,50.3%,42.7%,55.1%,56.5%,56.6%,54.7%,,,55.4%,57.7%,56.4%,55.5%,53.0%,54.0%,56.5%,56.8%,53.4%,53.5%
Operating Margin,33.2%,27.9%,26.5%,12.6%,21.5%,22.8%,24.1%,19.4%,,,21.7%,21.8%,25.8%,25.2%,15.5%,17.0%,19.9%,26.1%,20.1%,20.5%
Net Profit Margin,26.2%,22.1%,18.4%,9.1%,17.5%,18.2%,18.2%,23.7%,,,17.1%,16.7%,18.0%,19.2%,11.4%,44.7%,17.5%,20.5%,15.5%,15.3%
Return on Assets,14.1%,19.9%,19.5%,10.1%,21.8%,23.6%,21.8%,24.9%,,,22.5%,21.6%,21.4%,20.3%,18.6%,25.4%,23.4%,23.6%,25.0%,16.9%
Return on Equity,25.3%,27.0%,25.7%,14.6%,29.2%,33.1%,32.5%,36.7%,,,7.3%,7.8%,8.4%,7.6%,4.8%,18.6%,6.7%,7.3%,6.1%,5.8%
Return on Total Capital,22.6%,25.6%,25.5%,14.5%,29.0%,32.9%,30.1%,34.8%,,,32.2%,31.3%,30.1%,27.2%,27.5%,35.5%,34.8%,33.0%,37.2%,25.3%
SG&A to Sale,25.2%,23.0%,23.9%,30.1%,33.6%,33.7%,32.5%,35.3%,,,33.7%,35.9%,30.6%,30.3%,37.4%,37.0%,36.6%,30.7%,33.3%,32.9%
Depreciation & Amortisation,16.4,20.3,22.9,26.8,29.3,25.8,24.3,31.6,,,7.25,7.15,2.55,8.64,9.10,9.80,8.92,8.85,9.47,9.73
Tax Rate,0.0%,23.2%,21.9%,24.5%,18.3%,17.8%,20.1%,12.5%,,,18.1%,20.3%,21.8%,20.8%,19.6%,6.2%,13.7%,19.3%,20.1%,21.7%
Current Ratio,1.07,3.53,2.34,2.05,2.37,1.89,2.27,1.68,,,2.31,2.09,2.27,2.79,1.84,1.72,1.68,2.02,1.70,1.65
Quick Ratio,0.15,0.97,0.46,0.87,1.12,0.96,1.22,0.79,,,1.15,1.12,1.22,1.24,0.83,0.82,0.79,0.94,0.85,0.83
Days Inventory Outstanding,442.8,278.6,241.3,156.9,136.4,148.8,168.0,173.3,,,168.2,169.0,164.6,165.1,166.4,165.8,176.9,175.4,164.5,168.8
Days Sale Outstanding,38.0,59.5,49.2,76.3,62.3,91.1,100.6,85.4,,,89.3,99.3,100.6,83.5,75.9,83.3,85.4,85.7,87.0,91.4
Days Payable Outstanding,341.0,96.0,23.2,17.7,7.23,4.55,3.82,6.70,,,3.40,4.33,4.62,3.28,4.76,10.6,12.3,15.5,20.5,18.7
Cash Conversion Cycle,140.6,307.8,253.3,209.2,194.6,216.8,259.4,258.9,,,255.8,258.1,260.9,256.8,241.0,232.2,253.4,240.6,231.3,243.1
Debt to Asset Ratio,0.44,0.23,0.32,0.31,0.28,0.35,0.35,0.36,,,0.30,0.33,0.35,0.30,0.37,0.36,0.36,0.31,0.35,0.36
Debt to Equity Ratio,0.78,0.31,0.46,0.45,0.40,0.55,0.55,0.57,,,0.44,0.49,0.55,0.43,0.59,0.56,0.57,0.46,0.54,0.56
Interest Coverage Ratio,8.53,18.8,38.2,24.1,44.6,49.5,57.4,30.2,,,35.6,38.5,,35.6,17.7,21.5,109.2,38.2,33.2,29.9
Cash and Short Term Investments,18.1,6.68,164.6,59.7,92.1,10.4,11.1,17.7,,,15.0,15.0,11.1,87.2,22.5,26.4,17.7,45.0,12.0,11.2
"Total Receivables, Net",44.5,112.2,118.0,211.9,204.0,361.5,427.8,355.5,,,355.9,402.7,427.8,352.0,320.6,353.6,355.5,357.3,367.9,377.5
Total Inventory,237.9,277.0,297.2,202.6,198.3,315.2,304.9,348.3,,,298.0,302.6,304.9,303.9,318.8,318.4,348.3,309.3,314.7,312.5
Total Current Assets,308.2,407.3,597.6,499.0,538.5,715.6,796.0,757.2,,,717.1,752.9,796.0,792.0,708.6,745.8,757.2,770.8,735.3,752.1
"Property/Plant/Equipment, Total - Net",302.1,116.2,118.2,121.4,229.1,254.8,293.0,413.1,,,269.3,278.5,293.0,298.8,406.8,408.9,413.1,421.1,424.5,426.5
Total Assets,787.4,736.0,915.4,918.1,"1,001","1,236","1,347","1,545",,,"1,224","1,279","1,347","1,347","1,367","1,530","1,545","1,551","1,522","1,540"
Accounts Payable,165.7,11.8,43.5,12.8,8.46,7.24,6.88,18.4,,,5.21,10.2,6.88,5.21,12.6,28.0,18.4,39.8,37.8,31.5
Accrued Expenses,42.8,5.58,15.6,31.9,40.9,56.7,64.8,60.5,,,58.9,64.8,64.8,40.0,59.2,67.9,60.5,32.4,67.1,71.5
Debt Due,60.9,81.1,139.4,172.7,136.7,265.5,197.1,270.9,,,166.6,222.8,197.1,140.3,227.3,244.2,270.9,196.1,229.3,265.8
Total Current Liabilities,289.0,115.5,254.9,243.1,227.5,378.1,351.3,449.4,,,310.6,361.1,351.3,283.8,385.8,432.4,449.4,380.7,433.7,455.6
Long Term Debt,52.1,29.2,5.90,4.14,5.75,4.25,69.0,54.6,,,4.20,3.54,69.0,64.9,61.8,57.2,54.6,51.5,46.4,42.2
Total Liabilities,345.0,172.8,290.4,286.3,285.1,438.5,477.5,559.2,,,370.6,420.7,477.5,406.0,505.5,548.1,559.2,488.0,530.7,552.4
Common Stock,600.0,360.0,374.1,395.7,395.7,395.7,528.0,528.0,,,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0
Additional Paid-In Capital,165.3,,32.9,83.4,83.4,83.4,88.4,88.4,,,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4
Retained Earnings (Accumulated Deficit),-330.6,181.0,196.2,131.0,182.3,261.5,194.8,308.7,,,178.8,183.8,194.8,266.3,184.7,304.5,308.7,384.9,313.0,308.0
Shareholders' Equity,444.0,563.7,625.9,632.7,718.2,797.4,867.8,981.8,,,851.8,856.9,867.8,939.5,857.8,977.6,981.8,"1,058",985.9,980.9
Cash from Operating Activities,100.0,117.7,258.1,64.7,258.4,147.0,286.9,231.0,,,70.4,29.6,82.3,89.3,49.6,54.2,37.9,111.6,78.0,40.4
Cash from Investing Activities,46.6,-26.7,-117.9,-17.4,-101.6,-88.1,-68.3,-25.8,,,16.3,-20.4,-58.7,50.6,-61.2,-3.01,-12.1,8.99,-15.4,-10.3
Cash from Financing Activities,-129.5,-106.7,-73.9,-56.3,-200.8,-64.4,-218.1,-208.0,,,-87.4,-5.97,-27.5,-63.8,-53.1,-47.3,-43.8,-83.5,-95.6,-31.8
Net Change in Cash,17.1,-15.7,66.3,-9.02,-44.1,-5.52,0.62,-2.84,,,-0.73,3.20,-3.83,76.1,-64.7,3.84,-18.1,37.1,-32.9,-1.67
Free Cashflows,82.0,91.6,233.6,41.7,200.7,78.2,225.7,108.4,,,59.4,13.0,63.5,76.1,-39.1,39.8,31.6,80.6,60.5,29.8
Free Cashflow per Share,0.10,0.11,0.28,0.047,0.23,0.089,0.26,0.12,,,0.067,0.015,0.072,0.086,-0.044,0.045,0.036,0.092,0.069,0.034
