,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,25.8,23.4,21.0,20.9,15.9,17.1,15.5,14.8,,,15.7,17.3,16.0,15.8,15.6,15.5,15.5,15.2,14.5,13.8
Earnings per Share,2.66,3.16,2.46,1.93,0.72,0.97,1.02,1.28,,,0.081,0.19,0.49,0.37,0.22,0.26,0.43,0.52,-0.008,-0.33
Revenue per Share,41.3,45.1,45.4,42.6,42.4,44.3,43.1,44.8,,,9.88,10.7,12.2,11.4,9.72,11.4,12.3,10.5,10.6,10.1
Dividend per Share,0.75,0.75,0.45,0.40,0.20,0.22,0.30,0.35,,,,,0.30,,,,0.35,,,
Capital Expenditures per Share,0.18,0.35,0.27,0.55,0.43,0.35,0.32,0.29,,,0.089,0.094,0.055,0.065,0.082,0.078,0.067,0.13,0.068,0.14
Book Value per Share,19.4,23.7,23.5,25.1,24.5,26.4,29.5,29.9,,,26.9,27.9,29.5,29.6,29.4,29.8,29.9,30.3,29.9,30.0
Price to Earnings Ratio,9.33,8.06,7.12,12.9,20.9,17.5,15.3,12.2,,,18.0,17.8,15.3,13.9,11.9,10.9,12.2,9.80,11.7,21.7
Price to Book Value Ratio,1.18,1.03,0.76,0.94,0.64,0.58,0.52,0.51,,,0.56,0.61,0.52,0.48,0.52,0.49,0.51,0.48,0.47,0.41
EV to EBITDA,8.60,9.82,10.4,13.0,18.4,23.7,25.0,0.00,,,28.6,28.3,25.0,19.5,18.0,17.7,0.00,0.00,19.0,36.4
Dividend Payout Ratio,28.2%,23.7%,18.3%,20.8%,27.7%,22.7%,29.4%,27.4%,,,,,29.4%,,,,27.4%,,,
Common Shares Outstanding,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Total Revenue,617.9,674.2,678.5,637.1,634.3,662.8,644.0,669.4,,,147.7,159.5,182.9,170.3,145.3,169.8,183.9,156.8,157.8,151.7
"Cost of Revenue, Total",401.3,442.0,445.9,407.4,412.7,441.8,432.0,456.6,,,102.0,106.8,122.0,114.9,100.0,116.1,125.6,97.9,101.9,104.0
Gross Profit,216.6,232.3,232.6,229.7,221.6,221.0,212.0,212.7,,,45.7,52.7,60.9,55.4,45.3,53.7,58.3,58.9,55.9,47.7
"Selling/General/Administrative Expenses, Total",164.3,183.0,201.1,201.6,209.7,212.9,204.6,202.4,,,50.2,49.8,55.1,49.1,49.0,50.5,53.7,49.8,59.9,53.5
Operating Income,52.3,49.2,31.5,28.1,12.0,8.02,7.49,10.4,,,-4.52,2.83,5.79,6.26,-3.70,3.21,4.59,9.18,-4.03,-5.82
Net Income,39.7,47.3,36.8,28.8,10.8,14.5,15.2,19.1,,,1.21,2.89,7.32,5.47,3.30,3.86,6.46,7.73,-0.12,-4.96
EBITDA,57.3,53.7,36.4,33.9,17.9,13.8,13.5,16.3,,,-3.02,4.33,7.34,7.76,-2.29,4.72,6.12,10.6,-2.53,-4.24
Gross Profit Margin,35.1%,34.4%,34.3%,36.1%,34.9%,33.3%,32.9%,31.8%,,,30.9%,33.0%,33.3%,32.5%,31.2%,31.6%,31.7%,37.6%,35.4%,31.4%
Operating Margin,8.5%,7.3%,4.6%,4.4%,1.9%,1.2%,1.2%,1.5%,,,-3.1%,1.8%,3.2%,3.7%,-2.5%,1.9%,2.5%,5.9%,-2.6%,-3.8%
