,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,22.6,28.3,36.4,37.8,34.4,38.8,46.6,44.4,,,30.8,39.0,46.6,45.9,44.1,43.5,45.1,45.9,42.6,40.1
Earnings per Share,-1.82,0.38,2.36,7.45,2.71,2.46,1.85,2.37,,,0.64,0.48,0.28,0.62,0.60,0.60,0.70,0.46,0.64,-0.082
Revenue per Share,8.95,8.78,10.9,16.4,11.4,11.1,10.1,9.82,,,2.62,2.34,2.46,2.74,2.20,2.40,2.94,2.62,3.23,3.21
Dividend per Share,1.00,0.38,1.80,2.50,2.00,2.00,0.75,0.75,,,0.75,0.00,0.00,,0.75,0.00,0.00,,0.75,0.00
Capital Expenditures per Share,0.11,0.062,0.073,0.097,0.19,0.069,0.053,0.021,,,0.006,0.033,0.007,0.004,0.003,0.011,0.004,0.006,0.006,0.002
Book Value per Share,18.8,19.0,19.9,27.1,28.1,28.2,30.8,31.3,,,29.0,30.4,30.8,30.3,30.4,30.7,31.3,33.3,41.8,48.2
Price to Earnings Ratio,,63.2,11.7,5.24,12.3,13.5,20.5,18.7,,,14.3,17.2,20.6,21.4,19.5,19.6,17.5,17.2,18.7,22.7
Price to Book Value Ratio,1.06,1.20,1.43,1.33,1.18,1.16,1.52,1.53,,,1.03,1.08,1.52,1.36,1.44,1.30,1.53,1.22,0.97,0.81
EV to EBITDA,0.00,29.6,5.45,8.56,9.97,11.7,13.6,12.6,,,13.4,13.5,13.6,16.8,17.1,17.8,12.6,12.8,14.1,10.8
Dividend Payout Ratio,-54.9%,100.1%,76.3%,33.6%,73.9%,81.3%,40.5%,31.6%,,,36.8%,0.0%,0.0%,,37.9%,0.0%,0.0%,,31.2%,0.0%
Common Shares Outstanding,250.0,250.0,250.0,250.0,250.0,250.0,250.0,296.4,,,250.0,250.0,250.0,250.0,293.9,293.9,296.4,296.4,384.9,384.9
Total Revenue,"2,239","2,194","2,715","4,106","2,838","2,764","2,513","2,911",,,653.9,584.3,614.6,686.2,647.0,705.6,871.9,777.4,"1,245","1,235"
"Cost of Revenue, Total","2,426","1,590","1,431","1,348","1,743","1,844","1,680","1,754",,,404.6,373.3,443.4,441.5,401.8,423.5,486.8,491.4,747.6,"1,034"
Gross Profit,-187.4,604.9,"1,283","2,758","1,095",920.1,832.9,"1,157",,,249.3,211.0,171.2,244.7,245.2,282.1,385.1,286.0,497.6,201.3
"Selling/General/Administrative Expenses, Total",282.4,288.3,434.0,365.9,355.7,356.2,346.5,358.5,,,81.1,79.3,98.0,84.2,80.9,87.0,106.4,99.5,219.3,248.3
Operating Income,-506.9,156.7,677.3,"2,233",738.0,562.5,484.9,797.4,,,168.2,131.6,71.7,160.5,164.3,195.1,277.5,186.5,278.2,-47.0
Net Income,-455.1,94.9,589.9,"1,862",676.9,615.2,462.9,750.2,,,160.9,119.5,71.5,155.6,154.8,178.2,261.6,172.0,259.4,-31.6
EBITDA,-464.1,198.4,718.8,"2,277",780.8,604.0,525.0,837.1,,,168.2,131.6,111.8,165.6,169.2,200.0,302.2,190.7,284.4,-40.3
Gross Profit Margin,-8.4%,27.6%,47.3%,67.2%,38.6%,33.3%,33.1%,39.8%,,,38.1%,36.1%,27.9%,35.7%,37.9%,40.0%,44.2%,36.8%,40.0%,16.3%
Operating Margin,-22.6%,7.1%,25.0%,54.4%,26.0%,20.3%,19.3%,27.4%,,,25.7%,22.5%,11.7%,23.4%,25.4%,27.7%,31.8%,24.0%,22.3%,-3.8%
Net Profit Margin,-20.3%,4.3%,21.7%,45.3%,23.8%,22.3%,18.4%,25.8%,,,24.6%,20.5%,11.6%,22.7%,23.9%,25.3%,30.0%,22.1%,20.8%,-2.6%
Return on Assets,-4.4%,0.8%,6.0%,17.9%,6.2%,5.8%,4.3%,6.2%,,,4.7%,4.5%,4.2%,4.6%,4.3%,4.4%,5.7%,5.6%,4.5%,2.5%
Return on Equity,-9.7%,2.0%,11.9%,27.5%,9.6%,8.7%,6.0%,8.1%,,,2.2%,1.6%,0.9%,2.1%,1.7%,2.0%,2.8%,1.7%,1.6%,-0.2%
Return on Total Capital,-9.7%,2.0%,11.9%,27.5%,9.6%,8.7%,6.0%,8.1%,,,7.1%,6.4%,6.0%,6.7%,5.6%,6.2%,8.1%,7.8%,5.4%,3.6%
SG&A to Sale,12.6%,13.1%,16.0%,8.9%,12.5%,12.9%,13.8%,12.3%,,,12.4%,13.6%,15.9%,12.3%,12.5%,12.3%,12.2%,12.8%,17.6%,20.1%
Depreciation & Amortisation,32.8,31.7,31.5,34.0,32.9,31.6,30.1,29.7,,,,,30.1,5.08,4.98,4.92,14.7,4.30,6.15,6.78
Tax Rate,12.4%,33.3%,10.8%,16.0%,8.3%,6.8%,4.5%,5.9%,,,4.3%,9.2%,0.3%,3.0%,5.7%,8.7%,5.7%,7.8%,6.8%,32.9%
Current Ratio,0.92,1.02,1.09,0.57,0.74,0.80,0.86,0.80,,,0.91,0.81,0.86,0.88,0.89,0.83,0.80,0.88,0.75,1.28
Quick Ratio,0.028,0.059,0.069,0.11,0.093,0.070,0.098,0.089,,,0.064,0.067,0.098,0.070,0.082,0.093,0.089,0.060,0.098,0.094
Days Inventory Outstanding,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Days Sale Outstanding,34.7,43.8,36.2,29.0,42.3,32.2,46.1,41.9,,,29.8,33.1,46.1,33.0,40.6,48.9,41.9,29.6,83.5,75.1
Days Payable Outstanding,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,21.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
