,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,2.25,2.45,2.48,2.64,2.03,1.85,1.36,1.02,,,1.88,1.66,1.48,1.36,1.32,1.23,1.23,1.15,0.99,0.83
Earnings per Share,0.10,0.20,0.18,0.17,0.16,0.095,0.016,0.028,,,0.006,-0.011,0.003,0.003,0.015,-0.002,0.012,0.004,-0.023,-0.019
Revenue per Share,2.79,3.23,3.47,3.60,3.60,3.43,3.53,3.58,,,0.87,0.84,0.96,0.87,0.84,0.85,0.97,0.89,0.83,0.76
Dividend per Share,0.075,0.11,0.10,0.10,0.10,0.10,0.050,0.050,,,,,0.050,,,,0.050,,,
Capital Expenditures per Share,0.38,0.45,0.37,0.29,0.43,0.38,0.20,0.088,,,0.081,0.036,0.029,0.025,0.022,0.015,0.026,0.027,0.014,0.015
Book Value per Share,1.43,1.56,1.60,1.66,1.74,1.73,1.58,1.54,,,1.63,1.61,1.58,1.58,1.51,1.52,1.54,1.53,1.44,1.41
Price to Earnings Ratio,9.71,15.0,10.5,16.5,13.0,21.8,82.5,42.4,,,25.0,42.2,82.5,"1,030",123.3,60.6,42.4,37.6,,
Price to Book Value Ratio,0.72,1.65,1.27,1.53,1.16,1.19,0.91,0.77,,,1.09,0.94,0.91,0.75,0.82,0.72,0.77,0.73,0.60,0.51
EV to EBITDA,6.04,8.98,5.95,8.44,7.39,9.02,7.99,6.97,,,8.74,8.41,7.99,8.55,7.56,7.68,6.97,6.93,6.99,5.92
Dividend Payout Ratio,72.1%,55.0%,55.6%,57.7%,60.9%,105.8%,319.6%,178.1%,,,,,319.6%,,,,178.1%,,,
Common Shares Outstanding,"2,710","2,710","2,710","2,710","2,710","2,710","2,710","2,710",,,"2,710","2,710","2,710","2,710","2,710","2,710","2,710","2,710","2,710","2,710"
Total Revenue,"7,552","8,757","9,397","9,751","9,763","9,285","9,577","9,698",,,"2,367","2,276","2,598","2,371","2,286","2,308","2,639","2,414","2,259","2,052"
"Cost of Revenue, Total","6,058","6,842","7,556","7,881","7,915","7,707","8,162","8,399",,,"2,009","1,967","2,250","2,090","2,012","2,052","2,261","2,155","2,058","1,859"
Gross Profit,"1,494","1,915","1,841","1,870","1,847","1,578","1,415","1,299",,,357.5,309.1,347.7,280.9,274.6,256.8,378.4,259.3,201.0,192.5
"Selling/General/Administrative Expenses, Total","1,203","1,256","1,248","1,337","1,314","1,288","1,286","1,184",,,308.2,300.3,367.1,255.0,236.0,267.7,317.6,234.9,254.2,232.6
Operating Income,291.2,659.2,593.4,533.4,533.3,289.8,128.6,114.5,,,49.2,8.86,-19.4,25.9,38.6,-10.9,60.8,24.4,-53.2,-40.1
Net Income,282.0,541.9,487.0,470.1,445.0,256.2,42.4,76.1,,,16.2,-30.2,8.62,8.87,40.7,-5.83,32.4,10.6,-63.6,-51.6
EBITDA,780.5,"1,223","1,242","1,244","1,243","1,069",946.5,921.5,,,254.6,215.4,188.0,228.6,240.5,191.0,261.4,220.2,139.1,147.5
Gross Profit Margin,19.8%,21.9%,19.6%,19.2%,18.9%,17.0%,14.8%,13.4%,,,15.1%,13.6%,13.4%,11.8%,12.0%,11.1%,14.3%,10.7%,8.9%,9.4%
Operating Margin,3.9%,7.5%,6.3%,5.5%,5.5%,3.1%,1.3%,1.2%,,,2.1%,0.4%,-0.7%,1.1%,1.7%,-0.5%,2.3%,1.0%,-2.4%,-2.0%
Net Profit Margin,3.7%,6.2%,5.2%,4.8%,4.6%,2.8%,0.4%,0.8%,,,0.7%,-1.3%,0.3%,0.4%,1.8%,-0.3%,1.2%,0.4%,-2.8%,-2.5%
Return on Assets,3.5%,6.2%,5.0%,4.6%,4.1%,2.3%,0.4%,0.7%,,,1.7%,0.9%,0.4%,0.0%,0.3%,0.5%,0.7%,0.8%,-0.3%,-0.8%
Return on Equity,7.3%,12.8%,11.2%,10.4%,9.4%,5.5%,1.0%,1.8%,,,0.4%,-0.7%,0.2%,0.2%,1.0%,-0.1%,0.8%,0.3%,-1.6%,-1.3%
Return on Total Capital,5.5%,8.9%,7.2%,7.3%,6.6%,3.6%,0.7%,1.4%,,,3.0%,1.6%,0.7%,0.1%,0.5%,1.0%,1.4%,1.5%,-0.6%,-1.6%
SG&A to Sale,15.9%,14.3%,13.3%,13.7%,13.5%,13.9%,13.4%,12.2%,,,13.0%,13.2%,14.1%,10.8%,10.3%,11.6%,12.0%,9.7%,11.3%,11.3%
Depreciation & Amortisation,489.4,563.4,648.3,710.4,709.7,779.6,817.9,807.0,,,205.4,206.5,207.4,202.7,201.8,201.9,200.5,195.9,192.3,187.6
Tax Rate,37.7%,14.1%,9.2%,9.7%,14.3%,7.0%,-39.7%,2.5%,,,13.0%,36.4%,154.3%,9.5%,-6.5%,59.2%,22.4%,20.8%,4.5%,-24.9%
Current Ratio,1.23,1.33,1.42,1.23,1.17,1.20,1.07,1.04,,,1.05,1.11,1.07,1.08,1.01,1.02,1.04,1.06,1.02,1.01
Quick Ratio,0.65,0.64,0.69,0.60,0.54,0.60,0.56,0.51,,,0.53,0.56,0.56,0.57,0.51,0.49,0.51,0.56,0.54,0.51
Days Inventory Outstanding,65.1,66.8,68.3,71.2,75.1,81.9,77.7,74.8,,,85.5,81.3,76.3,73.9,77.2,80.3,79.2,73.4,68.3,65.6
Days Sale Outstanding,79.0,72.2,74.4,78.6,75.9,85.3,86.0,81.5,,,84.4,82.9,86.0,85.2,83.6,79.2,82.2,87.1,82.5,75.5
Days Payable Outstanding,55.7,47.3,45.2,44.4,44.4,42.9,41.6,44.1,,,40.4,37.3,40.7,44.1,44.7,44.2,43.9,42.0,39.7,39.2
Cash Conversion Cycle,86.6,87.8,93.2,101.5,108.1,124.2,116.9,113.6,,,132.3,128.0,115.2,115.4,116.5,118.1,115.4,117.9,113.5,108.0
Debt to Asset Ratio,0.49,0.52,0.55,0.55,0.55,0.56,0.58,0.57,,,0.58,0.58,0.58,0.57,0.58,0.57,0.57,0.56,0.56,0.55
Debt to Equity Ratio,1.03,1.15,1.28,1.28,1.31,1.36,1.44,1.39,,,1.47,1.44,1.44,1.39,1.49,1.42,1.39,1.34,1.38,1.30
Interest Coverage Ratio,2.93,4.88,3.55,3.18,3.27,1.71,0.71,0.78,,,1.05,0.20,,0.72,1.06,,1.66,0.68,,
Cash and Short Term Investments,235.1,448.5,444.9,478.7,623.4,302.0,290.4,379.6,,,221.3,284.9,290.4,218.7,254.6,268.1,379.6,304.0,281.6,332.8
"Total Receivables, Net","1,635","1,733","1,915","2,101","2,030","2,170","2,256","2,164",,,"2,197","2,153","2,256","2,244","2,183","2,075","2,164","2,303","2,175","1,937"
Total Inventory,"1,155","1,351","1,475","1,599","1,658","1,802","1,673","1,772",,,"1,824","1,742","1,673","1,697","1,820","1,878","1,772","1,639","1,550","1,445"
Total Current Assets,"3,105","3,630","3,950","4,312","4,400","4,362","4,322","4,432",,,"4,349","4,283","4,322","4,259","4,366","4,333","4,432","4,354","4,119","3,812"
"Property/Plant/Equipment, Total - Net","4,159","4,843","5,296","5,373","5,852","6,065","5,489","4,909",,,"5,915","5,735","5,489","5,336","5,183","5,014","4,909","4,737","4,529","4,381"
Total Assets,"8,085","9,325","10,126","10,516","11,107","11,304","10,726","10,239",,,"11,142","10,920","10,726","10,500","10,457","10,251","10,239","9,960","9,517","9,048"
Accounts Payable,850.8,922.2,950.2,968.4,959.3,850.6,"1,010","1,022",,,825.8,811.1,"1,010","1,002","1,035","1,000","1,022",928.7,926.7,861.2
Accrued Expenses,86.2,102.7,111.4,118.7,85.5,78.7,74.0,62.9,,,0.83,0.34,74.0,1.31,0.77,0.56,62.9,0.78,0.77,0.74
Debt Due,"1,223","1,376","1,388","2,080","2,422","2,458","2,724","2,863",,,"2,986","2,680","2,724","2,658","2,915","2,792","2,863","2,822","2,689","2,444"
Total Current Liabilities,"2,516","2,729","2,781","3,512","3,764","3,648","4,023","4,246",,,"4,145","3,861","4,023","3,959","4,305","4,232","4,246","4,124","4,046","3,778"
Long Term Debt,"1,236","1,853","2,469","1,976","2,008","2,346","1,771","1,166",,,"1,945","2,044","1,771","1,596","1,413","1,233","1,166","1,022",864.6,724.4
Total Liabilities,"4,002","4,867","5,560","5,784","6,150","6,371","6,178","5,814",,,"6,477","6,296","6,178","5,947","6,115","5,872","5,814","5,555","5,373","4,968"
Common Stock,"2,710","2,710","2,710","2,710","2,710","2,710","2,710","2,710",,,"2,710","2,710","2,710","2,710","2,710","2,710","2,710","2,710","2,710","2,710"
Additional Paid-In Capital,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,,,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9
Retained Earnings (Accumulated Deficit),"1,198","1,524","1,679","1,878","2,020","2,005","1,772","1,707",,,"1,798","1,768","1,772","1,781","1,686","1,680","1,707","1,718","1,519","1,467"
Shareholders' Equity,"3,880","4,229","4,336","4,506","4,712","4,694","4,290","4,173",,,"4,415","4,364","4,290","4,289","4,099","4,129","4,173","4,149","3,900","3,831"
Cash from Operating Activities,183.9,829.4,711.1,730.8,"1,197",548.3,956.3,947.5,,,175.4,377.3,230.2,222.3,219.1,257.4,248.6,108.5,467.9,424.4
Cash from Investing Activities,-905.2,"-1,167",-980.5,-615.7,"-1,098","-1,013",-438.3,-167.7,,,-180.0,-104.3,-64.5,-55.7,-35.1,-13.3,-63.6,-63.1,-8.63,-24.0
Cash from Financing Activities,563.8,557.2,265.3,-79.3,79.5,86.7,-460.5,-621.4,,,-57.5,-210.4,-179.3,-240.0,-132.6,-233.3,-15.5,-177.8,-413.6,-387.1
Net Change in Cash,-164.5,219.3,-4.17,35.8,148.0,-349.4,18.9,84.2,,,-68.2,63.6,5.49,-71.7,31.0,13.4,111.5,-82.2,-17.2,57.7
Free Cashflows,-836.1,-397.5,-285.7,-50.8,22.6,-485.2,404.6,709.5,,,-44.4,278.9,151.3,155.4,160.4,215.8,177.9,34.8,429.8,383.9
Free Cashflow per Share,-0.31,-0.15,-0.11,-0.019,0.008,-0.18,0.15,0.26,,,-0.016,0.10,0.056,0.057,0.059,0.080,0.066,0.013,0.16,0.14
