,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,1.71,3.96,2.27,1.75,1.39,1.37,0.95,0.71,,,1.37,1.36,1.05,0.97,0.95,0.89,0.90,0.89,0.72,0.53
Earnings per Share,-0.10,0.36,0.031,0.004,-0.067,0.020,-0.078,0.16,,,0.006,-0.029,-0.053,0.016,-0.002,0.12,0.027,-0.011,-0.068,-0.015
Revenue per Share,2.66,4.38,3.45,3.48,2.96,3.23,3.61,3.86,,,0.83,1.02,0.96,0.97,0.93,1.02,0.94,0.85,0.63,0.81
Dividend per Share,,0.12,,,,,,0.040,,,,,,,,,0.040,,,
Capital Expenditures per Share,0.19,0.00,0.00,0.00,0.26,0.27,0.12,0.062,,,0.031,0.040,0.022,0.026,0.012,0.019,0.005,0.027,0.025,0.028
Book Value per Share,0.90,1.28,1.51,1.94,1.41,1.43,1.34,1.51,,,1.43,1.40,1.34,1.36,1.36,1.48,1.51,1.50,1.39,1.37
Price to Earnings Ratio,,8.38,66.7,505.4,,64.6,,5.01,,,90.4,,,,,9.60,5.01,5.85,8.68,
Price to Book Value Ratio,0.79,3.95,1.25,0.94,0.88,0.89,0.58,0.60,,,0.99,0.83,0.58,0.58,0.69,0.52,0.60,0.54,0.42,0.31
EV to EBITDA,8.23,5.76,8.31,17.8,33.4,9.05,10.6,5.51,,,9.27,9.03,10.6,8.96,9.01,7.15,5.51,6.45,8.46,6.85
Dividend Payout Ratio,,33.7%,,,,,,24.7%,,,,,,,,,24.7%,,,
Common Shares Outstanding,"1,553","1,553","1,975","1,975","2,585","2,585","2,585","2,585",,,"2,585","2,585","2,585","2,585","2,585","2,585","2,585","2,585","2,585","2,585"
Total Revenue,"4,125","6,795","6,806","6,878","7,659","8,351","9,334","9,992",,,"2,137","2,630","2,482","2,516","2,403","2,649","2,424","2,205","1,638","2,083"
"Cost of Revenue, Total","3,908","6,195","6,370","6,508","7,167","7,657","8,661","9,119",,,"1,946","2,472","2,340","2,304","2,227","2,469","2,119","1,995","1,607","1,879"
Gross Profit,217.1,600.1,436.6,370.0,491.9,693.7,672.6,873.6,,,190.1,158.3,142.6,212.4,176.7,180.1,304.5,210.5,30.1,203.8
"Selling/General/Administrative Expenses, Total",276.7,407.5,366.1,315.8,377.7,462.9,601.0,649.6,,,130.1,146.7,187.4,186.7,133.1,163.6,166.2,176.8,204.3,180.5
Operating Income,-69.6,516.0,177.7,78.4,-96.0,245.9,70.9,545.1,,,62.3,11.0,-46.6,54.8,66.5,286.0,137.9,34.1,-135.1,23.5
Net Income,95.8,552.5,58.4,8.29,-173.8,52.0,-202.8,418.0,,,15.0,-74.6,-136.6,41.2,-5.21,313.4,68.7,-27.7,-175.8,-39.1
EBITDA,319.4,949.5,656.8,304.8,178.5,562.6,452.5,933.5,,,155.9,106.9,51.8,150.9,164.0,384.5,234.0,130.6,-41.5,129.4
Gross Profit Margin,5.3%,8.8%,6.4%,5.4%,6.4%,8.3%,7.2%,8.7%,,,8.9%,6.0%,5.7%,8.4%,7.4%,6.8%,12.6%,9.5%,1.8%,9.8%
Operating Margin,-1.7%,7.6%,2.6%,1.1%,-1.3%,2.9%,0.8%,5.5%,,,2.9%,0.4%,-1.9%,2.2%,2.8%,10.8%,5.7%,1.5%,-8.3%,1.1%
Net Profit Margin,2.3%,8.1%,0.9%,0.1%,-2.3%,0.6%,-2.2%,4.2%,,,0.7%,-2.8%,-5.5%,1.6%,-0.2%,11.8%,2.8%,-1.3%,-10.7%,-1.9%
Return on Assets,1.6%,8.0%,0.7%,0.1%,-1.7%,0.4%,-1.6%,3.3%,,,0.3%,-0.3%,-1.6%,-1.2%,-1.4%,1.7%,3.2%,2.7%,1.4%,-1.4%
Return on Equity,6.9%,27.8%,2.0%,0.2%,-4.8%,1.4%,-5.8%,10.7%,,,0.4%,-2.1%,-3.9%,1.2%,-0.1%,8.2%,1.8%,-0.7%,-4.9%,-1.1%
Return on Total Capital,4.0%,18.6%,1.5%,0.1%,-2.4%,0.8%,-3.6%,6.5%,,,0.5%,-0.6%,-3.6%,-2.7%,-3.1%,3.3%,6.5%,5.5%,2.9%,-4.0%
SG&A to Sale,6.7%,6.0%,5.4%,4.6%,4.9%,5.5%,6.4%,6.5%,,,6.1%,5.6%,7.5%,7.4%,5.5%,6.2%,6.9%,8.0%,12.5%,8.7%
Depreciation & Amortisation,389.0,433.5,479.1,226.4,274.5,316.7,381.6,388.3,,,93.6,95.9,98.5,96.1,97.5,98.6,96.2,96.5,93.6,105.9
Tax Rate,-3.7%,-4.5%,28.3%,499.7%,-6.3%,29.1%,-3.3%,5.4%,,,33.4%,2.2%,6.8%,4.5%,265.0%,3.3%,4.0%,-26.7%,3.5%,-3.7%
Current Ratio,0.86,0.97,1.17,2.16,2.30,1.47,1.32,1.47,,,1.46,1.42,1.32,1.37,1.38,1.59,1.47,1.50,1.47,1.13
Quick Ratio,0.50,0.61,0.70,1.26,1.34,0.84,0.75,0.84,,,0.81,0.77,0.75,0.79,0.84,0.94,0.84,0.96,0.93,0.66
Days Inventory Outstanding,53.0,47.0,64.4,87.0,97.8,110.7,105.6,99.0,,,122.9,119.0,110.4,98.4,95.8,97.9,99.7,103.4,112.4,123.6
