,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,1.94,2.33,3.49,4.69,4.45,6.40,5.08,3.12,,,6.33,5.70,5.80,5.05,4.69,4.28,3.91,3.72,2.94,2.33
Earnings per Share,0.14,0.18,0.16,0.25,0.24,0.29,0.27,0.26,,,0.080,0.070,0.059,0.070,0.064,0.061,0.060,0.066,0.071,0.070
Revenue per Share,1.65,2.15,2.20,2.70,2.38,2.49,2.20,1.97,,,0.58,0.61,0.54,0.58,0.46,0.51,0.49,0.46,0.45,0.47
Dividend per Share,0.090,0.020,0.048,0.033,0.070,0.14,0.21,0.20,,,,,0.21,,,,0.20,,,
Capital Expenditures per Share,0.002,0.016,0.015,0.085,0.059,0.015,0.25,0.011,,,0.035,0.013,0.005,0.003,0.001,0.003,0.005,0.001,0.000,0.002
Book Value per Share,0.79,0.92,1.05,1.26,1.54,1.85,1.99,1.93,,,1.82,1.92,1.99,2.05,1.88,1.95,1.93,2.00,1.90,1.96
Price to Earnings Ratio,12.5,15.9,9.94,24.4,14.5,20.5,20.2,14.3,,,21.2,17.4,20.3,17.3,17.4,15.6,14.6,13.6,10.6,8.00
Price to Book Value Ratio,2.21,2.82,1.54,4.06,2.05,4.16,2.59,2.01,,,2.93,2.46,2.59,2.00,2.43,1.92,2.01,1.69,1.17,1.17
EV to EBITDA,10.0,8.35,6.15,13.4,9.03,13.5,15.3,9.10,,,15.2,13.0,15.3,11.3,10.7,11.7,9.10,9.55,7.84,3.93
Dividend Payout Ratio,64.5%,11.3%,29.4%,13.3%,29.2%,46.6%,77.8%,76.9%,,,,,78.1%,,,,78.7%,,,
Common Shares Outstanding,302.7,302.7,302.7,302.7,302.7,302.7,341.7,401.1,,,320.1,320.1,341.7,341.7,412.8,408.2,401.1,401.1,400.8,400.8
Total Revenue,500.2,649.9,665.8,816.5,721.4,752.5,752.6,789.9,,,186.5,196.6,185.1,199.0,189.9,206.7,194.6,184.3,178.5,189.8
"Cost of Revenue, Total",406.0,548.8,544.4,676.6,577.7,581.8,560.6,594.5,,,136.0,145.9,136.2,147.5,140.4,159.5,146.4,133.6,124.6,135.5
Gross Profit,94.3,101.1,121.4,140.0,143.7,170.6,192.1,195.5,,,50.4,50.7,48.9,51.5,49.5,47.2,48.2,50.7,53.9,54.3
"Selling/General/Administrative Expenses, Total",32.3,36.0,45.7,50.4,58.2,63.6,69.1,67.4,,,16.6,16.8,17.9,18.4,17.4,16.6,16.6,16.6,18.4,18.9
Operating Income,62.0,65.1,75.7,89.6,85.6,107.0,123.0,128.1,,,33.8,34.0,31.0,33.1,32.1,30.6,31.6,34.1,35.5,35.4
