,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,1.20,1.81,1.87,1.25,0.61,0.60,0.39,0.34,,,0.60,0.66,0.48,0.31,0.39,0.41,0.43,0.37,0.32,0.23
Earnings per Share,0.019,0.037,0.18,0.16,0.008,-0.16,-0.44,-0.19,,,-0.11,-0.037,-0.25,-0.033,-0.027,-0.028,-0.083,-0.007,-0.006,-0.006
Revenue per Share,1.62,1.63,2.35,2.83,1.76,0.77,0.31,0.067,,,0.077,0.076,0.062,0.039,0.020,0.019,0.014,0.020,0.024,0.025
Dividend per Share,0.010,0.025,0.11,0.090,0.020,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.020,0.044,0.041,0.023,0.027,0.039,0.087,0.089,,,0.011,0.019,0.055,0.061,0.015,0.020,0.030,0.061,-0.009,0.003
Book Value per Share,0.55,0.59,0.72,0.76,0.71,0.54,0.10,0.082,,,0.39,0.35,0.10,0.070,0.19,0.16,0.082,0.075,0.069,0.063
Price to Earnings Ratio,53.0,33.3,8.80,9.49,63.6,,,,,,,,,,,,,,,
Price to Book Value Ratio,1.85,3.07,2.42,1.76,0.78,0.99,3.26,4.16,,,1.21,1.77,3.26,3.42,2.33,1.95,4.16,4.53,3.64,3.01
EV to EBITDA,17.0,15.0,8.50,11.9,19.3,-14.5,-3.69,-7.92,,,-5.63,-6.53,-3.69,-3.40,-3.76,-4.68,-7.92,-8.89,-10.4,-14.0
Dividend Payout Ratio,52.6%,67.6%,59.8%,55.6%,250.0%,,,,,,,,,,,,,,,
Common Shares Outstanding,"4,301","4,304","4,373","4,400","4,400","4,400","4,400","11,324",,,"4,400","4,400","4,400","4,400","11,324","11,324","11,324","11,324","11,324","11,324"
Total Revenue,"6,989","7,016","10,288","12,461","7,758","3,406","1,363",758.3,,,336.7,333.1,271.2,172.3,225.5,213.2,155.6,225.3,268.4,282.6
"Cost of Revenue, Total","5,594","5,622","7,693","9,744","6,183","3,051","1,368",725.5,,,363.9,333.9,292.4,166.5,190.5,197.8,173.0,189.1,200.3,226.5
Gross Profit,"1,395","1,394","2,595","2,718","1,575",355.2,-5.29,32.8,,,-27.2,-0.76,-21.2,5.86,35.0,15.4,-17.4,36.1,68.1,56.1
