,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2018-3,2018-6,2018-9,2019-3,2019-6,2019-9
Price Average,,,,,,,,4.71,,,,,,,,
Earnings per Share,,,,,,0.16,0.29,0.19,,,,,,0.085,0.060,0.042
Revenue per Share,,,,,,1.31,1.46,1.37,,,,,,,,
Dividend per Share,,,,,,0.00,0.00,0.13,,,,,,,,
Capital Expenditures per Share,,,,,,0.16,0.11,0.16,,,,,,,,
Book Value per Share,,,,,,0.65,1.18,1.05,,,,,,,,
Price to Earnings Ratio,,,,,,,,,,,,,,,,
Price to Book Value Ratio,,,,,,,,,,,,,,,,
EV to EBITDA,,,,,,,,0.00,,,,,,0.00,0.00,0.00
Dividend Payout Ratio,,,,,,0.0%,0.0%,65.4%,,,,,,,,
Common Shares Outstanding,,,,,,"2,000","2,000","2,000",,,,,,,,
Total Revenue,,,,,,"2,623","2,916","2,738",,,,,,667.9,688.4,679.9
"Cost of Revenue, Total",,,,,,"1,738","1,904","1,744",,,,,,426.3,429.0,443.4
Gross Profit,,,,,,885.0,"1,012",994.1,,,,,,241.6,259.3,236.5
"Selling/General/Administrative Expenses, Total",,,,,,432.9,495.4,577.4,,,,,,134.8,145.9,155.8
Operating Income,,,,,,452.1,516.5,416.7,,,,,,106.8,113.4,80.7
Net Income,,,,,,368.0,404.9,323.8,,,,,,85.1,88.4,61.7
EBITDA,,,,,,598.0,699.7,604.0,,,,,,153.2,159.8,127.6
Gross Profit Margin,,,,,,33.7%,34.7%,36.3%,,,,,,36.2%,37.7%,34.8%
Operating Margin,,,,,,17.2%,17.7%,15.2%,,,,,,16.0%,16.5%,11.9%
Net Profit Margin,,,,,,14.0%,13.9%,11.8%,,,,,,12.7%,12.8%,9.1%
Return on Assets,,,,,,13.0%,13.5%,9.8%,,,,,,,,
Return on Equity,,,,,,28.5%,17.1%,15.5%,,,,,,0.0%,0.0%,0.0%
Return on Total Capital,,,,,,25.6%,16.3%,11.8%,,,,,,0.0%,0.0%,0.0%
SG&A to Sale,,,,,,16.5%,17.0%,21.1%,,,,,,20.2%,21.2%,22.9%
Depreciation & Amortisation,,,,,,145.9,183.2,187.3,,,,,,46.4,46.4,46.9
Tax Rate,,,,,,19.8%,20.4%,21.2%,,,,,,20.7%,21.0%,19.5%
Current Ratio,,,,,,2.06,2.43,2.46,,,,,,,,
Quick Ratio,,,,,,0.88,1.00,0.93,,,,,,0.00,0.00,0.00
Days Inventory Outstanding,,,,,,86.0,101.4,145.9,,,,,,,,
Days Sale Outstanding,,,,,,76.6,74.3,81.0,,,,,,,,
Days Payable Outstanding,,,,,,48.9,45.9,49.5,,,,,,,,
Cash Conversion Cycle,,,,,,113.6,125.8,178.3,,,,,,,,
Debt to Asset Ratio,,,,,,0.28,0.25,0.39,,,,,,,,
Debt to Equity Ratio,,,,,,0.63,0.33,0.65,,,,,,,,
Interest Coverage Ratio,,,,,,36.2,35.8,20.1,,,,,,27.3,23.4,16.2
Cash and Short Term Investments,,,,,,302.1,263.4,262.6,,,,,,,,
"Total Receivables, Net",,,,,,550.2,593.7,607.8,,,,,,,,
Total Inventory,,,,,,409.8,648.0,746.0,,,,,,,,
Total Current Assets,,,,,,"1,318","1,540","1,648",,,,,,,,
"Property/Plant/Equipment, Total - Net",,,,,,"1,481","1,532","1,722",,,,,,,,
Total Assets,,,,,,"2,841","3,150","3,448",,,,,,,,
Accounts Payable,,,,,,233.1,245.9,227.5,,,,,,,,
Accrued Expenses,,,,,,55.5,79.5,73.7,,,,,,,,
Debt Due,,,,,,219.3,206.6,287.9,,,,,,,,
Total Current Liabilities,,,,,,638.8,634.8,670.1,,,,,,,,
Long Term Debt,,,,,,144.0,115.4,647.4,,,,,,,,
Total Liabilities,,,,,,809.2,778.7,"1,356",,,,,,,,
Common Stock,,,,,,62.0,638.0,"1,480",,,,,,,,
Additional Paid-In Capital,,,,,,,93.7,93.7,,,,,,,,
Retained Earnings (Accumulated Deficit),,,,,,"1,231","1,545",427.5,,,,,,,,
Shareholders' Equity,,,,,,"1,293","2,370","2,093",,,,,,,,
Cash from Operating Activities,,,,,,459.2,322.3,337.1,,,,,,90.0,90.0,41.0
Cash from Investing Activities,,,,,,-313.4,-288.3,-292.3,,,,,,-43.1,-43.1,-85.9
Cash from Financing Activities,,,,,,-27.9,-102.1,-16.0,,,,,,-68.1,-68.1,128.7
Net Change in Cash,,,,,,92.5,-69.1,29.5,,,,,,-20.1,-20.1,82.2
Free Cashflows,,,,,,140.0,96.2,14.7,,,,,,31.4,31.4,-42.1
Free Cashflow per Share,,,,,,0.070,0.048,0.007,,,,,,,,
