,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,,,8.27,7.13,3.94,,,,8.27,8.18,7.30,7.15,6.50,5.40,5.24,4.49,2.77
Earnings per Share,,,0.036,0.072,0.073,0.16,0.16,0.27,,,0.013,0.035,0.052,0.070,0.051,0.076,0.073,0.071,0.038,0.044
Revenue per Share,,,1.25,1.64,1.66,2.14,2.66,3.08,,,0.60,0.68,0.71,0.74,0.73,0.81,0.80,0.78,0.63,0.64
Dividend per Share,,,0.00,0.100,0.00,0.00,0.046,0.091,,,0.00,0.00,0.046,,,,0.091,,0.005,0.00
Capital Expenditures per Share,,,0.063,0.39,0.66,0.51,1.16,0.75,,,0.28,0.53,0.11,0.17,0.28,0.17,0.13,0.054,0.039,0.012
Book Value per Share,,,0.28,0.34,0.39,0.57,1.72,1.94,,,0.61,0.64,1.72,1.79,1.79,1.87,1.94,2.01,2.23,2.27
Price to Earnings Ratio,,,,,,,47.4,18.4,,,,45.7,53.8,41.6,33.6,26.7,18.4,15.8,14.6,9.20
Price to Book Value Ratio,,,,,,,4.08,2.38,,,,12.4,4.08,3.78,3.91,2.51,2.38,2.25,1.46,0.91
EV to EBITDA,,,,,,0.00,26.8,12.4,,,0.00,0.00,26.8,21.4,19.1,16.5,12.4,12.5,12.8,9.27
Dividend Payout Ratio,,,0.0%,138.8%,0.0%,0.0%,28.7%,33.6%,,,0.0%,0.0%,32.6%,,,,33.6%,,1.7%,0.0%
Common Shares Outstanding,,,506.0,506.0,506.0,506.0,506.0,506.0,,,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,607.2,607.2
Total Revenue,,,634.2,830.3,840.9,"1,080","1,345","1,558",,,305.7,344.2,358.8,374.7,368.7,411.7,402.8,393.1,383.3,387.2
