,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,2.22,1.81,2.39,1.58,1.43,1.67,1.71,1.09,,,1.66,1.73,1.64,1.60,1.73,1.71,1.40,1.09,1.06,0.83
Earnings per Share,0.027,0.036,-0.088,-0.54,0.19,0.093,0.026,-0.098,,,0.007,0.013,-0.020,0.015,0.008,0.14,-0.26,-0.050,0.015,0.003
Revenue per Share,8.61,9.46,7.40,3.12,3.39,4.66,4.76,4.90,,,1.16,1.23,0.98,1.28,1.20,1.14,1.13,1.10,1.04,0.90
Dividend per Share,,,0.002,,0.019,,0.003,0.030,,,,,0.003,,,,0.030,,,
Capital Expenditures per Share,1.43,0.48,0.28,0.75,0.23,0.13,0.035,0.075,,,0.008,0.012,0.010,0.016,0.041,0.004,0.011,0.011,0.022,0.014
Book Value per Share,1.14,1.18,1.22,0.78,1.07,1.31,1.32,1.20,,,1.34,1.35,1.32,1.35,1.34,1.48,1.20,1.25,1.31,1.31
Price to Earnings Ratio,83.5,52.4,,,5.95,15.9,63.6,,,,,,63.6,104.7,102.8,11.6,,,,
Price to Book Value Ratio,1.97,1.64,1.27,2.06,1.07,1.17,1.19,1.02,,,1.22,1.22,1.19,1.02,1.34,1.05,1.02,0.72,0.66,0.53
EV to EBITDA,22.5,14.0,12.9,76.6,40.5,18.1,16.3,-49.5,,,22.3,20.6,16.3,12.1,12.2,23.1,-49.5,-27.3,-28.9,-45.8
Dividend Payout Ratio,,,-2.0%,,10.0%,,11.9%,-30.6%,,,,,11.9%,,,,-32.4%,,,
Common Shares Outstanding,"1,738","1,740","1,866","3,322","3,642","4,120","4,120","4,148",,,"4,120","4,120","4,120","4,333","4,333","4,268","4,148","4,148","4,340","4,340"
Total Revenue,"14,966","16,457","13,811","10,369","12,331","19,214","19,624","20,319",,,"4,795","5,061","4,049","5,563","5,207","4,866","4,683","4,569","4,517","3,885"
"Cost of Revenue, Total","14,246","15,439","12,855","9,953","11,553","17,743","18,174","20,489",,,"4,422","4,620","3,814","5,334","4,840","4,795","5,521","4,472","4,116","3,635"
Gross Profit,719.8,"1,018",956.7,415.7,778.0,"1,471","1,450",-170.7,,,373.0,441.3,234.1,229.0,366.7,71.3,-837.7,96.1,401.3,249.9
"Selling/General/Administrative Expenses, Total",300.3,428.3,406.0,419.6,634.4,898.6,754.7,695.8,,,202.8,189.1,79.0,166.7,176.7,193.1,179.5,145.4,176.0,130.4
Operating Income,448.4,589.8,550.7,-3.90,143.6,572.3,730.6,-709.6,,,222.3,245.1,145.3,244.3,190.1,-122.6,"-1,042",-49.2,246.1,122.0
Net Income,111.5,141.6,-114.2,-998.7,683.9,395.5,126.9,-396.9,,,35.4,59.0,-78.2,67.7,38.8,642.3,"-1,060",-186.9,65.7,12.3
EBITDA,524.1,770.5,748.5,202.7,351.8,786.6,"1,016",-338.6,,,280.2,328.5,214.5,315.6,265.0,-16.1,-924.3,53.2,331.2,199.5
