,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,11.3,10.1,7.48,7.20,6.38,5.29,5.06,,7.05,,6.70,6.20,5.85,5.80,5.85,5.75,5.11
Earnings per Share,0.091,0.54,0.31,0.37,0.19,-0.13,0.17,0.030,0.19,,0.040,,-0.13,0.020,-0.058,0.19,-0.051,0.080,-0.028
Revenue per Share,0.94,6.38,4.68,5.21,5.04,3.89,4.61,5.24,4.32,,1.02,,,,,1.59,0.71,1.02,1.02
Dividend per Share,0.00,0.00,0.25,0.18,0.10,0.10,0.15,0.20,0.15,,,,,,,0.20,,,
Capital Expenditures per Share,0.12,0.42,0.48,0.57,0.61,0.16,0.25,0.22,0.24,,0.058,,,,,0.033,0.11,0.027,0.053
Book Value per Share,1.51,0.38,0.67,2.22,2.25,2.03,2.10,2.12,2.16,,2.23,,,,,2.12,2.07,2.01,1.99
Price to Earnings Ratio,,,,28.6,37.0,,37.4,176.7,21.3,,44.7,,112.7,,,212.0,57.5,33.5,25.2
Price to Book Value Ratio,,,,4.21,3.24,3.41,3.05,2.80,1.94,,3.12,,,,,2.80,2.84,2.81,2.28
EV to EBITDA,,0.00,0.00,18.9,15.5,28.9,28.5,16.0,10.0,,19.0,,23.5,0.00,0.00,16.0,13.1,13.5,12.7
Dividend Payout Ratio,0.0%,0.0%,81.1%,48.5%,52.9%,-75.3%,89.7%,666.7%,78.9%,,,,,,,800.0%,,,
Common Shares Outstanding,"3,860","3,860","3,860","3,860","3,860","3,860","3,860","3,860","3,860",,"3,860",,,,,"3,860","3,860","3,860","3,860"
Total Revenue,"3,609","24,631","18,052","20,120","19,444","15,006","17,796","20,210","16,680",,"3,951",,"2,316","4,169","7,597","6,128","2,753","3,944","3,942"
"Cost of Revenue, Total","2,402","17,808","13,825","14,902","14,854","12,169","14,271","16,428","12,785",,"3,199",,"2,005","3,218","6,741","4,464","2,269","2,696","3,145"
Gross Profit,"1,208","6,823","4,227","5,218","4,590","2,837","3,526","3,781","3,896",,751.9,,310.6,950.7,855.5,"1,664",484.5,"1,247",797.5
"Selling/General/Administrative Expenses, Total",786.8,"3,577","3,093","3,419","3,362","2,872","2,942","3,308","2,934",,660.4,,769.6,912.6,951.4,674.6,630.2,888.8,822.5
Operating Income,398.6,"3,245","1,134","1,798","1,228",46.2,911.5,564.8,"1,022",,328.0,,-459.6,75.6,-92.9,"1,042",-145.6,356.9,-17.0
Net Income,351.6,"1,702","1,218","1,366",729.9,-512.5,645.5,134.6,740.1,,166.6,,-494.7,86.8,-223.2,765.7,-195.7,322.7,-107.9
EBITDA,513.7,"3,743","1,763","2,616","2,168","1,188","2,181","1,862","2,292",,652.7,,-127.5,391.5,230.2,"1,368",183.4,665.6,296.3
Gross Profit Margin,33.5%,27.7%,23.4%,25.9%,23.6%,18.9%,19.8%,18.7%,23.4%,,19.0%,,13.4%,22.8%,11.3%,27.2%,17.6%,31.6%,20.2%
Operating Margin,11.0%,13.2%,6.3%,8.9%,6.3%,0.3%,5.1%,2.8%,6.1%,,8.3%,,-19.8%,1.8%,-1.2%,17.0%,-5.3%,9.1%,-0.4%
Net Profit Margin,9.7%,6.9%,6.7%,6.8%,3.8%,-3.4%,3.6%,0.7%,4.4%,,4.2%,,-21.4%,2.1%,-2.9%,12.5%,-7.1%,8.2%,-2.7%
Return on Assets,2.4%,10.4%,7.6%,7.8%,3.9%,-2.9%,3.8%,0.7%,3.9%,,3.1%,,0.0%,0.0%,0.0%,1.5%,2.4%,3.1%,3.3%
Return on Equity,6.1%,116.0%,47.0%,15.9%,8.4%,-6.6%,8.0%,1.6%,8.9%,,1.9%,,0.0%,0.0%,0.0%,9.3%,-2.4%,4.2%,-1.4%
Return on Total Capital,3.6%,33.0%,21.8%,12.9%,5.6%,-4.4%,5.7%,1.2%,7.0%,,5.0%,,0.0%,0.0%,0.0%,1.2%,4.1%,6.5%,8.0%
SG&A to Sale,21.8%,14.5%,17.1%,17.0%,17.3%,19.1%,16.5%,16.4%,17.6%,,16.7%,,33.2%,21.9%,12.5%,11.0%,22.9%,22.5%,20.9%
Depreciation & Amortisation,115.2,497.7,629.3,818.0,940.6,"1,142","1,269","1,297","1,270",,324.7,,332.1,315.8,323.1,325.9,329.0,308.6,313.3
Tax Rate,11.8%,23.9%,14.5%,6.4%,-7.1%,-32.0%,0.3%,58.9%,13.8%,,28.9%,,4.0%,-715.3%,-49.8%,22.0%,-18.4%,5.5%,-22.2%
Current Ratio,0.98,0.77,0.70,1.08,1.13,1.16,1.11,1.10,1.02,,1.35,,,,,1.10,0.99,0.99,0.95
Quick Ratio,0.31,0.24,0.14,0.21,0.31,0.32,0.19,0.24,0.22,,0.39,,0.00,0.00,0.00,0.24,0.16,0.17,0.14
Days Inventory Outstanding,400.1,70.9,107.5,115.2,95.3,71.6,75.6,80.4,94.3,,114.0,,0.00,0.00,0.00,35.4,76.1,153.5,253.5
Days Sale Outstanding,208.7,35.0,27.0,27.5,28.5,28.3,22.2,27.7,36.5,,34.9,,,,,27.7,19.6,42.0,35.7
Days Payable Outstanding,280.0,67.4,89.3,61.8,44.4,35.5,10.4,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cash Conversion Cycle,150.6,26.2,66.1,90.4,85.9,79.7,99.0,104.9,130.6,,164.5,,0.00,0.00,0.00,49.8,100.3,185.7,298.8
Debt to Asset Ratio,0.65,0.91,0.84,0.54,0.54,0.51,0.54,0.55,0.56,,0.50,,,,,0.55,0.56,0.69,0.66
Debt to Equity Ratio,1.88,9.87,5.23,1.18,1.16,1.05,1.20,1.24,1.29,,1.01,,,,,1.24,1.30,2.21,1.92
Interest Coverage Ratio,,8.21,2.29,4.33,3.29,0.15,2.74,1.71,3.37,,4.06,,,0.95,,13.0,,4.72,
Cash and Short Term Investments,"1,053","1,158",417.3,829.0,346.7,339.4,329.7,300.9,295.0,,215.7,,,,,300.9,103.9,112.7,50.2
"Total Receivables, Net","2,064","2,360","1,336","1,516","1,518","1,163","1,083","1,533","1,669",,"1,707",,,,,"1,533","1,109","2,352","1,639"
Total Inventory,"3,339","3,579","4,562","4,846","2,915","1,861","4,047","3,191","3,417",,"3,237",,,,,"3,191","3,771","9,833","7,633"
Total Current Assets,"6,619","7,573","6,705","7,767","5,578","4,218","6,201","6,968","7,709",,"5,900",,,,,"6,968","6,938","13,659","11,004"
"Property/Plant/Equipment, Total - Net","7,053","7,573","8,800","10,064","11,346","10,851","10,514","9,942","9,527",,"10,406",,,,,"9,942","9,972","9,745","9,654"
Total Assets,"16,731","15,956","16,130","18,690","18,793","16,052","17,816","18,358","19,120",,"17,320",,,,,"18,358","18,396","24,953","22,389"
Accounts Payable,"2,801","3,780","2,982","2,067","1,549",817.1,,,,,,,,,,,,,
Accrued Expenses,252.6,375.1,490.4,569.0,485.7,421.9,0.89,0.50,0.025,,0.85,,,,,0.50,,,0.025
Debt Due,"3,748","2,856","3,755","4,016","2,619","1,645","2,998","4,786","5,795",,"2,692",,0.00,,,"4,786","4,265","9,750","9,555"
Total Current Liabilities,"6,759","9,866","9,606","7,182","4,949","3,643","5,584","6,314","7,592",,"4,363",,,,,"6,314","6,978","13,809","11,581"
Long Term Debt,"4,044","3,698","3,007","1,999","4,282","3,704","3,219","2,969","2,193",,"3,476",,,,,"2,969","2,520","2,515","2,203"
Total Liabilities,"10,922","14,488","13,540","10,117","10,101","8,231","9,704","10,164","10,778",,"8,711",,,,,"10,164","10,387","17,189","14,722"
Common Stock,"2,000","3,275","3,275","3,860","3,860","3,860","3,860","3,860","3,860",,"3,860",,,,,"3,860","3,860","3,860","3,860"
Additional Paid-In Capital,,,,"5,203","5,251","5,296","5,340","5,373","5,403",,"5,329",,,,,"5,373","5,385","5,396","5,407"
Retained Earnings (Accumulated Deficit),391.4,"1,770","2,893","3,083","3,159","2,243","2,489","2,538","2,656",,"2,997",,,,,"2,538","2,342","2,086","1,978"
Shareholders' Equity,"5,809","1,468","2,590","8,572","8,692","7,822","8,112","8,194","8,342",,"8,609",,,,,"8,194","8,009","7,764","7,667"
Cash from Operating Activities,474.2,"2,511","1,022",945.8,"1,903","2,661",514.6,-55.6,"1,549",,"4,542",,493.0,"-6,329","1,511","4,270","1,105","-4,760",795.8
Cash from Investing Activities,-452.1,-510.3,"-1,920","-2,296","-2,386",-600.1,-907.5,-773.2,"-1,119",,-214.3,,-426.7,-201.3,-20.1,-125.2,-330.7,-132.0,-349.7
Cash from Financing Activities,-37.6,"-1,845",156.7,"1,762",2.05,"-2,069",383.1,914.0,-436.1,,"-4,385",,47.6,"6,346","-1,548","-3,931",-970.8,"4,901",-508.6
Net Change in Cash,-56.6,155.2,-741.0,411.8,-481.3,-7.30,-9.76,85.1,-5.90,,-57.3,,113.9,-184.6,-57.5,213.2,-196.9,8.74,-62.4
Free Cashflows,-3.07,901.1,-829.5,"-1,257",-446.1,"2,032",-467.6,-904.9,613.9,,"4,319",,26.6,"-6,551","1,478","4,142",687.5,"-4,866",591.9
Free Cashflow per Share,-0.001,0.23,-0.21,-0.33,-0.12,0.53,-0.12,-0.23,0.16,,1.12,,,,,1.07,0.18,-1.26,0.15
